STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Bay,1,256,922
FL,Bay,2,119,700
FL,Bay,3,79,393
FL,Bay,4,346,1713
FL,Bay,5,288,1439
FL,Bay,6,394,2085
FL,Bay,7,68,243
FL,Bay,8,444,1494
FL,Bay,9,535,1360
FL,Bay,10,734,2212
FL,Bay,11,795,1953
FL,Bay,12,737,2208
FL,Bay,13,325,1060
FL,Bay,14,713,2097
FL,Bay,15,334,1794
FL,Bay,16,138,963
FL,Bay,17,391,1588
FL,Bay,18,374,1573
FL,Bay,19,525,835
FL,Bay,20,294,982
FL,Bay,21,541,2445
FL,Bay,22,662,2402
FL,Bay,23,920,2511
FL,Bay,24,227,721
FL,Bay,25,345,1438
FL,Bay,26,441,1562
FL,Bay,27,638,1787
FL,Bay,28,532,910
FL,Bay,29,935,1197
FL,Bay,30,352,600
FL,Bay,31,1081,2073
FL,Bay,32,1259,123
FL,Bay,33,890,421
FL,Bay,34,260,738
FL,Bay,35,466,1208
FL,Bay,36,312,379
FL,Bay,37,1067,1315
FL,Bay,38,390,744
FL,Bay,39,695,2028
FL,Bay,40,502,954
FL,Bay,41,607,1205
FL,Bay,42,436,998
FL,Bay,43,390,906
FL,Bay,44,214,597
