STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Columbia,101,80,331
FL,Columbia,102,537,816
FL,Columbia,103,472,464
FL,Columbia,110,647,36
FL,Columbia,112,533,61
FL,Columbia,113,29,90
FL,Columbia,114,218,216
FL,Columbia,201,260,807
FL,Columbia,202,344,979
FL,Columbia,203,1024,2424
FL,Columbia,301,483,1868
FL,Columbia,302,109,206
FL,Columbia,303,677,2344
FL,Columbia,312,233,379
FL,Columbia,313,15,25
FL,Columbia,401,568,1241
FL,Columbia,402,28,191
FL,Columbia,403,291,1144
FL,Columbia,404,372,910
FL,Columbia,501,458,1436
FL,Columbia,502,333,1323
FL,Columbia,513,621,860
FL,Columbia,514,130,278
