STATE,COUNTY,PRECINCT,DEM,REP
FL,Hillsborough,353,198,95
FL,Hillsborough,355,12,11
FL,Hillsborough,356,93,29
FL,Hillsborough,357,366,534
FL,Hillsborough,358,486,491
FL,Hillsborough,359,1219,1179
FL,Hillsborough,361,694,1033
FL,Hillsborough,363,1864,1649
FL,Hillsborough,367,1651,1520
FL,Hillsborough,558,126,151
FL,Hillsborough,561,56,98
FL,Hillsborough,562,715,249
FL,Hillsborough,569,628,712
FL,Hillsborough,571,379,422
FL,Hillsborough,577,849,983
FL,Hillsborough,578,340,543
FL,Hillsborough,579,420,958
FL,Hillsborough,581,491,451
FL,Hillsborough,583,368,298
FL,Hillsborough,584,349,180
FL,Hillsborough,585,459,784
FL,Hillsborough,587,480,983
FL,Hillsborough,589,171,450
FL,Hillsborough,591,651,1326
FL,Hillsborough,595,523,1064
FL,Hillsborough,625,227,229
FL,Hillsborough,626,244,169
FL,Hillsborough,629,592,448
FL,Hillsborough,631,242,403
FL,Hillsborough,633,321,720
FL,Hillsborough,635,527,414
FL,Hillsborough,636,121,153
FL,Hillsborough,637,16,7
FL,Hillsborough,639,147,337
FL,Hillsborough,641,375,151
FL,Hillsborough,643,124,49
FL,Hillsborough,650,320,103
FL,Hillsborough,651,466,455
FL,Hillsborough,652,424,294
FL,Hillsborough,653,534,574
FL,Hillsborough,654,312,125
FL,Hillsborough,655,543,571
FL,Hillsborough,657,400,363
FL,Hillsborough,658,258,118
FL,Hillsborough,659,454,571
FL,Hillsborough,660,47,22
FL,Hillsborough,661,410,352
FL,Hillsborough,662,178,164
FL,Hillsborough,671,1327,1293
FL,Hillsborough,673,824,634
FL,Hillsborough,707,126,417
FL,Hillsborough,708,36,75
FL,Hillsborough,709,238,627
FL,Hillsborough,711,90,358
FL,Hillsborough,712,29,106
FL,Hillsborough,713,472,402
FL,Hillsborough,715,70,77
FL,Hillsborough,721,383,912
FL,Hillsborough,750,440,1062
FL,Hillsborough,751,391,1247
FL,Hillsborough,753,960,372
FL,Hillsborough,754,261,623
FL,Hillsborough,755,172,287
FL,Hillsborough,757,623,761
FL,Hillsborough,759,488,1004
FL,Hillsborough,761,364,1315
FL,Hillsborough,763,116,232
FL,Hillsborough,764,344,809
FL,Hillsborough,765,220,645
FL,Hillsborough,767,327,667
FL,Hillsborough,769,200,812
FL,Hillsborough,801,415,608
FL,Hillsborough,803,189,287
FL,Hillsborough,804,570,953
FL,Hillsborough,805,695,1366
FL,Hillsborough,806,367,934
FL,Hillsborough,807,264,555
FL,Hillsborough,808,310,543
FL,Hillsborough,809,190,345
FL,Hillsborough,810,390,753
FL,Hillsborough,811,442,982
FL,Hillsborough,813,815,1608
FL,Hillsborough,814,275,1116
FL,Hillsborough,815,182,389
FL,Hillsborough,816,260,617
FL,Hillsborough,817,624,1289
FL,Hillsborough,818,504,836
FL,Hillsborough,819,233,430
FL,Hillsborough,820,439,907
FL,Hillsborough,821,707,911
FL,Hillsborough,825,464,851
FL,Hillsborough,827,445,861
FL,Hillsborough,829,718,774
FL,Hillsborough,830,454,446
FL,Hillsborough,832,545,617
FL,Hillsborough,851,651,799
FL,Hillsborough,855,674,785
FL,Hillsborough,856,577,1105
FL,Hillsborough,858,154,110
FL,Hillsborough,860,394,511
FL,Hillsborough,862,28,79
FL,Hillsborough,863,183,278
FL,Hillsborough,867,719,1098
FL,Hillsborough,868,345,478
FL,Hillsborough,869,730,1121
FL,Hillsborough,871,608,927
FL,Hillsborough,875,688,1052
FL,Hillsborough,879,923,1178
FL,Hillsborough,885,778,789
FL,Hillsborough,887,584,664
FL,Hillsborough,889,159,213
FL,Hillsborough,891,306,869
FL,Hillsborough,892,200,634
FL,Hillsborough,955,774,987
FL,Hillsborough,957,739,959
FL,Hillsborough,958,28,49
FL,Hillsborough,964,103,23
