STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Lee,1,402,1188
FL,Lee,2,775,1197
FL,Lee,3,1283,726
FL,Lee,4,1203,803
FL,Lee,5,634,1539
FL,Lee,6,639,511
FL,Lee,7,2018,260
FL,Lee,8,1932,529
FL,Lee,9,1131,860
FL,Lee,10,605,1061
FL,Lee,11,1016,1462
FL,Lee,12,665,1135
FL,Lee,13,1117,1406
FL,Lee,14,518,646
FL,Lee,15,642,1231
FL,Lee,16,749,1090
FL,Lee,17,72,196
FL,Lee,18,188,724
FL,Lee,19,352,439
FL,Lee,20,1031,1155
FL,Lee,21,577,1008
FL,Lee,22,728,1346
FL,Lee,23,668,1115
FL,Lee,24,585,1339
FL,Lee,25,642,1378
FL,Lee,26,927,1068
FL,Lee,27,491,1522
FL,Lee,28,792,1186
FL,Lee,29,884,1098
FL,Lee,30,685,872
FL,Lee,31,910,1096
FL,Lee,32,1977,481
FL,Lee,33,646,1074
FL,Lee,34,1063,1270
FL,Lee,35,899,1580
FL,Lee,36,1089,2361
FL,Lee,37,744,1045
FL,Lee,38,826,1106
FL,Lee,39,845,1412
FL,Lee,40,594,1598
FL,Lee,41,604,917
FL,Lee,42,1514,881
FL,Lee,43,421,2164
FL,Lee,44,778,1427
FL,Lee,45,599,1080
FL,Lee,46,1384,1445
FL,Lee,47,1437,1276
FL,Lee,48,1189,1248
FL,Lee,49,711,1399
FL,Lee,50,1049,856
FL,Lee,51,1518,666
FL,Lee,52,1360,873
FL,Lee,53,1125,847
FL,Lee,54,270,729
FL,Lee,55,1046,1546
FL,Lee,56,929,890
FL,Lee,57,830,2017
FL,Lee,58,1041,795
FL,Lee,59,1083,1008
FL,Lee,60,550,1260
FL,Lee,61,1034,1020
FL,Lee,62,773,1035
FL,Lee,63,822,1122
FL,Lee,64,950,1765
FL,Lee,65,938,1535
FL,Lee,66,684,848
FL,Lee,67,565,1604
FL,Lee,68,930,1125
FL,Lee,69,560,1295
FL,Lee,70,1032,1698
FL,Lee,71,801,1171
FL,Lee,72,733,1485
FL,Lee,73,1152,1540
FL,Lee,74,853,1617
FL,Lee,75,1040,1918
FL,Lee,76,502,973
FL,Lee,77,1171,1116
FL,Lee,78,1237,1154
FL,Lee,79,1193,1608
FL,Lee,80,483,1090
FL,Lee,81,581,1238
FL,Lee,82,731,1089
FL,Lee,83,646,1582
FL,Lee,84,897,1201
FL,Lee,85,695,1092
FL,Lee,86,988,1876
FL,Lee,87,630,1091
FL,Lee,88,573,1489
FL,Lee,89,792,666
FL,Lee,90,895,1554
FL,Lee,91,890,1278
FL,Lee,92,1228,1348
FL,Lee,93,679,1365
FL,Lee,94,770,1477
FL,Lee,95,1080,1379
FL,Lee,96,896,1150
FL,Lee,97,1005,1546
FL,Lee,98,744,1425
FL,Lee,99,1166,1296
FL,Lee,100,827,1259
FL,Lee,101,629,1481
FL,Lee,102,821,1883
FL,Lee,103,1185,1350
FL,Lee,104,890,1119
FL,Lee,105,921,1069
FL,Lee,106,972,1224
FL,Lee,107,967,1693
FL,Lee,108,1078,1256
FL,Lee,109,1127,1185
FL,Lee,110,922,814
FL,Lee,111,630,754
FL,Lee,112,1095,1401
FL,Lee,113,872,913
FL,Lee,114,981,1007
FL,Lee,115,1110,1230
FL,Lee,116,1031,1338
FL,Lee,117,933,1467
FL,Lee,118,915,1606
FL,Lee,119,561,1743
FL,Lee,120,1000,1110
FL,Lee,121,933,1581
FL,Lee,122,1071,1799
FL,Lee,123,693,1556
FL,Lee,124,1024,1751
FL,Lee,125,648,2276
FL,Lee,200,0,0
