STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Monroe,1,573,326
FL,Monroe,2,790,487
FL,Monroe,3,673,374
FL,Monroe,4,729,87
FL,Monroe,5,1277,850
FL,Monroe,6,885,267
FL,Monroe,7,503,277
FL,Monroe,8,937,334
FL,Monroe,9,825,503
FL,Monroe,10,898,343
FL,Monroe,11,1021,676
FL,Monroe,12,639,669
FL,Monroe,13,638,575
FL,Monroe,14,456,709
FL,Monroe,15,656,993
FL,Monroe,16,603,678
FL,Monroe,17,534,522
FL,Monroe,18,396,378
FL,Monroe,19,577,820
FL,Monroe,20,365,509
FL,Monroe,21,312,511
FL,Monroe,22,180,479
FL,Monroe,23,360,598
FL,Monroe,24,370,832
FL,Monroe,25,415,768
FL,Monroe,26,551,971
FL,Monroe,27,458,598
FL,Monroe,28,463,563
FL,Monroe,29,667,1006
FL,Monroe,30,471,434
FL,Monroe,31,393,493
FL,Monroe,32,558,759
FL,Monroe,33,219,845
