STATE,COUNTY,PRECINCT,DEM,REP
FL,Marion,50,260,412
FL,Marion,2500,258,503
FL,Marion,2510,114,181
FL,Marion,2520,438,534
FL,Marion,2550,242,585
FL,Marion,2551,158,353
FL,Marion,2570,558,567
FL,Marion,2580,212,332
FL,Marion,2600,479,900
FL,Marion,2610,420,660
FL,Marion,4500,433,647
FL,Marion,4510,586,1136
FL,Marion,4520,407,847
FL,Marion,4600,248,359
FL,Marion,4650,419,656
FL,Marion,4651,885,1528
FL,Marion,4652,264,408
FL,Marion,4653,101,110
FL,Marion,4654,480,856
FL,Marion,4690,457,698
FL,Marion,4700,113,229
FL,Marion,4710,438,952
FL,Marion,4720,287,395
