STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Pasco,1,1499,1070
FL,Pasco,2,261,361
FL,Pasco,3,878,1101
FL,Pasco,4,365,545
FL,Pasco,5,689,1035
FL,Pasco,6,2306,2861
FL,Pasco,7,2000,1781
FL,Pasco,8,1311,1958
FL,Pasco,9,176,369
FL,Pasco,10,243,426
FL,Pasco,11,637,984
FL,Pasco,12,435,651
FL,Pasco,13,772,882
FL,Pasco,14,1165,1846
FL,Pasco,15,1284,938
FL,Pasco,16,220,318
FL,Pasco,17,285,342
FL,Pasco,18,484,369
FL,Pasco,19,754,1484
FL,Pasco,20,126,186
FL,Pasco,21,318,291
FL,Pasco,22,313,473
FL,Pasco,23,545,676
FL,Pasco,24,131,159
FL,Pasco,25,1114,894
FL,Pasco,26,696,763
FL,Pasco,27,1650,2069
FL,Pasco,28,1318,1044
FL,Pasco,29,468,336
FL,Pasco,30,1144,874
FL,Pasco,31,723,559
FL,Pasco,32,1106,860
FL,Pasco,33,1642,2125
FL,Pasco,34,1210,1122
FL,Pasco,35,1047,916
FL,Pasco,36,2591,3112
FL,Pasco,37,781,1112
FL,Pasco,38,747,857
FL,Pasco,39,192,331
FL,Pasco,40,297,227
FL,Pasco,41,715,665
FL,Pasco,42,1553,1595
FL,Pasco,43,279,181
FL,Pasco,44,711,690
FL,Pasco,45,1221,1987
FL,Pasco,46,1360,850
FL,Pasco,47,487,348
FL,Pasco,48,532,626
FL,Pasco,49,453,411
FL,Pasco,50,911,701
FL,Pasco,51,1015,748
FL,Pasco,52,1808,1761
FL,Pasco,53,802,529
FL,Pasco,54,1141,768
FL,Pasco,55,1245,1601
FL,Pasco,56,199,224
FL,Pasco,57,681,681
FL,Pasco,58,553,413
FL,Pasco,59,1451,1382
FL,Pasco,60,1075,889
FL,Pasco,61,444,450
FL,Pasco,62,1296,1901
FL,Pasco,63,451,493
FL,Pasco,64,585,715
FL,Pasco,65,1406,1344
FL,Pasco,66,1293,987
FL,Pasco,67,923,1416
FL,Pasco,68,740,859
FL,Pasco,69,798,1106
FL,Pasco,70,2321,3045
FL,Pasco,71,415,593
FL,Pasco,72,1010,816
FL,Pasco,73,1978,2394
FL,Pasco,74,96,150
FL,Pasco,75,1151,1080
FL,Pasco,76,554,1038
FL,Pasco,77,861,947
FL,Pasco,78,926,1183
FL,Pasco,79,329,1033
FL,Pasco,80,332,394
FL,Pasco,81,440,592
FL,Pasco,82,1036,1554
FL,Pasco,83,1585,2849
FL,Pasco,84,582,737
FL,Pasco,85,985,1140
FL,Pasco,86,682,820
FL,Pasco,87,444,647
FL,Pasco,88,120,367
FL,Pasco,89,425,465
FL,Pasco,90,1157,1010
FL,Pasco,91,1232,2059
FL,Pasco,92,732,842
FL,Pasco,93,1025,992
FL,Pasco,94,531,757
FL,Pasco,95,891,1331
FL,Pasco,96,951,797
FL,Pasco,97,1302,1321
FL,Pasco,98,947,1055
FL,Pasco,99,2200,2300
FL,Pasco,100,393,615
FL,Pasco,101,1287,1112
FL,Pasco,102,726,814
FL,Pasco,103,1168,1461
FL,Pasco,104,271,295
FL,Pasco,105,1040,1506
FL,Pasco,106,245,247
FL,Pasco,107,1084,777
FL,Pasco,108,1264,1547
FL,Pasco,109,1322,1912
FL,Pasco,110,2172,3205
