STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Polk,101,359,597
FL,Polk,102,151,388
FL,Polk,103,484,413
FL,Polk,104,469,308
FL,Polk,105,208,169
FL,Polk,106,186,416
FL,Polk,107,532,977
FL,Polk,108,289,506
FL,Polk,109,684,1077
FL,Polk,110,657,1056
FL,Polk,111,758,1733
FL,Polk,113,227,428
FL,Polk,114,664,944
FL,Polk,115,460,788
FL,Polk,116,295,428
FL,Polk,117,494,860
FL,Polk,118,411,890
FL,Polk,119,523,828
FL,Polk,120,329,497
FL,Polk,121,481,426
FL,Polk,122,570,594
FL,Polk,123,241,200
FL,Polk,124,412,367
FL,Polk,201,561,594
FL,Polk,203,418,524
FL,Polk,204,778,25
FL,Polk,205,500,31
FL,Polk,206,241,183
FL,Polk,207,221,196
FL,Polk,208,479,574
FL,Polk,209,353,94
FL,Polk,210,229,26
FL,Polk,211,238,157
FL,Polk,212,171,238
FL,Polk,213,218,138
FL,Polk,214,422,147
FL,Polk,216,238,209
FL,Polk,217,363,334
FL,Polk,218,387,398
FL,Polk,219,265,242
FL,Polk,220,253,489
FL,Polk,221,363,585
FL,Polk,222,289,359
FL,Polk,223,237,421
FL,Polk,224,290,621
FL,Polk,225,481,352
FL,Polk,226,387,385
FL,Polk,227,73,147
FL,Polk,228,347,481
FL,Polk,229,330,491
FL,Polk,230,422,412
FL,Polk,231,493,637
FL,Polk,233,332,403
FL,Polk,234,311,492
FL,Polk,235,327,744
FL,Polk,236,566,1165
FL,Polk,237,456,1204
FL,Polk,238,340,320
FL,Polk,239,396,961
FL,Polk,240,226,613
FL,Polk,241,434,917
FL,Polk,242,733,1162
FL,Polk,243,591,1083
FL,Polk,244,532,739
FL,Polk,245,561,1110
FL,Polk,247,363,389
FL,Polk,248,515,1374
FL,Polk,249,338,754
FL,Polk,250,340,580
FL,Polk,251,70,253
FL,Polk,302,325,248
FL,Polk,303,446,1083
FL,Polk,304,475,1202
FL,Polk,305,197,569
FL,Polk,306,219,374
FL,Polk,307,265,302
FL,Polk,309,491,674
FL,Polk,310,108,142
FL,Polk,311,71,100
FL,Polk,312,570,689
FL,Polk,313,347,290
FL,Polk,314,370,525
FL,Polk,315,116,203
FL,Polk,316,198,99
FL,Polk,319,510,626
FL,Polk,320,142,296
FL,Polk,321,365,549
FL,Polk,322,434,246
FL,Polk,323,301,274
FL,Polk,324,202,222
FL,Polk,325,558,26
FL,Polk,326,495,537
FL,Polk,327,557,540
FL,Polk,328,117,289
FL,Polk,329,267,213
FL,Polk,330,181,112
FL,Polk,331,196,431
FL,Polk,332,564,795
FL,Polk,333,302,432
FL,Polk,334,168,354
FL,Polk,335,104,112
FL,Polk,336,257,547
FL,Polk,337,461,836
FL,Polk,338,226,309
FL,Polk,339,428,1039
FL,Polk,340,79,122
FL,Polk,401,349,268
FL,Polk,402,521,416
FL,Polk,403,172,176
FL,Polk,404,411,429
FL,Polk,405,236,144
FL,Polk,406,193,229
FL,Polk,407,611,116
FL,Polk,408,490,287
FL,Polk,409,336,264
FL,Polk,410,157,156
FL,Polk,411,593,890
FL,Polk,412,1638,351
FL,Polk,413,284,274
FL,Polk,414,170,456
FL,Polk,415,284,580
FL,Polk,416,536,501
FL,Polk,417,113,290
FL,Polk,418,238,561
FL,Polk,419,953,279
FL,Polk,420,172,162
FL,Polk,421,105,126
FL,Polk,422,31,11
FL,Polk,423,2,10
FL,Polk,424,15,29
FL,Polk,503,215,32
FL,Polk,504,328,336
FL,Polk,505,225,140
FL,Polk,506,108,233
FL,Polk,507,220,359
FL,Polk,508,138,384
FL,Polk,509,268,41
FL,Polk,510,275,160
FL,Polk,511,105,160
FL,Polk,512,154,130
FL,Polk,514,175,356
FL,Polk,515,92,134
FL,Polk,516,170,324
FL,Polk,517,326,153
FL,Polk,518,262,543
FL,Polk,519,150,124
FL,Polk,520,121,122
FL,Polk,521,220,169
FL,Polk,522,404,542
FL,Polk,523,156,29
FL,Polk,524,298,311
FL,Polk,526,191,338
FL,Polk,527,256,293
FL,Polk,528,139,24
FL,Polk,529,336,426
FL,Polk,530,338,370
FL,Polk,531,100,203
FL,Polk,532,134,230
FL,Polk,533,346,367
FL,Polk,534,111,197
FL,Polk,535,100,240
FL,Polk,536,187,490
FL,Polk,537,295,708
FL,Polk,538,157,173
FL,Polk,539,210,249
FL,Polk,540,132,322
FL,Polk,542,216,527
FL,Polk,5000,28277,36744
FL,Polk,6000,31031,23583
FL,Polk,7000,564,247
FL,Polk,8000,8,9
FL,Polk,9000,0,0
