STATE,COUNTY,PRECINCT,DEM,REP
FL,Santa Rosa,1,205,460
FL,Santa Rosa,2,184,1352
FL,Santa Rosa,3,18,352
FL,Santa Rosa,4,73,691
FL,Santa Rosa,5,5,48
FL,Santa Rosa,6,11,61
FL,Santa Rosa,7,32,117
FL,Santa Rosa,8,169,475
FL,Santa Rosa,9,221,926
FL,Santa Rosa,10,92,430
FL,Santa Rosa,11,101,431
FL,Santa Rosa,12,341,1102
FL,Santa Rosa,13,84,619
FL,Santa Rosa,14,83,258
FL,Santa Rosa,15,329,1058
FL,Santa Rosa,16,301,1011
FL,Santa Rosa,17,48,367
FL,Santa Rosa,18,303,1617
FL,Santa Rosa,19,74,549
FL,Santa Rosa,20,347,1956
FL,Santa Rosa,21,296,1372
FL,Santa Rosa,22,583,1981
FL,Santa Rosa,23,265,860
FL,Santa Rosa,24,425,2350
FL,Santa Rosa,25,349,1304
FL,Santa Rosa,26,502,2001
FL,Santa Rosa,27,303,1826
FL,Santa Rosa,28,259,1219
FL,Santa Rosa,29,150,746
FL,Santa Rosa,30,243,1363
FL,Santa Rosa,31,95,558
FL,Santa Rosa,32,357,1308
FL,Santa Rosa,33,217,899
FL,Santa Rosa,34,757,2990
FL,Santa Rosa,35,394,1397
FL,Santa Rosa,36,158,854
FL,Santa Rosa,37,185,760
FL,Santa Rosa,38,107,352
FL,Santa Rosa,39,158,690
FL,Santa Rosa,40,124,473
FL,Santa Rosa,41,217,846
