STATE,COUNTY,PRECINCT,DEM,REP
FL,St. Johns,101,508,1788
FL,St. Johns,102,346,1226
FL,St. Johns,103,307,1312
FL,St. Johns,104,465,1845
FL,St. Johns,105,524,1517
FL,St. Johns,106,381,2064
FL,St. Johns,107,559,2085
FL,St. Johns,108,256,891
FL,St. Johns,109,123,711
FL,St. Johns,110,68,394
FL,St. Johns,201,459,1533
FL,St. Johns,202,281,1088
FL,St. Johns,203,507,1705
FL,St. Johns,204,284,1103
FL,St. Johns,205,506,1441
FL,St. Johns,206,151,389
FL,St. Johns,207,977,483
FL,St. Johns,208,205,586
FL,St. Johns,209,613,799
FL,St. Johns,301,171,458
FL,St. Johns,302,675,1715
FL,St. Johns,303,316,639
FL,St. Johns,304,806,1605
FL,St. Johns,305,1009,1974
FL,St. Johns,306,403,1005
FL,St. Johns,307,712,1699
FL,St. Johns,308,435,1019
FL,St. Johns,309,1081,2158
FL,St. Johns,401,640,2324
FL,St. Johns,402,918,3198
FL,St. Johns,403,600,2778
FL,St. Johns,404,279,1481
FL,St. Johns,405,232,1165
FL,St. Johns,406,838,2437
FL,St. Johns,407,92,393
FL,St. Johns,408,589,2042
FL,St. Johns,409,46,98
FL,St. Johns,501,446,1370
FL,St. Johns,502,734,1469
FL,St. Johns,503,388,431
FL,St. Johns,504,670,1589
FL,St. Johns,505,634,934
FL,St. Johns,506,482,503
FL,St. Johns,507,635,271
FL,St. Johns,508,1011,1637
FL,St. Johns,509,1102,1985
