STATE,COUNTY,PRECINCT,DEM,REP
CO,CHAFFEE,5056008001,247,160
CO,CHAFFEE,5056008002,300,121
CO,CHAFFEE,5056008003,342,253
CO,CHAFFEE,5056008004,283,409
CO,CHAFFEE,5056008005,329,341
CO,CHAFFEE,5056008006,285,415
CO,CHAFFEE,5056008007,367,506
CO,CHAFFEE,5056008008,180,313
CO,CHAFFEE,5056008009,152,459
CO,CHAFFEE,5056008010,221,412
CO,CHAFFEE,5056008011,275,281
CO,CHAFFEE,5056008012,320,139
CO,CHAFFEE,5056008013,275,403
CO,CHAFFEE,5056008014,206,234
CO,CHAFFEE,5056008015,162,158
CO,EL PASO,5021821745,81,106
CO,EL PASO,5021921452,299,663
CO,EL PASO,5021921500,61,172
CO,EL PASO,5021921501,175,486
CO,EL PASO,5021921502,143,401
CO,EL PASO,5021921521,199,386
CO,EL PASO,5021921522,265,570
CO,EL PASO,5021921523,189,530
CO,EL PASO,5021921524,218,813
CO,EL PASO,5021921554,30,67
CO,EL PASO,5021921560,201,520
CO,EL PASO,5021921653,47,101
CO,EL PASO,5021921828,94,220
CO,EL PASO,5022021740,607,627
CO,EL PASO,5022121632,184,200
CO,EL PASO,5022121639,523,690
CO,EL PASO,5022121652,123,318
CO,EL PASO,5022121801,205,297
CO,EL PASO,5022121802,655,716
CO,EL PASO,5022121803,563,637
CO,EL PASO,5022121804,511,712
CO,EL PASO,5022121839,209,321
CO,EL PASO,5091421215,529,1356
CO,EL PASO,5091421216,458,1090
CO,EL PASO,5091421217,456,1208
CO,EL PASO,5091421220,668,1422
CO,EL PASO,5091421230,510,1093
CO,EL PASO,5091421231,423,1050
CO,EL PASO,5091421232,418,788
CO,EL PASO,5091421233,317,814
CO,EL PASO,5091421236,394,772
CO,EL PASO,5091421237,358,713
CO,EL PASO,5091421238,467,1008
CO,EL PASO,5091521445,261,534
CO,EL PASO,5091821107,434,351
CO,EL PASO,5091821108,441,415
CO,EL PASO,5091821109,81,70
CO,EL PASO,5091921210,462,1205
CO,EL PASO,5091921211,455,1101
CO,EL PASO,5091921212,354,877
CO,EL PASO,5091921213,216,545
CO,EL PASO,5091921214,292,781
CO,EL PASO,5091921218,200,510
CO,EL PASO,5091921219,246,689
CO,EL PASO,5091921303,455,931
CO,EL PASO,5091921310,490,1089
CO,EL PASO,5091921311,467,1053
CO,EL PASO,5091921312,462,1050
CO,EL PASO,5091921313,250,624
CO,EL PASO,5091921314,375,932
CO,EL PASO,5091921315,339,881
CO,EL PASO,5091921316,454,1195
CO,EL PASO,5091921320,331,1064
CO,EL PASO,5091921321,270,760
CO,EL PASO,5091921322,265,747
CO,EL PASO,5091921440,424,1127
CO,EL PASO,5091921441,532,1333
CO,EL PASO,5091921442,369,1097
CO,EL PASO,5091921443,393,1068
CO,EL PASO,5091921444,400,1043
CO,EL PASO,5091921525,29,136
CO,EL PASO,5092021101,600,941
CO,EL PASO,5092021102,645,634
CO,EL PASO,5092021103,596,879
CO,EL PASO,5092021104,660,800
CO,EL PASO,5092021105,619,935
CO,EL PASO,5092021106,579,797
CO,EL PASO,5092021200,65,130
CO,EL PASO,5092021201,453,880
CO,EL PASO,5092021202,501,918
CO,EL PASO,5092021203,487,940
CO,EL PASO,5092021204,655,912
CO,EL PASO,5092021205,567,854
CO,EL PASO,5092021206,506,750
CO,EL PASO,5092021207,543,811
CO,EL PASO,5092021301,231,395
CO,EL PASO,5092021302,517,787
CO,EL PASO,5092021741,142,202
CO,EL PASO,5101421141,458,783
CO,EL PASO,5101421142,429,845
CO,EL PASO,5101421143,515,1079
CO,EL PASO,5101421144,330,576
CO,EL PASO,5101421145,397,752
CO,EL PASO,5101421146,482,961
CO,EL PASO,5101421234,397,811
CO,EL PASO,5101421235,488,1047
CO,EL PASO,5101421239,440,821
CO,EL PASO,5101421240,467,918
CO,EL PASO,5101421241,265,498
CO,EL PASO,5101421242,528,911
CO,EL PASO,5101421243,343,627
CO,EL PASO,5101521159,82,186
CO,EL PASO,5101521401,471,970
CO,EL PASO,5101521402,439,891
CO,EL PASO,5101521403,579,1215
CO,EL PASO,5101521404,291,572
CO,EL PASO,5101521405,421,705
CO,EL PASO,5101521406,354,677
CO,EL PASO,5101621120,539,849
CO,EL PASO,5101621121,279,445
CO,EL PASO,5101621122,404,449
CO,EL PASO,5101621123,636,763
CO,EL PASO,5101621124,411,718
CO,EL PASO,5101621125,580,899
CO,EL PASO,5101621126,556,588
CO,EL PASO,5101621127,686,789
CO,EL PASO,5101621128,579,884
CO,EL PASO,5101621129,581,598
CO,EL PASO,5101621130,670,727
CO,EL PASO,5101621131,586,616
CO,EL PASO,5101621140,502,840
CO,EL PASO,5101621147,226,314
CO,EL PASO,5101621148,487,564
CO,EL PASO,5101621149,512,922
CO,EL PASO,5101621150,498,1005
CO,EL PASO,5101621151,420,780
CO,EL PASO,5101621152,622,779
CO,EL PASO,5101621153,531,861
CO,EL PASO,5101621154,571,698
CO,EL PASO,5101621157,358,560
CO,EL PASO,5101621160,454,609
CO,EL PASO,5101621175,541,629
CO,EL PASO,5101821171,543,334
CO,EL PASO,5101821174,616,534
CO,EL PASO,5101821181,57,62
CO,EL PASO,5111721182,438,296
CO,EL PASO,5111721183,609,640
CO,EL PASO,5111721184,617,546
CO,EL PASO,5111721190,362,409
CO,EL PASO,5111721193,250,268
CO,EL PASO,5111721194,220,185
CO,EL PASO,5111721610,221,194
CO,EL PASO,5111721611,770,551
CO,EL PASO,5111721612,733,440
CO,EL PASO,5111721613,600,691
CO,EL PASO,5111721620,664,656
CO,EL PASO,5111721621,707,604
CO,EL PASO,5111721622,706,607
CO,EL PASO,5111721623,620,598
CO,EL PASO,5111821110,784,545
CO,EL PASO,5111821111,727,548
CO,EL PASO,5111821112,786,503
CO,EL PASO,5111821113,804,457
CO,EL PASO,5111821114,766,727
CO,EL PASO,5111821170,835,571
CO,EL PASO,5111821172,1037,501
CO,EL PASO,5111821173,953,536
CO,EL PASO,5111821176,1102,280
CO,EL PASO,5111821177,964,497
CO,EL PASO,5111821178,913,513
CO,EL PASO,5111821179,816,577
CO,EL PASO,5111821180,768,662
CO,EL PASO,5111821742,565,222
CO,EL PASO,5111821743,636,304
CO,EL PASO,5111821744,527,385
CO,EL PASO,5112021601,637,483
CO,EL PASO,5121521158,568,843
CO,EL PASO,5121521161,349,783
CO,EL PASO,5121521162,434,718
CO,EL PASO,5121521191,390,645
CO,EL PASO,5121521192,519,776
CO,EL PASO,5121521195,595,679
CO,EL PASO,5121521410,487,919
CO,EL PASO,5121521411,423,800
CO,EL PASO,5121521412,514,938
CO,EL PASO,5121521413,530,838
CO,EL PASO,5121521414,411,610
CO,EL PASO,5121521415,418,621
CO,EL PASO,5121521420,514,965
CO,EL PASO,5121521650,278,408
CO,EL PASO,5121621155,312,456
CO,EL PASO,5121621156,223,397
CO,EL PASO,5121721631,109,115
CO,EL PASO,5121821115,263,328
CO,EL PASO,5121821721,319,471
CO,EL PASO,5121821722,578,623
CO,EL PASO,5121821723,723,705
CO,EL PASO,5121821724,579,497
CO,EL PASO,5121921451,212,552
CO,EL PASO,5121921453,274,746
CO,EL PASO,5121921651,111,202
CO,EL PASO,5122021602,396,456
CO,EL PASO,5122021603,315,274
CO,EL PASO,5122021604,556,607
CO,EL PASO,5122021725,504,591
CO,EL PASO,5122021726,311,558
CO,EL PASO,5122021727,421,682
CO,EL PASO,5122021728,468,918
CO,EL PASO,5122021729,520,949
CO,EL PASO,5122021730,575,889
CO,EL PASO,5122121633,649,859
CO,EL PASO,5122121634,565,806
CO,EL PASO,5122121635,371,548
CO,EL PASO,5122121636,413,555
CO,EL PASO,5122121637,571,710
CO,EL PASO,5122121638,537,630
CO,EL PASO,5122121640,569,778
CO,EL PASO,5122121641,666,912
CO,EL PASO,5122121800,59,81
CO,FREMONT,5024722001,207,397
CO,FREMONT,5024722002,210,413
CO,FREMONT,5024722003,216,494
CO,FREMONT,5024722025,228,338
CO,FREMONT,5024722026,158,215
CO,FREMONT,5024722028,166,208
CO,FREMONT,5026022004,356,564
CO,FREMONT,5026022005,169,325
CO,FREMONT,5026022006,311,536
CO,FREMONT,5026022007,212,292
CO,FREMONT,5026022008,566,919
CO,FREMONT,5026022009,173,229
CO,FREMONT,5026022010,251,352
CO,FREMONT,5026022011,196,298
CO,FREMONT,5026022012,192,272
CO,FREMONT,5026022013,219,369
CO,FREMONT,5026022014,210,311
CO,FREMONT,5026022015,232,350
CO,FREMONT,5026022016,439,709
CO,FREMONT,5026022017,303,454
CO,FREMONT,5026022018,140,329
CO,FREMONT,5026022019,340,582
CO,FREMONT,5026022020,107,173
CO,FREMONT,5026022021,197,240
CO,FREMONT,5026022022,42,87
CO,FREMONT,5026022023,102,200
CO,FREMONT,5026022024,69,80
CO,FREMONT,5026022027,68,111
