STATE,COUNTY,PRECINCT,DEM,REP
CO,ADAMS,4253001245,41,171
CO,ADAMS,4255601241,3,26
CO,ADAMS,4255601246,142,450
CO,ADAMS,4255601247,56,248
CO,ADAMS,4255601248,325,1040
CO,ADAMS,4255601249,0,15
CO,ADAMS,4255601250,38,175
CO,ADAMS,4255601251,0,12
CO,ADAMS,6243101150,433,467
CO,ADAMS,6243101151,357,418
CO,ADAMS,6243101159,267,389
CO,ADAMS,6243401075,329,465
CO,ADAMS,6243401076,327,389
CO,ADAMS,6243401077,175,248
CO,ADAMS,6245601071,188,298
CO,ADAMS,6245601072,24,80
CO,ADAMS,6245601073,228,331
CO,ADAMS,6245601074,257,437
CO,ADAMS,6245601160,75,172
CO,ADAMS,6253001152,279,345
CO,ADAMS,6253001153,170,237
CO,ADAMS,6253001154,6,25
CO,ADAMS,6253001155,97,122
CO,ADAMS,6253001156,63,115
CO,ADAMS,6253001157,240,313
CO,ADAMS,6253001226,42,67
CO,ADAMS,6253001229,535,181
CO,ADAMS,6253001230,608,222
CO,ADAMS,6253001231,409,151
CO,ADAMS,6253001232,141,58
CO,ADAMS,6253001233,469,192
CO,ADAMS,6253001234,314,198
CO,ADAMS,6253001235,188,78
CO,ADAMS,6253001236,323,220
CO,ADAMS,6253001237,292,129
CO,ADAMS,6253001238,298,254
CO,ADAMS,6253001239,288,213
CO,ADAMS,6253001240,336,192
CO,ADAMS,6253001242,69,196
CO,ADAMS,6253001243,144,377
CO,ADAMS,6253101158,219,215
CO,ADAMS,6255601161,25,60
CO,ADAMS,6255601162,176,428
CO,ADAMS,6255601163,48,93
CO,ADAMS,6255601164,108,187
CO,ADAMS,6255601165,232,381
CO,ADAMS,6255601166,96,233
CO,ADAMS,6255601167,120,236
CO,ADAMS,6255601168,42,63
CO,ADAMS,6255601169,97,225
CO,ADAMS,6255601170,373,211
CO,ADAMS,6255601171,390,327
CO,ADAMS,6255601172,64,81
CO,ADAMS,6255601173,24,40
CO,ADAMS,6255601174,32,102
CO,ADAMS,6255601175,260,445
CO,ADAMS,6255601176,89,169
CO,ADAMS,6255601177,0,0
CO,ADAMS,6255601178,0,0
CO,ADAMS,6255601179,0,0
CO,ADAMS,6255601180,162,275
CO,ADAMS,6255601181,287,373
CO,ADAMS,6255601182,120,165
CO,ADAMS,6255601183,36,91
CO,ADAMS,6255601184,54,106
CO,ADAMS,6255601185,116,221
CO,ADAMS,6255601186,272,365
CO,ADAMS,6255601187,311,311
CO,ADAMS,6255601188,179,311
CO,ADAMS,6255601189,222,349
CO,ADAMS,6255601190,272,410
CO,ADAMS,6255601191,369,347
CO,ADAMS,6255601192,193,189
CO,ADAMS,6255601193,193,314
CO,ADAMS,6255601194,81,136
CO,ADAMS,6255601195,104,148
CO,ADAMS,6255601196,12,9
CO,ADAMS,6255601197,12,17
CO,ADAMS,6255601198,138,286
CO,ADAMS,6255601227,66,177
CO,ADAMS,6255601228,174,405
CO,ADAMS,6255601244,114,332
CO,ADAMS,7213001130,72,77
CO,ADAMS,7213001140,133,148
CO,ADAMS,7213001141,221,187
CO,ADAMS,7213001199,129,232
CO,ADAMS,7213001200,17,71
CO,ADAMS,7213001201,68,85
CO,ADAMS,7213001202,90,139
CO,ADAMS,7213001203,50,82
CO,ADAMS,7213001204,172,173
CO,ADAMS,7213001205,345,324
CO,ADAMS,7213001206,316,334
CO,ADAMS,7213001207,152,189
CO,ADAMS,7213001210,228,273
CO,ADAMS,7213001211,113,111
CO,ADAMS,7213001212,63,77
CO,ADAMS,7213001213,51,31
CO,ADAMS,7213001214,255,337
CO,ADAMS,7213001215,308,408
CO,ADAMS,7213001225,58,97
CO,ADAMS,7213101117,475,249
CO,ADAMS,7213101118,284,166
CO,ADAMS,7213201001,406,168
CO,ADAMS,7213201002,500,210
CO,ADAMS,7213201003,235,132
CO,ADAMS,7213201004,238,157
CO,ADAMS,7213201005,497,228
CO,ADAMS,7213201006,281,113
CO,ADAMS,7213201007,348,297
CO,ADAMS,7213201008,289,185
CO,ADAMS,7213201009,274,190
CO,ADAMS,7213201021,413,182
CO,ADAMS,7213201022,432,249
CO,ADAMS,7213201023,281,172
CO,ADAMS,7213201119,336,167
CO,ADAMS,7213201120,339,208
CO,ADAMS,7213201121,311,209
CO,ADAMS,7213201122,222,119
