STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
CO,ADAMS,4253001245,104.0,228.0
CO,ADAMS,4255601241,9.0,24.0
CO,ADAMS,4255601246,293.0,559.0
CO,ADAMS,4255601247,79.0,274.0
CO,ADAMS,4255601248,441.0,1159.0
CO,ADAMS,4255601249,2.0,16.0
CO,ADAMS,4255601250,44.0,191.0
CO,ADAMS,4255601251,1.0,11.0
CO,ARAPAHOE,4283603348,0.0,0.0
CO,ARAPAHOE,4283603350,0.0,0.0
CO,ARAPAHOE,4293603358,24.0,3.0
,,,,
CO,ARAPAHOE,4295603357,0.0,0.0
CO,ARAPAHOE,4295603359,0.0,0.0
CO,ARAPAHOE,4295603362,414.0,1138.0
CO,ARAPAHOE,4295603363,205.0,566.0
CO,ARAPAHOE,4295603364,266.0,625.0
CO,ARAPAHOE,4295603365,92.0,313.0
CO,BACA,4356405001,47.0,211.0
CO,BACA,4356405002,51.0,228.0
CO,BACA,4356405003,39.0,112.0
CO,BACA,4356405004,67.0,226.0
CO,BACA,4356405005,29.0,95.0
CO,BACA,4356405006,25.0,120.0
CO,BACA,4356405007,85.0,255.0
CO,BACA,4356405008,110.0,234.0
CO,BACA,4356405009,14.0,78.0
CO,BENT,4356406001,76.0,189.0
CO,BENT,4356406002,84.0,340.0
CO,BENT,4356406003,273.0,163.0
CO,BENT,4356406004,225.0,132.0
CO,BENT,4356406005,157.0,251.0
CO,BOULDER,4171107616,552.0,348.0
CO,BOULDER,4171107617,777.0,589.0
CO,BOULDER,4171107618,577.0,402.0
CO,BOULDER,4171107619,725.0,331.0
CO,BOULDER,4171107620,714.0,481.0
CO,BOULDER,4171107621,596.0,245.0
CO,BOULDER,4171107622,412.0,140.0
CO,BOULDER,4171107623,704.0,187.0
CO,BOULDER,4171107624,420.0,182.0
CO,BOULDER,4171107625,564.0,157.0
CO,BOULDER,4171107626,564.0,338.0
CO,BOULDER,4171107627,384.0,208.0
CO,BOULDER,4171107628,402.0,273.0
CO,BOULDER,4171107629,329.0,140.0
CO,BOULDER,4171107630,477.0,197.0
CO,BOULDER,4171107631,303.0,157.0
CO,BOULDER,4171107632,529.0,419.0
CO,BOULDER,4171107633,401.0,174.0
CO,BOULDER,4171107634,390.0,218.0
CO,BOULDER,4171107635,349.0,354.0
CO,BOULDER,4171107636,518.0,426.0
CO,BOULDER,4171107637,612.0,419.0
CO,BOULDER,4171107638,401.0,470.0
CO,BOULDER,4171107639,391.0,365.0
CO,BOULDER,4171107640,373.0,357.0
CO,BOULDER,4171107641,367.0,302.0
CO,BOULDER,4171107642,531.0,350.0
CO,BOULDER,4171107643,353.0,232.0
CO,BOULDER,4171107644,422.0,172.0
CO,BOULDER,4171107645,378.0,304.0
CO,BOULDER,4171107646,348.0,433.0
CO,BOULDER,4171107647,422.0,446.0
CO,BOULDER,4171107648,375.0,362.0
CO,BOULDER,4171107649,332.0,229.0
CO,BOULDER,4171107650,357.0,269.0
CO,BOULDER,4171107651,467.0,341.0
CO,BOULDER,4171107652,502.0,309.0
CO,BOULDER,4171107653,306.0,327.0
CO,BOULDER,4171107654,685.0,464.0
CO,BOULDER,4171207600,571.0,670.0
CO,BOULDER,4171207601,564.0,493.0
CO,BOULDER,4171207602,321.0,310.0
CO,BOULDER,4171207603,536.0,534.0
CO,BOULDER,4171207604,398.0,408.0
CO,BOULDER,4171207605,462.0,338.0
CO,BOULDER,4171207606,391.0,229.0
