STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
CO,ADAMS,4253001245,104.0,228.0
CO,ADAMS,4255601241,9.0,24.0
CO,ADAMS,4255601246,293.0,559.0
CO,ADAMS,4255601247,79.0,274.0
CO,ADAMS,4255601248,441.0,1159.0
CO,ADAMS,4255601249,2.0,16.0
CO,ADAMS,4255601250,44.0,191.0
CO,ADAMS,4255601251,1.0,11.0
CO,ADAMS,6243101150,631.0,560.0
CO,ADAMS,6243101151,555.0,527.0
CO,ADAMS,6243101159,372.0,457.0
CO,ADAMS,6243401075,324.0,444.0
CO,ADAMS,6243401076,509.0,495.0
CO,ADAMS,6243401077,280.0,296.0
CO,ADAMS,6245601071,200.0,290.0
CO,ADAMS,6245601072,41.0,97.0
CO,ADAMS,6245601073,329.0,429.0
CO,ADAMS,6245601074,353.0,517.0
CO,ADAMS,6245601160,105.0,188.0
CO,ADAMS,6253001152,428.0,430.0
CO,ADAMS,6253001153,247.0,257.0
CO,ADAMS,6253001154,24.0,21.0
CO,ADAMS,6253001155,120.0,120.0
CO,ADAMS,6253001156,88.0,127.0
CO,ADAMS,6253001157,357.0,357.0
CO,ADAMS,6253001226,76.0,80.0
CO,ADAMS,6253001229,1120.0,202.0
CO,ADAMS,6253001230,1071.0,262.0
CO,ADAMS,6253001231,741.0,152.0
CO,ADAMS,6253001232,153.0,81.0
CO,ADAMS,6253001233,671.0,237.0
CO,ADAMS,6253001234,522.0,238.0
CO,ADAMS,6253001235,405.0,89.0
CO,ADAMS,6253001236,536.0,256.0
CO,ADAMS,6253001237,548.0,180.0
CO,ADAMS,6253001238,520.0,300.0
CO,ADAMS,6253001239,469.0,266.0
CO,ADAMS,6253001240,483.0,234.0
CO,ADAMS,6253001242,104.0,269.0
CO,ADAMS,6253001243,217.0,378.0
CO,ADAMS,6253101158,389.0,282.0
CO,ADAMS,6255601161,37.0,72.0
CO,ADAMS,6255601162,223.0,454.0
CO,ADAMS,6255601163,48.0,79.0
CO,ADAMS,6255601164,142.0,211.0
CO,ADAMS,6255601165,186.0,308.0
CO,ADAMS,6255601166,112.0,252.0
CO,ADAMS,6255601167,151.0,251.0
CO,ADAMS,6255601168,62.0,58.0
CO,ADAMS,6255601169,143.0,246.0
CO,ADAMS,6255601170,652.0,246.0
CO,ADAMS,6255601171,563.0,370.0
CO,ADAMS,6255601172,87.0,83.0
CO,ADAMS,6255601173,36.0,42.0
CO,ADAMS,6255601174,53.0,84.0
CO,ADAMS,6255601175,370.0,519.0
CO,ADAMS,6255601176,121.0,190.0
CO,ADAMS,6255601177,0.0,0.0
CO,ADAMS,6255601178,0.0,0.0
CO,ADAMS,6255601179,0.0,0.0
CO,ADAMS,6255601180,210.0,249.0
CO,ADAMS,6255601181,488.0,499.0
CO,ADAMS,6255601182,195.0,227.0
CO,ADAMS,6255601183,72.0,103.0
CO,ADAMS,6255601184,101.0,124.0
CO,ADAMS,6255601185,164.0,231.0
CO,ADAMS,6255601186,430.0,422.0
CO,ADAMS,6255601187,455.0,369.0
CO,ADAMS,6255601188,257.0,337.0
CO,ADAMS,6255601189,307.0,360.0
CO,ADAMS,6255601190,460.0,452.0
CO,ADAMS,6255601191,603.0,382.0
CO,ADAMS,6255601192,375.0,234.0
CO,ADAMS,6255601193,428.0,365.0
CO,ADAMS,6255601194,85.0,114.0
CO,ADAMS,6255601195,132.0,166.0
CO,ADAMS,6255601196,55.0,17.0
