STATE,COUNTY,PRECINCT,DEM,REP
FL,Broward,M001,573,301
FL,Broward,M014,488,222
FL,Broward,M022,374,209
FL,Broward,M025,714,481
FL,Broward,M029,403,226
FL,Broward,M030,944,482
FL,Broward,N004,556,439
FL,Broward,Q060,1012,652
FL,Broward,Q061,1132,714
FL,Broward,Q062,681,331
FL,Broward,Q063,315,249
FL,Broward,Q064,496,326
FL,Broward,Q065,1271,750
FL,Broward,Q066,449,529
FL,Broward,Q067,604,588
FL,Broward,Q068,638,419
FL,Broward,Q069,395,247
FL,Broward,Q070,1002,597
FL,Broward,Q071,690,537
FL,Broward,Q072,615,483
FL,Broward,Q090,308,349
FL,Broward,Q091,714,1025
FL,Broward,R065,7,6
FL,Broward,S001,672,128
FL,Broward,S002,628,26
FL,Broward,S003,626,315
FL,Broward,S004,660,439
FL,Broward,S005,366,259
FL,Broward,S006,332,168
FL,Broward,S007,276,207
FL,Broward,S008,535,282
FL,Broward,S009,394,213
FL,Broward,T001,491,219
FL,Broward,T002,395,202
FL,Broward,T003,546,466
FL,Broward,T004,251,135
FL,Broward,T005,210,104
FL,Broward,T006,197,186
FL,Broward,T007,330,271
FL,Broward,T008,508,336
FL,Broward,T009,687,228
FL,Broward,T010,918,801
FL,Broward,T011,383,328
FL,Broward,T012,283,138
FL,Broward,T013,240,157
FL,Broward,T014,550,358
FL,Broward,T015,591,416
FL,Broward,T016,37,30
FL,Broward,T017,361,284
FL,Broward,T018,1248,1416
FL,Broward,T019,302,184
FL,Broward,T020,560,405
FL,Broward,T021,358,405
FL,Broward,T022,185,137
FL,Broward,T023,307,146
FL,Broward,T024,358,260
FL,Broward,T025,437,292
FL,Broward,T026,542,475
FL,Broward,T027,208,222
FL,Broward,T028,1226,623
FL,Broward,T029,467,308
FL,Broward,T030,123,141
FL,Broward,U001,288,226
FL,Broward,U002,408,309
FL,Broward,U003,774,615
FL,Broward,U004,963,810
FL,Broward,U005,519,335
FL,Broward,U006,1218,575
FL,Broward,U007,506,403
FL,Broward,U008,217,194
FL,Broward,U009,236,139
FL,Broward,U010,535,340
FL,Broward,U011,574,406
FL,Broward,V001,217,237
FL,Broward,V002,901,726
FL,Broward,V003,439,213
FL,Broward,V004,280,80
FL,Broward,V005,337,218
FL,Broward,V006,372,159
FL,Broward,V007,655,422
FL,Broward,V008,352,12
FL,Broward,V009,400,138
FL,Broward,V010,106,46
FL,Broward,V011,604,41
FL,Broward,V012,625,272
FL,Broward,V013,239,83
FL,Broward,V014,336,169
FL,Broward,V015,350,186
FL,Broward,V016,485,240
FL,Broward,V017,147,36
FL,Broward,V018,1072,198
FL,Broward,V019,436,44
FL,Broward,V020,216,65
FL,Broward,V021,453,324
FL,Broward,V022,449,304
FL,Broward,V023,257,139
FL,Broward,V024,650,282
FL,Broward,V025,341,304
FL,Broward,V026,264,135
FL,Broward,V027,221,152
FL,Broward,V028,301,182
FL,Broward,V029,160,116
FL,Broward,V030,415,339
FL,Broward,V031,329,252
FL,Broward,V032,467,212
FL,Broward,V033,379,223
FL,Broward,V034,588,191
FL,Broward,V035,152,52
FL,Broward,V036,195,55
FL,Broward,V037,266,89
FL,Broward,V038,256,83
FL,Broward,V039,319,138
FL,Broward,V040,293,180
FL,Broward,V041,212,59
FL,Broward,V042,514,175
FL,Broward,V043,264,96
FL,Broward,V044,417,170
FL,Broward,V045,291,151
FL,Broward,V046,127,79
FL,Broward,V047,345,246
FL,Broward,V048,272,106
FL,Broward,V049,293,120
FL,Broward,V050,374,163
FL,Broward,V051,375,213
FL,Broward,V052,366,166
FL,Broward,V053,624,362
FL,Broward,V054,264,105
FL,Broward,V055,390,362
FL,Broward,V056,187,83
FL,Broward,V057,852,460
FL,Broward,V058,204,131
FL,Broward,X001,425,186
FL,Broward,X003,447,132
FL,Broward,X004,281,144
FL,Broward,X005,425,322
FL,Broward,X006,654,304
FL,Broward,X007,463,324
FL,Broward,X008,326,132
FL,Broward,X010,777,504
FL,Broward,X012,457,166
FL,Broward,X013,720,300
FL,Broward,X014,637,204
FL,Broward,X015,261,219
FL,Broward,X016,399,287
FL,Broward,X017,706,327
FL,Broward,X018,277,101
FL,Broward,X019,683,388
FL,Broward,X020,891,547
FL,Broward,X023,529,137
FL,Broward,X024,50,18
FL,Broward,X025,239,133
FL,Broward,X026,328,197
FL,Broward,X027,612,360
FL,Broward,X031,947,516
FL,Broward,X032,256,262
FL,Broward,X035,631,291
FL,Broward,X036,536,246
FL,Broward,X037,137,155
FL,Broward,X038,852,564
FL,Broward,X039,270,192
FL,Broward,X040,793,581
FL,Broward,X044,224,130
FL,Broward,X045,417,138
FL,Broward,X046,376,118
FL,Broward,X048,299,121
FL,Broward,X049,566,229
FL,Broward,Y001,200,228
FL,Broward,Y002,469,441
FL,Broward,Y003,405,265
FL,Broward,Y004,629,357
FL,Broward,Y005,486,356
FL,Broward,Y006,843,422
FL,Broward,Y007,753,263
FL,Broward,Y008,1010,57
FL,Broward,Z003,1,1
FL,Broward,Z004,77,19
