STATE,COUNTY,PRECINCT,DEM,REP
FL,Citrus,100,458,955
FL,Citrus,101,494,1109
FL,Citrus,102,195,317
FL,Citrus,104,370,660
FL,Citrus,105,391,841
FL,Citrus,107,504,1040
FL,Citrus,108,576,1463
FL,Citrus,109,587,1488
FL,Citrus,110,1174,2174
FL,Citrus,200,463,1012
FL,Citrus,201,602,1236
FL,Citrus,202,1068,2674
FL,Citrus,203,555,989
FL,Citrus,204,485,1273
FL,Citrus,205,363,499
FL,Citrus,206,435,540
FL,Citrus,208,337,682
FL,Citrus,300,380,761
FL,Citrus,301,1050,2148
FL,Citrus,302,882,1800
FL,Citrus,305,891,1456
FL,Citrus,307,1642,3576
FL,Citrus,400,358,819
FL,Citrus,401,207,392
FL,Citrus,402,463,788
FL,Citrus,403,921,1516
FL,Citrus,404,520,1074
FL,Citrus,405,1119,2218
FL,Citrus,406,439,969
FL,Citrus,407,479,799
FL,Citrus,408,480,996
