STATE,COUNTY,PRECINCT,DEM,REP
FL,Collier,101,137,206
FL,Collier,103,338,587
FL,Collier,135,546,893
FL,Collier,139,161,243
FL,Collier,141,309,644
FL,Collier,142,255,610
FL,Collier,150,14,28
FL,Collier,155,531,1427
FL,Collier,156,880,1131
FL,Collier,159,182,707
FL,Collier,189,63,79
FL,Collier,190,434,1729
FL,Collier,193,708,2568
FL,Collier,194,487,2107
FL,Collier,202,925,2613
FL,Collier,203,604,1518
FL,Collier,205,916,2050
FL,Collier,222,352,1050
FL,Collier,223,1041,1962
FL,Collier,251,964,1910
FL,Collier,252,338,1251
FL,Collier,255,920,3115
FL,Collier,257,534,1312
FL,Collier,258,859,1980
FL,Collier,414,519,853
FL,Collier,416,120,511
FL,Collier,418,883,2393
FL,Collier,428,211,368
FL,Collier,430,269,381
FL,Collier,434,660,1157
FL,Collier,462,424,1876
FL,Collier,464,603,2089
FL,Collier,472,111,74
FL,Collier,475,140,578
FL,Collier,477,595,2054
FL,Collier,479,364,788
