STATE,COUNTY,PRECINCT,DEM,REP
FL,Duval,101,248,323
FL,Duval,102,889,544
FL,Duval,106,892,1293
FL,Duval,107,313,266
FL,Duval,109,253,453
FL,Duval,110,126,450
FL,Duval,114,321,156
FL,Duval,403,239,157
FL,Duval,405,275,154
FL,Duval,502,106,93
FL,Duval,504,172,72
FL,Duval,506,538,664
FL,Duval,507,257,72
FL,Duval,511,154,166
FL,Duval,701,294,199
FL,Duval,702,342,119
FL,Duval,704,727,344
FL,Duval,705,1123,306
FL,Duval,706,478,15
FL,Duval,707,997,90
FL,Duval,708,372,45
FL,Duval,709,2104,196
FL,Duval,710,1539,287
FL,Duval,711,358,24
FL,Duval,712,453,130
FL,Duval,713,609,405
FL,Duval,714,607,65
FL,Duval,801,797,212
FL,Duval,802,1302,83
FL,Duval,803,1666,498
FL,Duval,804,626,360
FL,Duval,805,798,277
FL,Duval,806,301,13
FL,Duval,807,605,42
FL,Duval,808,613,22
FL,Duval,809,719,32
FL,Duval,811,522,19
FL,Duval,812,441,26
FL,Duval,813,1355,826
FL,Duval,815,632,29
FL,Duval,816,239,51
FL,Duval,817,984,635
FL,Duval,818,448,132
FL,Duval,901,432,190
FL,Duval,902,1034,41
FL,Duval,903,430,416
FL,Duval,904,1117,37
FL,Duval,905,467,391
FL,Duval,908,468,492
FL,Duval,909,470,27
FL,Duval,910,739,110
FL,Duval,911,929,296
FL,Duval,912,450,20
FL,Duval,913,333,297
FL,Duval,914,777,792
FL,Duval,1001,1426,107
FL,Duval,1002,1474,63
FL,Duval,1003,814,44
FL,Duval,1004,1276,49
FL,Duval,1005,1723,81
FL,Duval,1006,79,97
FL,Duval,1007,123,164
FL,Duval,1008,709,352
FL,Duval,1009,562,527
FL,Duval,1012,740,379
FL,Duval,1013,138,96
FL,Duval,1014,780,747
FL,Duval,1015,592,673
FL,Duval,1016,404,365
FL,Duval,1206,112,207
FL,Duval,1208,180,211
FL,Duval,1213,320,344
FL,Duval,1401,474,751
FL,Duval,1405,0,1
FL,Duval,1407,7,0
FL,Duval,1409,200,573
FL,Duval,1410,744,1184
FL,Duval,1414,231,358
