STATE,COUNTY,PRECINCT,DEM,REP
FL,Indian River,1,3,20
FL,Indian River,2,125,118
FL,Indian River,3,129,357
FL,Indian River,4,1,14
FL,Indian River,5,549,1081
FL,Indian River,6,299,536
FL,Indian River,7,297,683
FL,Indian River,8,705,1351
FL,Indian River,9,924,1827
FL,Indian River,10,1010,1894
FL,Indian River,11,230,477
FL,Indian River,12,137,363
FL,Indian River,13,692,2208
FL,Indian River,14,381,1121
FL,Indian River,15,32,309
FL,Indian River,16,421,2086
FL,Indian River,17,685,1931
FL,Indian River,18,363,1672
FL,Indian River,19,328,696
FL,Indian River,20,71,206
FL,Indian River,21,893,248
FL,Indian River,22,456,1239
FL,Indian River,23,383,669
FL,Indian River,24,126,194
FL,Indian River,25,250,655
FL,Indian River,26,329,466
FL,Indian River,27,651,1404
FL,Indian River,28,908,1811
FL,Indian River,29,958,1636
FL,Indian River,30,478,1089
FL,Indian River,31,491,1320
FL,Indian River,32,875,2187
FL,Indian River,33,335,1014
FL,Indian River,34,481,1059
FL,Indian River,35,498,1155
FL,Indian River,36,259,609
FL,Indian River,37,26,63
