STATE,COUNTY,PRECINCT,DEM,REP
FL,Martin,1,1007,680
FL,Martin,2,1780,1223
FL,Martin,3,1583,981
FL,Martin,4,1090,525
FL,Martin,5,535,426
FL,Martin,6,1473,1167
FL,Martin,7,1896,1126
FL,Martin,8,745,233
FL,Martin,9,653,859
FL,Martin,10,624,548
FL,Martin,11,824,580
FL,Martin,12,1430,1098
FL,Martin,13,1700,1511
FL,Martin,14,1374,811
FL,Martin,15,1061,984
FL,Martin,16,325,179
FL,Martin,17,726,794
FL,Martin,18,1529,1206
FL,Martin,19,1247,1120
FL,Martin,20,599,508
FL,Martin,21,1335,1810
FL,Martin,22,1300,1018
FL,Martin,23,1236,928
FL,Martin,24,1236,992
FL,Martin,25,1728,1617
FL,Martin,26,1500,1483
FL,Martin,27,1527,1483
FL,Martin,28,156,269
FL,Martin,29,647,506
FL,Martin,30,248,13
FL,Martin,31,1030,788
