STATE,COUNTY,PRECINCT,NEW_DEM,NEW_REP
FL,Orange,101,907,891
FL,Orange,102,548,688
FL,Orange,104,668,889
FL,Orange,105,583,349
FL,Orange,106,501,1123
FL,Orange,107,387,1184
FL,Orange,108,588,905
FL,Orange,109,750,1193
FL,Orange,110,1006,1883
FL,Orange,111,376,1263
FL,Orange,112,759,1863
FL,Orange,113,752,1340
FL,Orange,114,589,521
FL,Orange,115,672,939
FL,Orange,116,495,780
FL,Orange,117,712,632
FL,Orange,118,605,707
FL,Orange,124,355,293
FL,Orange,125,761,1578
FL,Orange,126,247,354
FL,Orange,127,366,795
FL,Orange,128,518,1339
FL,Orange,129,201,1313
FL,Orange,130,584,1717
FL,Orange,131,763,1105
FL,Orange,132,773,1469
FL,Orange,133,914,1538
FL,Orange,134,897,1260
FL,Orange,135,714,1458
FL,Orange,201,205,704
FL,Orange,218,708,860
FL,Orange,219,886,808
FL,Orange,220,580,1195
FL,Orange,221,1117,1259
FL,Orange,222,1001,929
FL,Orange,223,205,115
FL,Orange,301,724,692
FL,Orange,302,737,895
FL,Orange,303,864,915
FL,Orange,304,504,580
FL,Orange,325,680,1048
FL,Orange,326,550,1123
FL,Orange,327,600,713
FL,Orange,328,403,578
FL,Orange,330,434,910
FL,Orange,331,623,585
FL,Orange,332,913,604
FL,Orange,333,387,981
FL,Orange,334,564,1390
FL,Orange,335,461,935
FL,Orange,336,723,919
FL,Orange,337,750,1554
FL,Orange,338,506,760
FL,Orange,420,20,8
FL,Orange,501,1197,938
FL,Orange,502,1201,785
FL,Orange,503,582,360
FL,Orange,505,701,522
FL,Orange,507,401,780
FL,Orange,508,843,950
FL,Orange,509,559,823
FL,Orange,614,1068,518
FL,Orange,615,908,475
FL,Orange,617,55,51
FL,Orange,618,72,57
FL,Orange,631,67,54
FL,Lake,6,580,709
FL,Lake,7,388,1099
FL,Lake,8,688,1605
FL,Lake,9,243,617
FL,Lake,10,228,590
FL,Lake,12,561,1011
FL,Lake,13,210,597
FL,Lake,14,543,965
FL,Lake,15,579,637
FL,Lake,16,338,992
FL,Lake,17,228,682
FL,Lake,18,214,775
FL,Lake,19,259,595
FL,Lake,20,246,416
FL,Lake,21,200,770
FL,Lake,22,1233,2046
FL,Lake,23,826,1362
FL,Lake,24,161,505
FL,Lake,25,568,1288
FL,Lake,26,377,541
FL,Lake,27,333,83
FL,Lake,28,179,142
FL,Lake,29,228,433
FL,Lake,30,395,1019
FL,Lake,31,325,637
FL,Lake,32,619,1643
FL,Lake,33,190,441
FL,Lake,34,125,209
FL,Lake,35,298,464
FL,Lake,36,312,569
FL,Lake,37,289,664
FL,Lake,38,421,1040
FL,Lake,39,377,771
FL,Lake,40,463,702
FL,Lake,41,159,422
FL,Lake,42,401,767
FL,Lake,43,810,1036
FL,Lake,44,372,465
FL,Lake,45,313,621
FL,Lake,46,249,375
FL,Lake,47,536,1045
FL,Lake,48,525,884
FL,Lake,50,184,195
FL,Lake,51,109,248
FL,Lake,52,400,531
FL,Lake,55,180,253
FL,Lake,56,101,235
FL,Lake,57,334,76
FL,Lake,58,221,332
FL,Lake,59,426,910
FL,Lake,60,172,262
FL,Lake,61,641,1526
FL,Lake,62,281,744
FL,Lake,63,221,348
FL,Lake,64,140,41
FL,Lake,66,312,453
FL,Lake,67,540,1284
FL,Lake,68,396,541
FL,Lake,69,151,311
FL,Lake,70,201,430
FL,Lake,71,88,264
FL,Lake,74,326,762
FL,Lake,75,402,865
FL,Lake,76,75,163
FL,Lake,77,70,215
FL,Lake,78,687,1602
FL,Lake,79,866,1481
FL,Lake,80,358,879
FL,Lake,81,516,902
FL,Lake,82,783,719
FL,Lake,83,571,1271
FL,Lake,84,852,759
FL,Lake,86,193,699
FL,Lake,87,772,1324
FL,Lake,88,555,1223
FL,Lake,89,713,1087
FL,Lake,90,443,654
FL,Lake,93,486,1069
FL,Lake,94,361,1031
FL,Lake,97,772,822
FL,Lake,98,80,166
FL,Lake,99,291,685
FL,Lake,100,484,1388
FL,Lake,101,325,675
FL,Lake,102,303,585
FL,Lake,103,357,716
FL,Lake,104,213,351
