STATE,COUNTY,PRECINCT,DEM,REP
FL,St. Johns,101,508,1788
FL,St. Johns,102,346,1226
FL,St. Johns,103,307,1312
FL,St. Johns,104,465,1845
FL,St. Johns,105,524,1517
FL,St. Johns,106,381,2064
FL,St. Johns,107,559,2085
FL,St. Johns,108,256,891
FL,St. Johns,109,123,711
FL,St. Johns,110,68,394
FL,St. Johns,201,459,1533
FL,St. Johns,202,281,1088
FL,St. Johns,203,507,1705
FL,St. Johns,204,284,1103
FL,St. Johns,205,506,1441
FL,St. Johns,206,151,389
FL,St. Johns,207,977,483
FL,St. Johns,208,205,586
FL,St. Johns,209,613,799
FL,St. Johns,301,171,458
FL,St. Johns,302,675,1715
FL,St. Johns,303,316,639
FL,St. Johns,304,806,1605
FL,St. Johns,305,1009,1974
FL,St. Johns,306,403,1005
FL,St. Johns,307,712,1699
FL,St. Johns,308,435,1019
FL,St. Johns,309,1081,2158
FL,St. Johns,401,640,2324
FL,St. Johns,402,918,3198
FL,St. Johns,403,600,2778
FL,St. Johns,404,279,1481
FL,St. Johns,405,232,1165
FL,St. Johns,406,838,2437
FL,St. Johns,407,92,393
FL,St. Johns,408,589,2042
FL,St. Johns,409,46,98
FL,St. Johns,501,446,1370
FL,St. Johns,502,734,1469
FL,St. Johns,503,388,431
FL,St. Johns,504,670,1589
FL,St. Johns,505,634,934
FL,St. Johns,506,482,503
FL,St. Johns,507,635,271
FL,St. Johns,508,1011,1637
FL,St. Johns,509,1102,1985
FL,Volusia,101,168,332
FL,Volusia,105,108,234
FL,Volusia,107,176,530
FL,Volusia,201,885,1716
FL,Volusia,202,709,1048
FL,Volusia,203,83,198
FL,Volusia,204,141,244
FL,Volusia,205,348,522
FL,Volusia,206,530,834
FL,Volusia,207,495,956
FL,Volusia,208,915,1420
FL,Volusia,212,819,931
FL,Volusia,215,702,1299
FL,Volusia,216,937,895
FL,Volusia,217,861,422
FL,Volusia,218,867,978
FL,Volusia,220,212,12
FL,Volusia,222,581,733
FL,Volusia,224,665,1241
FL,Volusia,412,221,378
FL,Volusia,501,474,1048
FL,Volusia,502,1154,1579
FL,Volusia,503,205,469
FL,Volusia,504,527,651
FL,Volusia,506,636,1029
FL,Volusia,508,420,671
FL,Volusia,509,234,455
FL,Volusia,510,767,1621
FL,Volusia,511,160,308
FL,Volusia,512,865,1401
FL,Volusia,515,661,716
FL,Volusia,516,526,972
FL,Volusia,517,491,681
FL,Volusia,519,400,389
FL,Volusia,521,1009,1507
FL,Volusia,522,731,839
FL,Volusia,523,543,464
FL,Volusia,526,420,364
FL,Volusia,527,451,410
FL,Volusia,528,481,318
FL,Volusia,529,356,353
FL,Volusia,530,543,423
FL,Volusia,532,475,1150
FL,Volusia,602,813,1077
FL,Volusia,603,1079,283
FL,Volusia,607,981,1097
FL,Volusia,614,1025,236
FL,Volusia,619,655,101
FL,Volusia,620,383,6
FL,Volusia,621,641,87
FL,Volusia,622,159,104
FL,Volusia,623,544,487
FL,Volusia,625,373,553
FL,Volusia,626,366,288
FL,Volusia,628,1080,231
FL,Volusia,633,985,559
FL,Volusia,638,493,591
FL,Volusia,641,981,1349
FL,Volusia,701,1064,1188
FL,Volusia,703,820,907
FL,Volusia,705,309,476
FL,Volusia,706,766,1538
FL,Volusia,709,698,815
FL,Volusia,711,867,954
FL,Volusia,712,429,505
FL,Volusia,714,777,941
FL,Volusia,716,342,1303
FL,Volusia,717,395,427
FL,Volusia,718,809,1041
FL,Volusia,719,480,546
FL,Volusia,720,217,270
FL,Volusia,722,584,617
FL,Volusia,725,487,800
FL,Volusia,726,578,1366
FL,Volusia,728,850,1296
FL,Volusia,729,771,1467
FL,Volusia,732,799,1407
FL,Volusia,733,538,899
FL,Volusia,803,269,728
FL,Volusia,804,762,1189
FL,Volusia,805,1009,1635
FL,Volusia,807,513,538
FL,Volusia,808,1072,1380
FL,Volusia,809,212,230
FL,Volusia,810,443,443
FL,Volusia,812,661,885
FL,Volusia,813,424,697
FL,Volusia,814,534,787
FL,Volusia,816,322,647
FL,Volusia,901,523,577
FL,Volusia,902,839,1026
FL,Volusia,903,803,986
FL,Volusia,904,797,1052
FL,Volusia,907,658,1134
FL,Volusia,909,340,431
FL,Volusia,910,293,348
FL,Putnam,1,171,235
FL,Putnam,2,223,296
FL,Putnam,3,249,513
FL,Putnam,4,100,145
FL,Putnam,5,113,334
FL,Putnam,6,88,134
FL,Putnam,7,188,576
FL,Putnam,8,210,526
FL,Putnam,9,103,172
FL,Putnam,10,467,1025
FL,Putnam,11,505,1014
FL,Putnam,12,145,442
FL,Putnam,20,492,685
FL,Putnam,21,132,200
FL,Putnam,22,164,467
FL,Putnam,23,217,368
FL,Putnam,24,331,610
FL,Putnam,25,158,462
FL,Putnam,26,224,838
FL,Putnam,27,254,729
FL,Putnam,30,35,76
FL,Putnam,31,4,3
FL,Putnam,34,35,153
FL,Flagler,1,315,349
FL,Flagler,3,338,562
FL,Flagler,5,77,167
FL,Flagler,7,262,694
FL,Flagler,9,1087,1455
FL,Flagler,10,641,709
FL,Flagler,11,586,591
FL,Flagler,13,575,644
FL,Flagler,14,558,684
FL,Flagler,15,587,599
FL,Flagler,16,446,485
FL,Flagler,17,343,415
FL,Flagler,18,1484,1676
FL,Flagler,19,954,1049
FL,Flagler,20,428,522
FL,Flagler,21,931,1232
FL,Flagler,23,1600,2550
FL,Flagler,27,1047,1683
FL,Flagler,29,715,1807
FL,Flagler,31,518,1221
FL,Flagler,33,648,1190
FL,Flagler,35,409,591
FL,Flagler,37,378,764
