STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
FL,Orange,101,1676,1231
FL,Orange,102,997,923
FL,Orange,103,178,36
FL,Orange,104,1213,1190
FL,Orange,105,1123,379
FL,Orange,106,888,1330
FL,Orange,107,677,1326
FL,Orange,108,1168,1032
FL,Orange,109,1489,1547
FL,Orange,110,1682,2507
FL,Orange,111,742,1584
FL,Orange,112,1321,2475
FL,Orange,113,1214,1602
FL,Orange,114,1081,684
FL,Orange,115,1237,1247
FL,Orange,116,1017,1121
FL,Orange,117,1125,727
FL,Orange,118,1026,926
FL,Orange,119,1786,1257
FL,Orange,120,1611,1223
FL,Orange,121,1216,795
FL,Orange,122,1104,617
FL,Orange,123,275,120
FL,Orange,124,1127,541
FL,Orange,125,1428,2068
FL,Orange,126,364,398
FL,Orange,127,666,1056
FL,Orange,128,931,1701
FL,Orange,129,381,1584
FL,Orange,130,1089,2219
FL,Orange,131,1471,1528
FL,Orange,132,1172,1564
FL,Orange,133,1596,1807
FL,Orange,134,1447,1521
FL,Orange,135,1454,2058
FL,Orange,201,298,865
FL,Orange,202,506,633
FL,Orange,203,57,28
FL,Orange,204,1151,35
FL,Orange,205,127,140
FL,Orange,206,1084,643
FL,Orange,207,1245,821
FL,Orange,208,1432,1158
FL,Orange,209,29,35
FL,Orange,210,912,354
FL,Orange,211,2068,450
FL,Orange,212,135,98
FL,Orange,213,2272,363
FL,Orange,214,2033,599
FL,Orange,215,2074,351
FL,Orange,216,2354,502
FL,Orange,217,2241,336
FL,Orange,218,1231,1078
FL,Orange,219,1514,999
FL,Orange,220,1042,1504
FL,Orange,221,1849,1507
FL,Orange,222,1624,1159
FL,Orange,223,292,126
FL,Orange,224,419,610
FL,Orange,225,1473,172
FL,Orange,226,956,249
FL,Orange,227,1412,988
FL,Orange,228,933,897
FL,Orange,229,1116,1229
FL,Orange,230,394,424
FL,Orange,231,718,470
FL,Orange,232,1411,1963
FL,Orange,233,1571,1074
FL,Orange,234,956,1818
FL,Orange,235,890,1728
FL,Orange,236,485,818
FL,Orange,237,1320,1583
FL,Orange,238,927,1663
FL,Orange,239,880,1441
FL,Orange,240,1363,872
FL,Orange,301,1115,812
FL,Orange,302,1059,1147
FL,Orange,303,1268,1079
FL,Orange,304,812,712
FL,Orange,305,1825,1431
FL,Orange,306,2150,794
FL,Orange,307,1990,778
FL,Orange,308,829,448
FL,Orange,309,2298,1095
FL,Orange,310,1098,577
FL,Orange,311,643,927
FL,Orange,312,751,837
FL,Orange,313,996,541
FL,Orange,314,1873,752
FL,Orange,315,1475,578
FL,Orange,316,2047,875
FL,Orange,317,1019,409
FL,Orange,318,1560,491
FL,Orange,319,1072,625
FL,Orange,320,1004,593
FL,Orange,321,675,232
FL,Orange,322,1581,674
FL,Orange,323,918,265
FL,Orange,324,1907,1264
FL,Orange,325,997,1190
FL,Orange,326,865,1279
FL,Orange,327,900,899
FL,Orange,328,661,654
FL,Orange,329,146,35
FL,Orange,330,657,1087
FL,Orange,331,1189,635
FL,Orange,332,1940,694
FL,Orange,333,618,1137
FL,Orange,334,775,1653
FL,Orange,335,687,1179
FL,Orange,336,1193,1125
FL,Orange,337,1345,1940
FL,Orange,338,901,962
FL,Orange,339,1721,672
FL,Orange,401,1491,967
FL,Orange,402,2058,787
FL,Orange,403,2441,1398
FL,Orange,404,1811,1096
FL,Orange,405,29,62
FL,Orange,406,2230,1507
FL,Orange,407,785,772
FL,Orange,408,1116,1370
FL,Orange,409,1822,1630
FL,Orange,410,1137,789
FL,Orange,411,1100,1147
FL,Orange,412,787,659
FL,Orange,413,1049,1082
FL,Orange,414,1262,1165
FL,Orange,415,557,544
FL,Orange,416,9,13
FL,Orange,417,2677,1361
FL,Orange,418,1867,1193
FL,Orange,419,1245,612
FL,Orange,420,63,9
FL,Orange,421,1165,442
FL,Orange,422,1626,731
FL,Orange,423,1433,552
FL,Orange,424,2525,1019
FL,Orange,425,1676,668
FL,Orange,426,1771,560
FL,Orange,427,1777,463
FL,Orange,428,1945,411
FL,Orange,429,1865,505
FL,Orange,430,888,1008
FL,Orange,431,1688,1748
FL,Orange,432,1061,1183
FL,Orange,433,724,1081
FL,Orange,434,1,25
FL,Orange,501,1883,1476
FL,Orange,502,2007,982
FL,Orange,503,850,492
FL,Orange,504,659,735
FL,Orange,505,1021,703
FL,Orange,506,18,14
FL,Orange,507,681,990
FL,Orange,508,1289,1202
FL,Orange,509,802,1028
FL,Orange,510,849,849
FL,Orange,511,796,874
FL,Orange,512,1242,424
FL,Orange,513,2012,1366
FL,Orange,514,748,1238
FL,Orange,515,1244,2104
FL,Orange,516,429,691
FL,Orange,517,1019,1877
FL,Orange,518,588,1031
FL,Orange,519,757,838
FL,Orange,520,897,971
FL,Orange,521,907,1156
FL,Orange,522,718,1352
FL,Orange,523,662,768
FL,Orange,524,1383,813
FL,Orange,525,1626,2049
FL,Orange,526,1084,528
FL,Orange,527,828,980
FL,Orange,528,1112,594
FL,Orange,529,736,557
FL,Orange,530,1013,646
FL,Orange,531,815,1130
FL,Orange,532,1947,1459
FL,Orange,533,1263,920
FL,Orange,534,816,487
FL,Orange,535,1562,1128
FL,Orange,536,1199,952
FL,Orange,537,2004,704
FL,Orange,538,1508,692
FL,Orange,539,1652,681
FL,Orange,540,1063,1021
FL,Orange,541,884,679
FL,Orange,542,1315,1108
FL,Orange,543,658,794
FL,Orange,544,1670,1719
FL,Orange,545,286,711
FL,Orange,601,1213,110
FL,Orange,602,1656,103
FL,Orange,603,1454,54
FL,Orange,604,1717,193
FL,Orange,605,1345,222
FL,Orange,606,1409,224
FL,Orange,607,1433,197
FL,Orange,608,2794,414
FL,Orange,609,2572,243
FL,Orange,610,2658,863
FL,Orange,611,2347,678
FL,Orange,612,1536,216
FL,Orange,613,344,42
FL,Orange,614,2188,848
FL,Orange,615,1908,577
FL,Orange,616,1037,34
FL,Orange,617,194,137
FL,Orange,618,190,73
FL,Orange,619,202,41
FL,Orange,620,1099,293
FL,Orange,621,1230,218
FL,Orange,622,1365,223
FL,Orange,623,1458,91
FL,Orange,624,1825,17
FL,Orange,625,1718,85
FL,Orange,626,1932,19
FL,Orange,627,1644,22
FL,Orange,628,663,158
FL,Orange,629,1544,67
FL,Orange,630,864,309
FL,Orange,631,187,103
FL,Orange,632,1786,402
FL,Orange,633,1830,234
FL,Orange,634,1814,223
FL,Osceola,100,182,209
FL,Osceola,101,1078,697
FL,Osceola,102,118,145
FL,Osceola,103,47,55
FL,Osceola,104,1172,634
FL,Osceola,105,1067,766
FL,Osceola,106,346,436
FL,Osceola,107,1126,507
FL,Osceola,108,112,29
FL,Osceola,110,3299,1128
FL,Osceola,111,525,188
FL,Osceola,112,934,377
FL,Osceola,130,51,49
FL,Osceola,131,91,74
FL,Osceola,132,197,73
FL,Osceola,150,9,9
FL,Osceola,151,1702,2664
FL,Osceola,154,199,260
FL,Osceola,155,77,126
FL,Osceola,156,15,21
FL,Osceola,157,93,55
FL,Osceola,200,8237,1880
FL,Osceola,201,1377,753
FL,Osceola,202,27,58
FL,Osceola,203,98,87
FL,Osceola,210,2591,556
FL,Osceola,211,2336,1280
FL,Osceola,250,203,80
FL,Osceola,251,1202,635
FL,Osceola,300,1361,658
FL,Osceola,301,1400,831
FL,Osceola,303,1745,393
FL,Osceola,304,2120,364
FL,Osceola,305,3634,668
FL,Osceola,306,819,138
FL,Osceola,307,1423,429
FL,Osceola,308,182,183
FL,Osceola,309,652,352
FL,Osceola,330,741,136
FL,Osceola,331,633,195
FL,Osceola,350,278,159
FL,Osceola,351,732,158
FL,Osceola,352,282,42
FL,Osceola,360,511,258
FL,Osceola,390,26,41
FL,Osceola,400,193,448
FL,Osceola,401,741,1385
FL,Osceola,402,264,340
FL,Osceola,403,1464,721
FL,Osceola,405,685,337
FL,Osceola,406,481,198
FL,Osceola,410,1503,806
FL,Osceola,411,2183,495
FL,Osceola,412,814,151
FL,Osceola,420,2988,2643
FL,Osceola,470,241,84
FL,Osceola,471,295,248
FL,Osceola,500,132,293
FL,Osceola,501,209,478
FL,Osceola,502,902,1766
FL,Osceola,503,1697,1164
FL,Osceola,504,1172,2381
FL,Osceola,505,493,849
FL,Osceola,506,681,1756
FL,Osceola,507,104,172
FL,Osceola,520,1611,2015
FL,Osceola,521,1796,1804
FL,Osceola,522,1286,904
FL,Osceola,550,229,306
FL,Osceola,571,7,8
FL,Osceola,999,15,3
