STATE,COUNTY,PRECINCT,DEM,REP
FL,Broward,Q050,588,27
FL,Broward,Q051,129,47
FL,Broward,Q080,771,178
FL,Broward,Q081,490,95
FL,Broward,Q082,746,29
FL,Broward,Q083,935,12
FL,Broward,W001,1339,89
FL,Broward,W002,751,73
FL,Broward,W003,437,47
FL,Broward,W004,622,50
FL,Broward,W005,640,42
FL,Broward,W006,417,66
FL,Broward,W007,688,63
FL,Broward,W008,1110,59
FL,Broward,W009,603,259
FL,Broward,W010,350,37
FL,Broward,W011,730,77
FL,Broward,W012,987,68
FL,Broward,W013,1693,155
FL,Broward,W014,441,276
FL,Broward,W020,893,255
FL,Broward,W021,848,393
FL,Broward,W022,761,253
FL,Broward,W023,1690,239
FL,Broward,W024,950,110
FL,Broward,W025,1359,78
FL,Broward,X001,45,4
FL,Broward,X002,361,107
FL,Broward,X009,1075,219
FL,Broward,X021,952,140
FL,Broward,X022,721,85
FL,Broward,X047,191,35
FL,Broward,X050,484,110
FL,Miami-Dade,59.0,0,0
FL,Miami-Dade,62.0,0,0
FL,Miami-Dade,69.0,187,21
FL,Miami-Dade,100.2,12,7
FL,Miami-Dade,105.0,395,209
FL,Miami-Dade,106.0,264,100
FL,Miami-Dade,107.0,188,59
FL,Miami-Dade,108.0,513,148
FL,Miami-Dade,110.0,428,128
FL,Miami-Dade,115.0,764,209
FL,Miami-Dade,116.0,204,140
FL,Miami-Dade,117.0,794,85
FL,Miami-Dade,118.0,267,66
FL,Miami-Dade,119.0,524,208
FL,Miami-Dade,120.0,144,104
FL,Miami-Dade,121.0,303,49
FL,Miami-Dade,122.0,2,1
FL,Miami-Dade,123.0,1020,174
FL,Miami-Dade,124.0,611,375
FL,Miami-Dade,125.0,133,31
FL,Miami-Dade,126.0,638,45
FL,Miami-Dade,127.0,1220,74
FL,Miami-Dade,128.0,731,57
FL,Miami-Dade,129.0,968,54
FL,Miami-Dade,130.0,1273,117
FL,Miami-Dade,131.0,894,109
FL,Miami-Dade,133.0,571,61
FL,Miami-Dade,135.0,1819,80
FL,Miami-Dade,136.0,1117,62
FL,Miami-Dade,137.0,131,10
FL,Miami-Dade,138.0,676,38
FL,Miami-Dade,139.0,456,26
FL,Miami-Dade,140.0,1100,54
FL,Miami-Dade,141.0,640,32
FL,Miami-Dade,142.0,1115,116
FL,Miami-Dade,143.0,971,119
FL,Miami-Dade,144.0,80,9
FL,Miami-Dade,145.0,218,11
FL,Miami-Dade,146.0,699,393
FL,Miami-Dade,147.0,146,102
FL,Miami-Dade,148.0,500,202
FL,Miami-Dade,149.0,616,241
FL,Miami-Dade,150.0,195,11
FL,Miami-Dade,151.0,163,33
FL,Miami-Dade,152.0,623,77
FL,Miami-Dade,153.0,41,2
FL,Miami-Dade,154.0,523,89
FL,Miami-Dade,155.0,557,105
FL,Miami-Dade,156.0,596,227
FL,Miami-Dade,157.0,471,261
FL,Miami-Dade,158.0,124,42
FL,Miami-Dade,159.0,734,74
FL,Miami-Dade,160.0,402,31
FL,Miami-Dade,161.0,500,46
FL,Miami-Dade,162.0,462,15
FL,Miami-Dade,163.0,507,21
FL,Miami-Dade,164.0,504,46
FL,Miami-Dade,165.0,71,12
FL,Miami-Dade,166.0,127,14
FL,Miami-Dade,169.0,125,20
FL,Miami-Dade,170.0,7,0
FL,Miami-Dade,171.0,38,6
FL,Miami-Dade,172.0,78,1
FL,Miami-Dade,173.0,98,6
FL,Miami-Dade,174.0,52,4
FL,Miami-Dade,175.0,73,14
FL,Miami-Dade,176.0,139,26
FL,Miami-Dade,177.0,520,154
FL,Miami-Dade,178.0,428,15
FL,Miami-Dade,179.0,200,82
FL,Miami-Dade,180.0,7,5
FL,Miami-Dade,181.0,65,53
FL,Miami-Dade,182.0,352,48
FL,Miami-Dade,187.0,115,6
FL,Miami-Dade,199.0,284,28
FL,Miami-Dade,202.0,1240,158
FL,Miami-Dade,203.0,927,12
FL,Miami-Dade,204.0,425,3
FL,Miami-Dade,205.0,712,13
FL,Miami-Dade,206.0,1996,69
FL,Miami-Dade,207.0,986,114
FL,Miami-Dade,208.0,711,117
FL,Miami-Dade,209.0,1057,90
FL,Miami-Dade,210.0,627,87
FL,Miami-Dade,211.0,365,26
FL,Miami-Dade,212.0,865,41
FL,Miami-Dade,213.0,1123,23
FL,Miami-Dade,214.0,1280,38
FL,Miami-Dade,215.0,822,30
FL,Miami-Dade,216.0,1213,18
FL,Miami-Dade,217.0,1119,19
FL,Miami-Dade,218.0,745,9
FL,Miami-Dade,219.0,517,3
FL,Miami-Dade,220.0,851,19
FL,Miami-Dade,221.0,1193,26
FL,Miami-Dade,222.0,1314,16
FL,Miami-Dade,223.0,961,41
FL,Miami-Dade,224.0,787,37
FL,Miami-Dade,225.0,1144,35
FL,Miami-Dade,226.0,859,17
FL,Miami-Dade,227.0,948,33
FL,Miami-Dade,228.0,451,9
FL,Miami-Dade,229.0,766,100
FL,Miami-Dade,233.0,597,85
FL,Miami-Dade,234.0,347,14
FL,Miami-Dade,235.0,184,40
FL,Miami-Dade,236.0,461,15
FL,Miami-Dade,237.0,507,20
FL,Miami-Dade,238.0,498,22
FL,Miami-Dade,239.0,1602,77
FL,Miami-Dade,240.0,1101,41
FL,Miami-Dade,241.0,648,43
FL,Miami-Dade,242.0,990,66
FL,Miami-Dade,243.0,309,9
FL,Miami-Dade,244.0,851,37
FL,Miami-Dade,245.0,624,36
FL,Miami-Dade,247.0,331,101
FL,Miami-Dade,248.0,746,93
FL,Miami-Dade,249.0,890,36
FL,Miami-Dade,250.0,977,17
FL,Miami-Dade,251.0,603,9
FL,Miami-Dade,252.0,561,1
FL,Miami-Dade,253.0,650,21
FL,Miami-Dade,254.0,765,19
FL,Miami-Dade,255.0,140,4
FL,Miami-Dade,256.0,900,67
FL,Miami-Dade,257.0,427,7
FL,Miami-Dade,258.0,274,5
FL,Miami-Dade,259.0,502,30
FL,Miami-Dade,260.0,314,3
FL,Miami-Dade,261.0,595,14
FL,Miami-Dade,262.0,636,46
FL,Miami-Dade,263.0,311,5
FL,Miami-Dade,264.0,444,21
FL,Miami-Dade,265.0,28,2
FL,Miami-Dade,266.0,27,6
FL,Miami-Dade,267.0,403,44
FL,Miami-Dade,268.0,305,16
FL,Miami-Dade,269.0,688,14
FL,Miami-Dade,270.0,1008,12
FL,Miami-Dade,271.0,56,2
FL,Miami-Dade,273.0,169,9
FL,Miami-Dade,274.0,543,57
FL,Miami-Dade,275.0,128,2
FL,Miami-Dade,280.0,381,4
FL,Miami-Dade,282.0,935,26
FL,Miami-Dade,291.0,264,127
FL,Miami-Dade,292.0,720,14
FL,Miami-Dade,295.0,645,4
FL,Miami-Dade,296.0,796,86
FL,Miami-Dade,313.0,13,5
FL,Miami-Dade,391.0,0,0
FL,Miami-Dade,499.0,8,0
FL,Miami-Dade,501.0,1205,68
FL,Miami-Dade,502.0,623,148
FL,Miami-Dade,504.0,665,122
FL,Miami-Dade,505.0,545,18
FL,Miami-Dade,506.0,404,15
FL,Miami-Dade,507.0,368,7
FL,Miami-Dade,508.0,625,11
FL,Miami-Dade,511.0,536,9
FL,Miami-Dade,512.0,713,18
FL,Miami-Dade,513.0,242,2
FL,Miami-Dade,514.0,543,41
FL,Miami-Dade,515.0,501,22
FL,Miami-Dade,516.0,438,154
FL,Miami-Dade,517.0,344,31
FL,Miami-Dade,518.0,603,36
FL,Miami-Dade,519.0,762,23
FL,Miami-Dade,520.0,716,6
FL,Miami-Dade,521.0,615,12
FL,Miami-Dade,522.0,1100,39
FL,Miami-Dade,523.0,259,37
FL,Miami-Dade,525.0,389,2
FL,Miami-Dade,527.0,27,36
FL,Miami-Dade,528.0,138,50
FL,Miami-Dade,529.0,513,125
FL,Miami-Dade,531.0,467,64
FL,Miami-Dade,533.0,855,17
FL,Miami-Dade,534.0,214,75
FL,Miami-Dade,535.0,247,41
FL,Miami-Dade,536.0,72,14
FL,Miami-Dade,537.0,155,45
FL,Miami-Dade,538.0,851,166
FL,Miami-Dade,539.0,111,17
FL,Miami-Dade,541.0,550,331
FL,Miami-Dade,542.0,0,1
FL,Miami-Dade,544.0,632,233
FL,Miami-Dade,568.0,0,0
FL,Miami-Dade,580.0,44,9
FL,Miami-Dade,590.0,25,26
FL,Miami-Dade,591.0,386,203
FL,Miami-Dade,597.0,1,0
