STATE,DISTRICT,COUNTY,PRECINCT,PAST_DEM,PAST_REP
MN,8,1,5,478,465
MN,8,1,10,190,312
MN,8,1,15,91,78
MN,8,1,20,12,11
MN,8,1,25,29,13
MN,8,1,30,55,35
MN,8,1,35,12,10
MN,8,1,38,15,9
MN,8,1,40,329,387
MN,8,1,45,97,115
MN,8,1,50,146,155
MN,8,1,55,57,49
MN,8,1,60,264,261
MN,8,1,65,145,106
MN,8,1,70,129,102
MN,8,1,75,58,59
MN,8,1,80,70,86
MN,8,1,82,8,13
MN,8,1,85,46,60
MN,8,1,90,145,154
MN,8,1,95,10,18
MN,8,1,100,6,14
MN,8,1,105,10,5
MN,8,1,110,56,44
MN,8,1,115,12,16
MN,8,1,120,87,58
MN,8,1,125,18,24
MN,8,1,130,48,49
MN,8,1,132,17,13
MN,8,1,135,112,108
MN,8,1,140,42,64
MN,8,1,145,312,346
MN,8,1,150,45,37
MN,8,1,155,9,35
MN,8,1,160,34,50
MN,8,1,165,33,14
MN,8,1,170,11,24
MN,8,1,175,368,333
MN,8,1,180,79,33
MN,8,1,185,134,196
MN,8,1,190,14,15
MN,8,1,195,50,53
MN,8,1,200,16,19
MN,8,1,205,99,101
MN,8,1,210,98,98
MN,8,1,215,116,82
MN,8,1,220,10,14
MN,8,1,225,32,33
MN,8,1,230,55,61
MN,8,1,240,10,17
MN,8,1,255,11,8
MN,8,1,260,43,29
MN,8,1,285,16,14
MN,8,1,290,23,28
MN,6,2,5,705,1235
MN,6,2,10,732,1103
MN,6,2,15,924,1244
MN,6,2,20,705,880
MN,6,2,25,725,1304
MN,6,2,30,572,934
MN,6,2,35,549,867
MN,6,2,40,663,1003
MN,6,2,45,634,1054
MN,6,2,50,877,1224
MN,6,2,105,481,360
MN,6,2,110,612,555
MN,6,2,115,585,612
MN,6,2,120,621,504
MN,6,2,125,568,506
MN,6,2,130,588,386
MN,6,2,135,582,570
MN,6,2,140,518,583
MN,6,2,205,109,144
MN,6,2,305,763,527
MN,6,2,310,785,628
MN,6,2,315,647,509
MN,6,2,320,480,384
MN,6,2,325,918,889
MN,6,2,330,482,558
MN,6,2,335,519,499
MN,6,2,340,585,577
MN,6,2,405,647,522
MN,6,2,410,585,540
MN,6,2,415,733,612
MN,6,2,420,762,558
MN,6,2,425,794,743
MN,6,2,430,569,695
MN,6,2,435,417,664
MN,6,2,440,755,1082
MN,6,2,505,749,577
MN,6,2,510,708,646
MN,6,2,515,772,640
MN,6,2,520,849,820
MN,6,2,525,725,676
MN,6,2,530,861,1121
MN,6,2,535,1000,1008
MN,6,2,540,168,266
MN,6,2,605,906,1275
MN,6,2,705,610,520
MN,6,2,710,1017,920
MN,5,2,805,1087,409
MN,5,2,810,860,362
MN,5,2,815,866,351
MN,5,2,820,842,386
MN,5,2,825,792,421
MN,5,2,830,640,447
MN,5,2,835,830,365
MN,5,2,840,746,375
MN,6,2,905,985,1469
MN,3,2,1005,1086,1252
MN,3,2,1010,966,1163
MN,3,2,1015,825,811
MN,3,2,1020,547,543
MN,3,2,1105,858,836
