STATE,DISTRICT,COUNTY,PRECINCT,NEW_DEM,NEW_REP
MN,7,3,5,17,15
MN,7,3,10,70,87
MN,7,3,15,140,92
MN,7,3,20,294,270
MN,7,3,25,32,18
MN,7,3,30,53,31
MN,7,3,35,68,41
MN,7,3,40,243,216
MN,7,3,45,58,34
MN,7,3,50,249,223
MN,7,3,51,185,165
MN,7,3,55,455,317
MN,7,3,65,697,357
MN,7,3,75,682,563
MN,7,3,82,40,13
MN,7,3,85,365,346
MN,7,3,90,44,55
MN,7,3,95,42,35
MN,7,3,100,183,156
MN,7,3,105,70,59
MN,7,3,110,49,28
MN,7,3,115,136,138
MN,7,3,120,140,129
MN,7,3,125,348,275
MN,7,3,130,152,80
MN,7,3,135,94,89
MN,7,3,140,387,369
MN,7,3,145,80,53
MN,7,3,150,21,23
MN,7,3,155,160,165
MN,7,3,160,47,14
MN,7,3,165,18,21
MN,7,3,170,134,117
MN,7,3,175,40,30
MN,7,3,180,80,109
MN,7,3,185,34,40
MN,7,3,190,84,53
MN,7,3,195,94,73
MN,7,3,200,21,13
MN,7,3,205,70,83
MN,7,3,210,110,57
MN,7,3,215,103,130
MN,7,3,220,60,69
MN,7,3,225,22,10
MN,7,3,230,65,39
MN,7,3,235,9,20
MN,7,3,240,36,72
MN,7,4,5,55,32
MN,7,4,10,9,2
MN,7,4,15,593,468
MN,7,4,20,439,210
MN,7,4,25,421,290
MN,7,4,30,488,293
MN,7,4,35,542,368
MN,7,4,40,699,431
MN,7,4,45,29,7
MN,7,4,60,78,43
MN,7,4,75,273,223
MN,7,4,90,430,386
MN,7,4,100,4,0
MN,7,4,115,36,53
MN,7,4,120,60,28
MN,7,4,125,30,17
MN,7,4,130,100,117
MN,7,4,140,7,10
MN,7,4,145,159,137
MN,7,4,150,26,14
MN,7,4,155,10,7
MN,7,4,172,9,19
MN,7,4,180,242,14
MN,7,4,195,350,17
MN,7,4,200,280,11
MN,7,4,202,214,6
MN,7,4,205,61,38
MN,7,4,215,15,5
MN,7,4,220,14,21
MN,7,4,225,19,10
MN,7,4,230,7,11
MN,7,4,275,11,1
MN,7,4,280,9,3
MN,7,4,290,25,26
MN,7,4,295,43,27
MN,7,4,300,15,13
MN,7,6,5,52,20
MN,7,6,10,31,18
MN,7,6,15,30,9
MN,7,6,20,5,5
MN,7,6,25,75,71
MN,7,6,30,43,28
MN,7,6,31,47,29
MN,7,6,35,96,47
MN,7,6,40,6,3
MN,7,6,45,48,25
MN,7,6,50,159,91
MN,7,6,55,21,26
MN,7,6,56,5,4
MN,7,6,60,26,10
MN,7,6,65,23,23
MN,7,6,70,26,22
MN,7,6,75,21,39
MN,7,6,80,228,246
MN,7,6,85,140,135
MN,7,6,86,19,23
MN,7,6,90,19,11
MN,7,6,95,59,24
MN,7,6,100,8,12
MN,7,12,5,92,24
MN,7,12,10,313,199
MN,7,12,15,36,19
MN,7,12,20,30,15
MN,7,12,25,247,110
MN,7,12,30,61,49
MN,7,12,35,46,18
MN,7,12,40,71,5
MN,7,12,45,74,43
MN,7,12,50,44,35
MN,7,12,55,50,22
MN,7,12,60,43,14
MN,7,12,65,89,62
MN,7,12,70,85,29
MN,7,12,75,544,321
MN,7,12,90,559,332
MN,7,12,105,45,73
MN,7,12,110,76,69
MN,7,12,115,187,131
MN,7,12,120,65,37
MN,7,12,125,61,30
MN,7,12,130,47,37
MN,7,12,135,37,61
MN,7,14,5,65,23
MN,7,14,10,198,93
MN,7,14,15,126,94
MN,7,14,20,158,96
MN,7,14,25,49,14
MN,7,14,30,29,16
MN,7,14,35,105,50
MN,7,14,40,750,356
MN,7,14,45,125,100
MN,7,14,50,70,39
MN,7,14,55,93,60
MN,7,14,60,41,19
MN,7,14,65,20,17
MN,7,14,70,22,13
MN,7,14,75,15,11
MN,7,14,80,40,6
MN,7,14,85,235,128
MN,7,14,90,68,47
MN,7,14,95,39,22
MN,7,14,100,31,27
MN,7,14,105,400,244
MN,7,14,110,116,63
