STATE,COUNTY,PRECINCT,DEM,REP
MN,3,5,19,25
MN,3,10,71,120
MN,3,15,139,164
MN,3,20,360,376
MN,3,25,39,27
MN,3,30,64,49
MN,3,35,59,47
MN,3,40,319,279
MN,3,45,67,60
MN,3,50,313,279
MN,3,51,190,210
MN,3,52,0,0
MN,3,55,588,484
MN,3,65,784,489
MN,3,75,905,737
MN,3,82,33,26
MN,3,85,427,454
MN,3,90,44,83
MN,3,95,32,36
MN,3,100,204,249
MN,3,105,83,81
MN,3,110,50,39
MN,3,115,151,175
MN,3,120,146,139
MN,3,125,422,371
MN,3,130,170,94
MN,3,135,117,116
MN,3,140,474,436
MN,3,145,102,51
MN,3,150,25,13
MN,3,155,134,222
MN,3,160,51,13
MN,3,165,31,18
MN,3,170,166,157
MN,3,175,51,28
MN,3,180,57,134
MN,3,185,41,41
MN,3,190,85,70
MN,3,195,105,97
MN,3,200,20,18
MN,3,205,60,99
MN,3,210,153,86
MN,3,215,103,136
MN,3,220,64,75
MN,3,225,26,13
MN,3,230,83,46
MN,3,235,9,23
MN,3,240,28,98
MN,4,5,71,28
MN,4,10,6,4
MN,4,15,690,606
MN,4,20,523,274
MN,4,25,563,315
MN,4,30,597,372
MN,4,35,655,378
MN,4,40,820,482
MN,4,45,20,19
MN,4,60,58,68
MN,4,75,286,303
MN,4,90,486,437
MN,4,100,5,4
MN,4,115,31,69
MN,4,120,50,49
MN,4,125,25,28
MN,4,130,109,130
MN,4,140,7,10
MN,4,145,178,164
MN,4,150,27,23
MN,4,155,6,11
MN,4,172,0,0
MN,4,180,281,11
MN,4,195,503,21
MN,4,200,339,9
MN,4,202,263,8
MN,4,205,64,47
MN,4,215,6,12
MN,4,220,18,14
MN,4,225,24,8
MN,4,230,6,12
MN,4,275,8,5
MN,4,280,10,2
MN,4,290,33,31
MN,4,295,42,39
MN,4,300,12,19
MN,6,5,68,26
MN,6,10,37,27
MN,6,15,29,17
MN,6,20,8,2
MN,6,25,84,101
MN,6,30,51,18
MN,6,31,57,32
MN,6,35,132,56
MN,6,40,6,5
MN,6,45,40,37
MN,6,50,178,124
MN,6,55,30,17
MN,6,56,10,6
MN,6,60,30,19
MN,6,65,27,25
MN,6,70,27,25
MN,6,75,27,47
MN,6,80,307,300
MN,6,85,157,166
MN,6,86,16,33
MN,6,90,27,18
MN,6,95,63,41
MN,6,100,9,16
MN,12,5,110,40
MN,12,10,315,301
MN,12,15,65,39
MN,12,20,40,20
MN,12,25,248,163
MN,12,30,53,63
MN,12,32,0,0
MN,12,35,50,40
MN,12,40,60,19
MN,12,45,75,69
MN,12,50,52,51
MN,12,55,42,29
MN,12,60,50,26
MN,12,65,91,58
MN,12,70,89,32
MN,12,75,618,455
MN,12,90,586,446
MN,12,100,0,0
MN,12,105,53,77
MN,12,110,76,102
MN,12,115,218,188
MN,12,120,76,46
MN,12,125,66,50
MN,12,130,43,41
MN,12,135,39,57
MN,14,5,70,32
MN,14,10,301,161
MN,14,15,222,127
MN,14,20,251,146
MN,14,25,55,34
MN,14,30,31,11
MN,14,35,109,76
MN,14,40,1157,526
MN,14,45,171,137
MN,14,50,101,53
MN,14,55,105,91
MN,14,60,47,27
MN,14,65,27,14
MN,14,70,27,13
MN,14,75,15,8
MN,14,80,45,17
MN,14,85,290,165
MN,14,90,82,68
MN,14,95,56,31
MN,14,100,33,27
MN,14,105,525,309
MN,14,110,118,88
MN,14,115,71,43
MN,14,120,65,27
MN,14,125,41,28
MN,14,130,95,53
MN,14,135,32,15
MN,14,140,70,66
MN,14,145,77,47
MN,14,150,80,58
MN,14,155,1128,544
MN,14,157,395,285
MN,14,160,1134,326
MN,14,165,782,358
MN,14,170,1282,535
MN,14,175,167,44
MN,14,180,346,109
MN,14,185,164,42
MN,14,190,942,282
MN,14,195,710,252
MN,14,200,1073,621
MN,14,205,514,232
MN,14,210,412,192
MN,14,212,868,429
MN,14,214,1018,465
MN,14,215,59,26
MN,14,217,0,2
MN,14,220,58,35
MN,14,225,105,113
MN,14,230,147,137
MN,14,235,115,90
MN,14,240,128,87
MN,14,245,64,36
MN,14,250,63,48
MN,14,255,80,54
MN,14,260,120,50
MN,14,265,38,26
MN,14,270,36,16
MN,15,5,203,220
MN,15,10,26,40
MN,15,15,88,116
MN,15,20,16,29
MN,15,25,155,224
MN,15,30,51,86
MN,15,35,57,92
MN,15,40,38,51
MN,15,45,59,64
MN,15,50,9,20
MN,15,55,0,2
MN,15,56,3,3
MN,15,60,66,100
MN,15,65,40,32
MN,15,70,81,22
MN,15,75,54,114
MN,15,80,9,8
MN,15,85,38,79
MN,15,90,69,54
MN,15,95,74,123
MN,15,100,82,84
MN,15,105,108,130
MN,15,110,22,41
MN,15,115,22,26
MN,15,120,68,122
MN,15,125,27,59
MN,15,130,27,19
MN,15,135,0,2
MN,15,140,15,19
MN,17,5,28,50
MN,17,10,28,40
MN,17,15,54,40
MN,17,35,49,34
MN,17,47,12,30
MN,17,50,99,88
MN,17,55,39,52
MN,17,60,61,54
MN,17,90,35,36
MN,17,100,13,23
MN,17,105,38,29
MN,17,110,58,51
MN,17,115,31,66
MN,17,120,168,153
MN,17,125,67,58
MN,17,130,212,237
MN,17,135,322,293
MN,17,140,195,179
MN,17,145,210,189
MN,21,5,109,112
MN,21,7,627,622
MN,21,10,531,612
MN,21,15,626,600
MN,21,20,502,432
MN,21,25,39,56
MN,21,27,432,330
MN,21,30,645,842
MN,21,35,80,107
MN,21,40,116,108
MN,21,45,196,220
MN,21,50,114,100
MN,21,55,516,690
MN,21,60,131,102
MN,21,65,64,57
MN,21,70,48,36
MN,21,75,52,62
MN,21,80,218,246
MN,21,85,184,286
MN,21,90,350,414
MN,21,95,63,59
MN,21,100,1116,1210
MN,21,105,269,321
MN,21,110,119,150
MN,21,115,78,90
MN,21,120,16,21
MN,21,125,68,103
MN,21,130,78,85
MN,21,135,261,235
MN,21,140,207,222
MN,21,145,23,42
MN,21,150,64,93
MN,21,155,318,307
MN,21,160,130,187
MN,21,165,62,60
MN,21,170,70,119
MN,21,175,55,81
MN,26,5,145,67
MN,26,10,109,71
MN,26,15,37,20
MN,26,20,305,264
MN,26,25,38,44
MN,26,30,96,78
MN,26,35,137,111
MN,26,40,17,14
MN,26,45,129,61
MN,26,50,166,106
MN,26,55,63,54
MN,26,60,27,26
MN,26,65,49,27
MN,26,70,37,7
MN,26,75,42,20
MN,26,80,19,12
MN,26,85,13,15
MN,26,90,145,142
MN,26,95,51,39
MN,26,100,29,35
MN,26,105,62,35
MN,26,110,58,31
MN,26,115,46,35
MN,34,5,112,85
MN,34,10,246,200
MN,34,15,37,53
MN,34,20,103,118
MN,34,25,151,127
MN,34,30,570,640
MN,34,35,48,38
MN,34,40,55,78
MN,34,45,103,90
MN,34,50,103,111
MN,34,55,430,448
MN,34,60,166,154
MN,34,65,61,131
MN,34,70,274,265
MN,34,75,90,132
MN,34,80,143,163
MN,34,85,302,335
MN,34,90,54,43
MN,34,95,46,36
MN,34,100,47,47
MN,34,105,64,137
MN,34,110,341,244
MN,34,115,770,822
MN,34,120,89,69
MN,34,125,85,96
MN,34,130,49,253
MN,34,135,159,166
MN,34,140,10,12
MN,34,145,67,102
MN,34,150,116,132
MN,34,155,80,105
MN,34,160,297,251
MN,34,165,30,27
MN,34,170,108,139
MN,34,175,365,314
MN,34,180,214,148
MN,34,185,304,198
MN,34,190,411,248
MN,34,195,433,353
MN,34,200,460,404
MN,34,202,0,0
MN,34,205,480,307
MN,34,210,233,170
MN,34,215,292,199
MN,34,220,291,204
MN,34,225,231,165
MN,34,230,390,277
MN,34,235,100,134
MN,35,5,21,30
MN,35,10,8,0
MN,35,15,7,16
MN,35,20,11,6
MN,35,25,16,4
MN,35,30,37,52
MN,35,35,4,6
MN,35,40,32,13
MN,35,45,353,145
MN,35,50,40,23
MN,35,55,10,7
MN,35,60,19,7
MN,35,65,22,23
MN,35,70,10,2
MN,35,75,9,7
MN,35,80,38,22
MN,35,85,202,158
MN,35,90,100,17
MN,35,92,0,0
MN,35,95,64,34
MN,35,100,119,63
MN,35,105,11,8
MN,35,110,0,0
MN,35,115,28,14
MN,35,118,0,1
MN,35,120,13,13
MN,35,125,23,7
MN,35,130,57,20
MN,35,135,45,20
MN,35,140,14,8
MN,35,145,7,11
MN,35,150,23,19
MN,35,155,26,4
MN,35,160,8,0
MN,35,165,13,19
MN,35,170,18,3
MN,35,175,19,8
MN,35,180,19,14
MN,35,185,69,38
MN,37,5,20,21
MN,37,10,34,30
MN,37,15,36,23
MN,37,20,68,34
MN,37,25,32,33
MN,37,30,33,20
MN,37,35,46,84
MN,37,40,61,44
MN,37,45,438,245
MN,37,60,23,13
MN,37,65,39,27
MN,37,70,53,35
MN,37,75,40,17
MN,37,80,46,38
MN,37,85,64,39
MN,37,90,9,11
MN,37,95,445,277
MN,37,110,60,43
MN,37,115,15,25
MN,37,120,36,20
MN,37,125,48,36
MN,37,130,24,3
MN,37,135,18,18
MN,37,140,23,29
MN,37,145,51,40
MN,37,150,105,64
MN,37,155,34,25
MN,37,160,35,47
MN,37,165,37,38
MN,39,5,39,77
MN,39,10,113,100
MN,39,15,45,59
MN,39,20,79,112
MN,39,30,73,96
MN,39,31,31,23
MN,39,35,17,24
MN,39,40,66,82
MN,39,44,117,95
MN,39,45,28,34
MN,39,46,27,32
MN,39,50,104,137
MN,39,55,33,19
MN,39,65,27,41
MN,39,70,28,57
MN,39,75,0,0
MN,39,80,17,13
MN,41,5,61,34
MN,41,10,29,13
MN,41,15,41,44
MN,41,20,28,44
MN,41,25,13,24
MN,41,30,22,20
MN,41,35,124,125
MN,41,40,42,50
MN,41,45,56,60
MN,41,50,154,108
MN,41,55,106,154
MN,41,60,29,58
MN,41,65,48,25
MN,41,70,39,37
MN,41,75,39,25
MN,41,80,39,52
MN,41,85,38,30
MN,41,90,61,37
MN,41,95,243,216
MN,41,100,20,26
MN,42,5,39,65
MN,42,10,133,139
MN,42,15,54,65
MN,42,20,60,68
MN,42,25,272,204
MN,42,30,42,40
MN,42,35,35,51
MN,42,40,70,103
MN,42,45,8,6
MN,42,50,16,18
MN,42,55,93,67
MN,42,60,57,87
MN,42,65,34,48
MN,42,70,125,178
MN,42,75,46,49
MN,42,80,63,92
MN,42,85,85,140
MN,42,90,36,65
MN,42,95,832,598
MN,42,105,1023,881
MN,42,115,801,683
MN,42,125,289,290
MN,42,130,38,42
MN,42,135,57,49
MN,42,140,50,75
MN,42,145,54,86
MN,42,150,30,29
MN,42,155,60,87
MN,42,160,40,64
MN,42,165,39,26
MN,42,170,404,327
MN,42,180,61,40
MN,42,185,69,59
MN,43,5,232,341
MN,43,10,160,286
MN,43,15,26,17
MN,43,20,122,151
MN,43,25,93,112
MN,43,30,249,297
MN,43,35,274,243
MN,43,40,275,270
MN,43,45,201,298
MN,43,50,107,159
MN,43,55,150,262
MN,43,60,131,185
MN,43,65,163,259
MN,43,70,846,909
MN,43,75,857,848
MN,43,80,971,1010
MN,43,95,218,351
MN,43,100,268,420
MN,43,105,98,173
MN,43,110,58,93
MN,43,115,47,91
MN,43,120,139,197
MN,43,125,26,67
MN,43,130,155,184
MN,43,135,96,88
MN,43,140,90,138
MN,43,145,320,561
MN,43,150,173,280
MN,44,5,18,20
MN,44,10,27,15
MN,44,15,22,14
MN,44,20,27,16
MN,44,25,24,8
MN,44,30,24,21
MN,44,35,34,22
MN,44,40,59,44
MN,44,45,31,42
MN,44,50,54,30
MN,44,55,289,130
MN,44,60,40,21
MN,44,65,70,43
MN,44,70,137,74
MN,44,75,35,21
MN,44,80,54,35
MN,44,85,160,28
MN,44,90,77,19
MN,44,95,101,39
MN,45,5,28,16
MN,45,10,23,23
MN,45,15,59,57
MN,45,20,163,116
MN,45,25,17,14
MN,45,30,11,5
MN,45,35,25,10
MN,45,40,16,12
MN,45,45,30,26
MN,45,50,15,9
MN,45,55,24,36
MN,45,60,6,7
MN,45,65,1,4
MN,45,70,4,3
MN,45,75,7,10
MN,45,80,20,21
MN,45,85,10,9
MN,45,90,64,70
MN,45,95,27,13
MN,45,100,2,4
MN,45,105,13,12
MN,45,110,46,35
MN,45,115,17,16
MN,45,120,23,29
MN,45,125,22,22
MN,45,130,26,19
MN,45,135,8,3
MN,45,140,50,77
MN,45,145,32,38
MN,45,150,100,60
MN,45,155,13,17
MN,45,160,5,10
MN,45,165,32,28
MN,45,166,0,0
MN,45,170,35,34
MN,45,175,60,64
MN,45,180,39,57
MN,45,185,43,40
MN,45,190,55,62
MN,45,195,34,27
MN,45,200,50,21
MN,45,205,8,8
MN,45,210,39,13
MN,45,215,4,11
MN,45,220,65,58
MN,45,225,174,102
MN,45,230,13,7
MN,45,235,15,17
MN,45,240,19,8
MN,45,245,36,38
MN,45,250,37,26
MN,45,255,11,11
MN,45,260,15,16
MN,45,265,30,43
MN,45,270,22,9
MN,45,275,361,317
MN,45,285,24,30
MN,45,290,25,32
MN,45,295,15,8
MN,45,300,28,17
MN,47,5,89,91
MN,47,10,10,9
MN,47,15,66,98
MN,47,20,247,372
MN,47,25,92,83
MN,47,30,41,47
MN,47,35,70,65
MN,47,40,63,84
MN,47,45,137,193
MN,47,50,292,373
MN,47,55,343,512
MN,47,60,90,91
MN,47,65,197,307
MN,47,70,125,198
MN,47,75,175,226
MN,47,80,177,187
MN,47,85,100,108
MN,47,90,79,85
MN,47,95,20,48
MN,47,100,189,416
MN,47,105,330,262
MN,47,110,285,244
MN,47,115,270,212
MN,47,120,290,259
MN,47,125,213,218
MN,47,130,183,246
MN,47,135,95,139
MN,47,140,77,85
MN,47,145,130,182
MN,47,150,164,185
MN,51,5,16,38
MN,51,10,55,46
MN,51,15,57,85
MN,51,20,16,33
MN,51,25,29,58
MN,51,30,12,85
MN,51,35,62,29
MN,51,40,34,36
MN,51,45,47,41
MN,51,46,25,17
MN,51,50,36,38
MN,51,55,31,58
MN,51,60,284,304
MN,51,65,30,8
MN,51,70,21,25
MN,51,75,28,39
MN,51,80,45,34
MN,51,85,95,120
MN,51,90,56,64
MN,51,95,36,75
MN,51,100,35,51
MN,51,105,38,44
MN,51,110,78,99
MN,51,115,17,82
MN,51,120,35,56
MN,51,125,88,90
MN,51,130,34,17
MN,51,135,506,410
MN,51,140,84,88
MN,54,5,229,103
MN,54,10,223,125
MN,54,15,21,6
MN,54,20,62,25
MN,54,25,21,10
MN,54,30,86,18
MN,54,35,39,27
MN,54,40,54,19
MN,54,45,8,3
MN,54,50,32,9
MN,54,55,128,59
MN,54,60,26,26
MN,54,65,19,11
MN,54,70,78,54
MN,54,75,28,12
MN,54,80,40,17
MN,54,85,56,27
MN,54,90,46,19
MN,54,95,20,10
MN,54,100,49,26
MN,54,105,33,4
MN,54,110,30,7
MN,54,115,45,14
MN,54,120,16,15
MN,54,125,32,37
MN,54,130,31,10
MN,54,135,16,11
MN,54,140,36,7
MN,54,145,36,20
MN,54,150,177,72
MN,54,155,44,4
MN,54,160,75,42
MN,54,165,21,7
MN,56,5,40,65
MN,56,10,157,134
MN,56,15,388,425
MN,56,20,250,194
MN,56,25,44,52
MN,56,30,24,69
MN,56,35,61,136
MN,56,40,94,142
MN,56,45,43,83
MN,56,50,145,188
MN,56,55,39,42
MN,56,60,11,17
MN,56,65,166,145
MN,56,70,109,188
MN,56,75,114,162
MN,56,80,47,66
MN,56,85,228,280
MN,56,90,101,153
MN,56,95,50,66
MN,56,100,74,89
MN,56,105,30,40
MN,56,110,210,201
MN,56,115,272,228
MN,56,120,128,104
MN,56,125,81,41
MN,56,130,207,293
MN,56,135,53,71
MN,56,140,36,33
MN,56,145,195,223
MN,56,150,58,69
MN,56,155,26,24
MN,56,160,111,101
MN,56,165,271,237
MN,56,170,324,261
MN,56,175,273,315
MN,56,180,394,356
MN,56,185,415,405
MN,56,186,57,77
MN,56,190,325,328
