STATE,DISTRICT,COUNTY,PRECINCT,NEW_DEM,NEW_REP
MN,8,1,5,416,324
MN,8,1,10,183,238
MN,8,1,15,89,48
MN,8,1,20,10,9
MN,8,1,25,30,5
MN,8,1,30,45,19
MN,8,1,35,10,7
MN,8,1,38,13,10
MN,8,1,40,292,289
MN,8,1,45,88,75
MN,8,1,50,147,117
MN,8,1,55,51,31
MN,8,1,60,217,183
MN,8,1,65,106,71
MN,8,1,70,91,56
MN,8,1,75,49,36
MN,8,1,80,58,72
MN,8,1,82,7,6
MN,8,1,85,59,42
MN,8,1,90,120,104
MN,8,1,95,7,13
MN,8,1,100,6,11
MN,8,1,105,8,3
MN,8,1,110,50,36
MN,8,1,115,14,12
MN,8,1,120,63,22
MN,8,1,125,11,13
MN,8,1,130,48,27
MN,8,1,132,15,10
MN,8,1,135,101,61
MN,8,1,140,29,40
MN,8,1,145,290,260
MN,8,1,150,34,27
MN,8,1,155,9,21
MN,8,1,160,28,31
MN,8,1,165,29,17
MN,8,1,170,9,21
MN,8,1,175,311,258
MN,8,1,180,31,26
MN,8,1,185,129,128
MN,8,1,190,11,10
MN,8,1,195,44,42
MN,8,1,200,11,15
MN,8,1,205,78,78
MN,8,1,210,76,76
MN,8,1,215,102,66
MN,8,1,220,7,9
MN,8,1,225,23,24
MN,8,1,230,45,37
MN,8,1,240,6,16
MN,8,1,255,8,4
MN,8,1,260,41,20
MN,8,1,285,15,10
MN,8,1,290,18,14
MN,6,2,5,506,794
MN,6,2,10,496,736
MN,6,2,15,585,806
MN,6,2,20,470,563
MN,6,2,25,540,840
MN,6,2,30,394,638
MN,6,2,35,339,529
MN,6,2,40,436,642
MN,6,2,45,419,695
MN,6,2,50,550,700
MN,6,2,105,277,202
MN,6,2,110,367,336
MN,6,2,115,330,355
MN,6,2,120,424,308
MN,6,2,125,326,273
MN,6,2,130,359,234
MN,6,2,135,327,322
MN,6,2,140,342,360
MN,6,2,205,47,77
MN,6,2,305,471,310
MN,6,2,310,479,368
MN,6,2,315,386,286
MN,6,2,320,291,217
MN,6,2,325,474,520
MN,6,2,330,270,340
MN,6,2,335,300,307
MN,6,2,340,378,339
MN,6,2,405,429,307
MN,6,2,410,329,295
MN,6,2,415,421,336
MN,6,2,420,439,292
MN,6,2,425,404,422
MN,6,2,430,381,481
MN,6,2,435,280,431
MN,6,2,440,491,842
MN,6,2,505,425,319
MN,6,2,510,459,395
MN,6,2,515,374,364
MN,6,2,520,506,511
MN,6,2,525,398,385
MN,6,2,530,618,700
MN,6,2,535,627,648
MN,6,2,540,156,207
MN,6,2,605,642,793
MN,6,2,705,363,306
MN,6,2,710,740,621
MN,5,2,805,654,250
MN,5,2,810,526,210
MN,5,2,815,545,202
MN,5,2,820,461,229
MN,5,2,825,545,284
MN,5,2,830,470,300
MN,5,2,835,520,243
MN,5,2,840,465,208
MN,6,2,905,743,977
MN,3,2,1005,726,798
MN,3,2,1010,576,764
MN,3,2,1015,489,555
MN,3,2,1020,306,310
MN,3,2,1105,539,544
MN,3,2,1110,334,371
MN,3,2,1115,591,592
MN,3,2,1120,380,326
MN,3,2,1125,422,321
MN,3,2,1205,464,414
MN,3,2,1210,469,402
MN,3,2,1215,483,386
MN,3,2,1220,449,313
MN,3,2,1305,493,444
MN,3,2,1310,480,454
MN,3,2,1315,487,391
MN,3,2,1320,722,604
MN,3,2,1405,531,406
MN,3,2,1410,572,474
MN,3,2,1415,322,259
MN,3,2,1420,213,181
MN,3,2,1425,518,392
MN,6,2,1505,506,712
