STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
MN,1,5,478,465
MN,1,10,190,312
MN,1,15,91,78
MN,1,20,12,11
MN,1,25,29,13
MN,1,30,55,35
MN,1,35,12,10
MN,1,38,15,9
MN,1,40,329,387
MN,1,45,97,115
MN,1,50,146,155
MN,1,55,57,49
MN,1,60,264,261
MN,1,65,145,106
MN,1,70,129,102
MN,1,75,58,59
MN,1,80,70,86
MN,1,82,8,13
MN,1,85,46,60
MN,1,90,145,154
MN,1,95,10,18
MN,1,100,6,14
MN,1,105,10,5
MN,1,110,56,44
MN,1,115,12,16
MN,1,120,87,58
MN,1,125,18,24
MN,1,130,48,49
MN,1,132,17,13
MN,1,135,112,108
MN,1,140,42,64
MN,1,145,312,346
MN,1,150,45,37
MN,1,155,9,35
MN,1,160,34,50
MN,1,165,33,14
MN,1,170,11,24
MN,1,175,368,333
MN,1,180,79,33
MN,1,185,134,196
MN,1,190,14,15
MN,1,195,50,53
MN,1,200,16,19
MN,1,205,99,101
MN,1,210,98,98
MN,1,215,116,82
MN,1,220,10,14
MN,1,225,32,33
MN,1,230,55,61
MN,1,240,10,17
MN,1,255,11,8
MN,1,260,43,29
MN,1,285,16,14
MN,1,290,23,28
MN,4,50,28,35
MN,4,55,135,146
MN,4,65,22,48
MN,4,70,44,52
MN,4,80,384,420
MN,4,85,0,4
MN,4,95,68,109
MN,4,105,130,213
MN,4,110,32,62
MN,4,135,28,74
MN,4,160,43,78
MN,4,165,87,63
MN,4,170,1080,1311
MN,4,175,9,23
MN,4,185,174,234
MN,4,190,11,16
MN,4,210,14,67
MN,4,235,52,59
MN,4,240,25,128
MN,4,245,24,38
MN,4,250,347,142
MN,4,255,49,49
MN,4,260,343,447
MN,4,265,31,25
MN,4,270,377,341
MN,4,285,47,48
MN,9,5,122,104
MN,9,10,42,30
MN,9,15,156,91
MN,9,20,362,238
MN,9,25,35,23
MN,9,30,317,211
MN,9,35,261,125
MN,9,40,834,516
MN,9,45,691,308
MN,9,50,850,355
MN,9,55,771,386
MN,9,60,662,417
MN,9,65,239,30
MN,9,68,39,30
MN,9,70,50,25
MN,9,75,69,31
MN,9,80,172,133
MN,9,85,65,46
MN,9,90,104,78
MN,9,95,47,26
MN,9,100,61,43
MN,9,105,221,139
MN,9,110,525,233
MN,9,115,290,239
MN,9,118,12,0
MN,9,120,378,144
MN,9,125,70,59
MN,9,130,127,50
MN,9,135,380,160
MN,9,140,197,149
MN,9,145,147,110
MN,9,150,134,85
MN,9,155,41,34
MN,9,160,77,21
MN,9,165,1724,1289
MN,9,170,763,467
MN,9,175,171,52
MN,9,180,140,101
MN,9,185,43,8
MN,11,5,6,35
MN,11,10,49,43
MN,11,15,76,154
MN,11,20,83,178
MN,11,25,31,4
MN,11,30,17,30
MN,11,35,170,243
MN,11,40,16,17
MN,11,45,71,57
MN,11,50,3,4
MN,11,55,15,27
MN,11,60,19,38
MN,11,65,27,61
MN,11,70,28,42
MN,11,75,209,47
MN,11,80,31,43
MN,11,85,196,180
MN,11,90,27,45
MN,11,95,240,450
MN,11,100,161,360
MN,11,105,29,16
MN,11,110,54,33
MN,11,115,92,83
MN,11,118,6,18
MN,11,120,111,136
MN,11,125,41,102
MN,11,130,50,63
MN,11,135,146,177
MN,11,140,234,501
MN,11,145,123,168
MN,11,150,17,30
MN,11,155,35,71
MN,11,160,117,185
MN,11,165,26,39
MN,11,170,67,126
MN,11,175,126,307
MN,11,180,24,53
MN,11,185,20,38
MN,11,187,0,6
MN,11,188,17,25
MN,11,190,510,142
MN,11,195,100,128
MN,11,200,82,56
MN,11,205,140,221
MN,11,210,191,360
MN,11,215,144,205
MN,11,220,12,33
MN,11,225,198,263
MN,11,230,68,60
MN,11,235,34,51
MN,11,240,25,35
MN,11,245,14,41
MN,11,250,393,522
MN,11,252,77,11
MN,11,255,38,77
MN,11,260,16,24
MN,11,262,3,1
MN,11,265,551,794
MN,11,270,71,116
MN,11,275,33,46
MN,11,280,48,61
MN,11,285,197,216
MN,11,290,136,192
MN,11,295,27,59
MN,11,300,65,124
MN,11,305,298,270
MN,11,310,152,66
MN,11,312,15,9
MN,11,315,96,212
MN,11,317,58,48
MN,11,320,256,279
MN,13,5,214,274
MN,13,15,205,165
MN,13,20,1297,1531
MN,13,25,591,762
MN,13,30,668,844
MN,13,35,505,703
MN,13,40,418,528
MN,13,45,285,343
MN,13,50,681,1101
MN,13,55,1118,1294
MN,13,60,431,736
MN,13,65,651,766
MN,13,66,980,1254
MN,13,67,504,775
MN,13,70,497,443
MN,13,75,170,261
MN,13,80,215,275
MN,13,85,269,329
MN,13,86,15,11
MN,13,90,271,392
MN,13,95,479,652
MN,13,100,285,287
MN,13,105,1775,2501
MN,16,5,112,51
MN,16,10,268,146
MN,16,15,232,119
MN,16,20,122,35
MN,16,25,114,84
MN,16,30,208,110
MN,16,35,192,120
MN,16,40,199,148
MN,16,45,71,55
MN,16,50,88,52
MN,16,55,90,49
MN,16,60,67,45
MN,16,65,230,207
MN,18,5,677,866
