STATE,DISTRICT,COUNTY,PRECINCT,PAST_DEM,PAST_REP
MN,1,7,5,65,146
MN,1,7,10,42,144
MN,1,7,15,58,102
MN,1,7,20,59,95
MN,1,7,25,21,72
MN,1,7,30,48,86
MN,1,7,35,198,439
MN,1,7,40,544,826
MN,1,7,45,147,250
MN,1,7,50,86,164
MN,1,7,55,134,244
MN,1,7,60,102,168
MN,1,7,65,527,608
MN,1,7,70,144,252
MN,1,7,75,175,359
MN,1,7,80,26,75
MN,1,7,85,49,135
MN,1,7,90,71,161
MN,1,7,95,223,360
MN,1,7,100,306,219
MN,1,7,105,109,74
MN,1,7,106,397,327
MN,1,7,110,245,94
MN,1,7,115,341,262
MN,1,7,120,505,433
MN,1,7,125,481,325
MN,1,7,130,578,545
MN,1,7,135,864,797
MN,1,7,140,736,367
MN,1,7,142,690,490
MN,1,7,145,797,655
MN,1,7,150,324,311
MN,1,7,155,414,361
MN,1,7,160,843,767
MN,1,7,165,1556,1114
MN,1,7,170,615,793
MN,1,7,175,121,122
MN,1,7,195,43,83
MN,1,7,197,375,487
MN,1,7,200,306,489
MN,1,7,205,50,98
MN,1,7,210,39,125
MN,1,7,212,4,3
MN,1,7,213,0,1
MN,1,7,215,29,69
MN,1,7,220,12,91
MN,1,7,225,246,412
MN,1,7,230,133,229
MN,1,7,235,50,98
MN,1,7,240,107,76
MN,1,7,245,275,423
MN,1,7,250,46,87
MN,1,7,255,37,83
MN,1,7,260,35,71
MN,1,8,5,30,133
MN,1,8,10,19,100
MN,1,8,15,16,133
MN,1,8,20,3,11
MN,1,8,25,39,129
MN,1,8,30,101,347
MN,1,8,35,22,117
MN,1,8,40,13,20
MN,1,8,45,60,91
MN,1,8,50,33,250
MN,1,8,55,54,98
MN,1,8,60,23,144
MN,1,8,65,46,89
MN,1,8,70,96,313
MN,1,8,75,21,68
MN,1,8,80,246,428
MN,1,8,85,341,525
MN,1,8,90,296,463
MN,1,8,95,246,433
MN,1,8,100,431,670
MN,1,8,105,265,474
MN,1,8,110,303,586
MN,1,8,115,317,587
MN,1,8,120,11,125
MN,1,8,125,11,143
MN,1,8,130,50,153
MN,1,8,135,194,453
MN,1,8,140,197,700
MN,1,8,145,131,328
MN,1,8,150,125,352
MN,1,8,155,11,164
MN,1,8,160,12,81
MN,1,17,20,12,53
MN,1,17,25,26,135
MN,1,17,30,1,4
MN,1,17,40,9,52
MN,1,17,45,6,54
MN,1,17,65,32,112
MN,1,17,70,37,113
MN,1,17,75,249,590
MN,1,17,85,17,99
MN,1,17,95,17,79
MN,1,20,5,43,133
MN,1,20,7,0,0
MN,1,20,10,99,268
MN,1,20,15,50,121
MN,1,20,20,58,151
MN,1,20,25,86,226
MN,1,20,30,261,541
MN,1,20,32,77,182
MN,1,20,35,27,110
MN,1,20,40,221,309
MN,1,20,45,68,180
MN,1,20,50,77,154
MN,1,20,51,768,1368
MN,1,20,52,182,361
MN,1,20,55,192,388
MN,1,20,60,349,666
MN,1,20,65,121,281
MN,1,20,70,11,84
MN,1,20,75,116,244
MN,1,20,80,115,350
MN,1,20,85,119,244
MN,1,20,90,62,166
MN,1,22,5,36,101
MN,1,22,10,188,292
MN,1,22,15,198,354
MN,1,22,20,125,297
MN,1,22,25,58,158
MN,1,22,30,64,91
MN,1,22,35,26,91
MN,1,22,40,33,116
MN,1,22,45,23,55
MN,1,22,50,36,122
MN,1,22,55,24,108
MN,1,22,60,35,73
MN,1,22,65,65,150
MN,1,22,70,30,80
MN,1,22,75,20,107
MN,1,22,80,40,111
MN,1,22,85,30,62
MN,1,22,90,41,84
MN,1,22,95,141,104
MN,1,22,100,49,76
MN,1,22,105,23,64
MN,1,22,110,105,214
MN,1,22,115,21,73
MN,1,22,120,11,70
MN,1,22,125,20,79
MN,1,22,130,14,63
MN,1,22,135,35,75
MN,1,22,140,51,157
MN,1,22,145,24,84
MN,1,22,150,9,19
MN,1,22,155,383,635
MN,1,22,160,174,415
MN,1,22,165,21,79
MN,1,23,5,62,75
MN,1,23,10,53,129
MN,1,23,15,41,96
MN,1,23,20,53,137
MN,1,23,25,52,81
MN,1,23,30,57,93
MN,1,23,35,59,82
MN,1,23,40,56,109
MN,1,23,45,85,118
MN,1,23,50,317,432
MN,1,23,55,114,183
MN,1,23,60,59,196
MN,1,23,65,53,153
MN,1,23,70,70,128
MN,1,23,75,52,117
MN,1,23,80,233,281
MN,1,23,85,60,102
MN,1,23,90,60,84
MN,1,23,95,47,157
MN,1,23,100,271,173
MN,1,23,105,165,152
MN,1,23,110,75,130
MN,1,23,115,84,91
MN,1,23,120,35,68
MN,1,23,125,47,71
MN,1,23,130,76,113
MN,1,23,135,46,45
MN,1,23,140,279,332
MN,1,23,150,45,93
MN,1,23,155,335,524
MN,1,23,160,161,314
MN,1,23,165,366,750
MN,1,23,175,94,192
MN,1,23,180,76,188
MN,1,23,185,23,15
MN,1,23,190,61,154
MN,1,23,195,50,113
MN,1,24,5,853,1017
MN,1,24,15,515,594
MN,1,24,25,671,832
MN,1,24,35,661,835
MN,1,24,45,490,434
MN,1,24,50,467,604
MN,1,24,60,142,211
MN,1,24,61,2,8
MN,1,24,65,119,203
MN,1,24,70,51,117
MN,1,24,75,200,361
MN,1,24,80,75,161
MN,1,24,85,51,117
MN,1,24,90,101,209
MN,1,24,95,32,42
MN,1,24,100,76,102
