STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
VA,FAIRFAX CITY,# AB - Central Absentee Precinct,296,284
VA,FAIRFAX CITY,## Provisional,3,1
VA,FAIRFAX CITY,001 - ONE,475,429
VA,FAIRFAX CITY,002 - TWO,524,509
VA,FAIRFAX CITY,003 - THREE,721,631
VA,FAIRFAX CITY,004 - FOUR,609,529
VA,FAIRFAX CITY,005 - FIVE,508,403
VA,FAIRFAX CITY,006 - SIX,463,376
VA,FAIRFAX COUNTY,# AB - Central Absentee Precinct,6657,4561
VA,FAIRFAX COUNTY,## Provisional,33,31
VA,FAIRFAX COUNTY,104 - CHAPEL,639,534
VA,FAIRFAX COUNTY,105 - FAIRVIEW,1088,934
VA,FAIRFAX COUNTY,106 - HERITAGE,742,356
VA,FAIRFAX COUNTY,108 - KINGS PARK,608,546
VA,FAIRFAX COUNTY,109 - LITTLE RUN,839,727
VA,FAIRFAX COUNTY,110 - NORTH SPRINGFIELD,884,710
VA,FAIRFAX COUNTY,113 - CANTERBURY,1125,875
VA,FAIRFAX COUNTY,115 - RAVENSWORTH,401,372
VA,FAIRFAX COUNTY,116 - WAKEFIELD,699,499
VA,FAIRFAX COUNTY,117 - WOODSON,665,562
VA,FAIRFAX COUNTY,118 - LAKE BRADDOCK,915,611
VA,FAIRFAX COUNTY,119 - LAUREL,938,828
VA,FAIRFAX COUNTY,120 - SIDEBURN,728,857
VA,FAIRFAX COUNTY,121 - VILLA,395,387
VA,FAIRFAX COUNTY,123 - ROBINSON,947,851
VA,FAIRFAX COUNTY,125 - SIGNAL HILL,812,658
VA,FAIRFAX COUNTY,126 - BONNIE BRAE,539,445
VA,FAIRFAX COUNTY,127 - BURKE CENTRE,942,757
VA,FAIRFAX COUNTY,128 - CARDINAL,530,392
VA,FAIRFAX COUNTY,129 - KEENE MILL,398,332
VA,FAIRFAX COUNTY,130 - TERRA CENTRE,614,520
VA,FAIRFAX COUNTY,131 - EAGLE VIEW,688,586
VA,FAIRFAX COUNTY,132 - MONUMENT,659,475
VA,FAIRFAX COUNTY,133 - DANBURY,182,124
VA,FAIRFAX COUNTY,134 - UNIVERSITY,343,168
VA,FAIRFAX COUNTY,202 - FLINT HILL,782,729
VA,FAIRFAX COUNTY,203 - FLORIS,883,757
VA,FAIRFAX COUNTY,204 - MADISON,216,128
VA,FAIRFAX COUNTY,208 - RESTON #1,763,286
VA,FAIRFAX COUNTY,209 - RESTON #2,927,367
