STATE,COUNTY,PRECINCT,DEM,REP
VA,ALBEMARLE COUNTY,# AB - Central Absentee Precinct,1032.0,886
VA,ALBEMARLE COUNTY,## Provisional,12.0,8
VA,ALBEMARLE COUNTY,101 - WOODBROOK,611.0,670
VA,ALBEMARLE COUNTY,103 - BRANCHLANDS,256.0,175
VA,ALBEMARLE COUNTY,104 - AGNOR-HURT,541.0,374
VA,ALBEMARLE COUNTY,105 - DUNLORA,697.0,527
VA,ALBEMARLE COUNTY,106 - NORTHSIDE,576.0,720
VA,ALBEMARLE COUNTY,201 - JACK JOUETT,458.0,481
VA,ALBEMARLE COUNTY,202 - UNIVERSITY,388.0,231
VA,ALBEMARLE COUNTY,203 - GEORGETOWN,599.0,297
VA,ALBEMARLE COUNTY,204 - BELFIELD,251.0,329
VA,ALBEMARLE COUNTY,301 - IVY,1050.0,943
VA,ALBEMARLE COUNTY,302 - RED HILL,670.0,578
VA,ALBEMARLE COUNTY,304 - EAST IVY,248.0,274
VA,ALBEMARLE COUNTY,305 - COUNTRY GREEN,493.0,445
VA,ALBEMARLE COUNTY,306 - PORTERS,346.0,228
VA,ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN,129.0,158
VA,ALBEMARLE COUNTY,401 - SCOTTSVILLE,253.0,398
VA,ALBEMARLE COUNTY,402 - MONTICELLO,233.0,319
VA,ALBEMARLE COUNTY,405 - CALE,1077.0,572
VA,ALBEMARLE COUNTY,406 - STONE ROBINSON,487.0,917
VA,ALBEMARLE COUNTY,501 - KESWICK,281.0,312
VA,ALBEMARLE COUNTY,502 - STONY POINT,322.0,423
VA,ALBEMARLE COUNTY,503 - HOLLYMEAD,467.0,609
VA,ALBEMARLE COUNTY,504 - FREE BRIDGE,899.0,753
VA,ALBEMARLE COUNTY,506 - BAKER-BUTLER,595.0,822
VA,ALBEMARLE COUNTY,601 - CROZET,909.0,882
VA,ALBEMARLE COUNTY,602 - FREE UNION,307.0,347
VA,ALBEMARLE COUNTY,603 - EARLYSVILLE,627.0,878
VA,ALBEMARLE COUNTY,604 - BROWNSVILLE,872.0,1025
VA,APPOMATTOX COUNTY,# AB - Central Absentee Precinct,57.0,112
VA,APPOMATTOX COUNTY,## Provisional,,1
VA,APPOMATTOX COUNTY,101 - VERA,62.0,280
VA,APPOMATTOX COUNTY,102 - PAMPLIN,132.0,472
VA,APPOMATTOX COUNTY,201 - CHAP,76.0,142
VA,APPOMATTOX COUNTY,202 - SPOUT SPRING,104.0,628
VA,APPOMATTOX COUNTY,301 - US  460,65.0,358
VA,APPOMATTOX COUNTY,302 - STONEWALL,105.0,374
VA,APPOMATTOX COUNTY,401 - COURTHOUSE,158.0,620
VA,APPOMATTOX COUNTY,501 - OAKVILLE,151.0,463
VA,APPOMATTOX COUNTY,502 - AGEE,73.0,160
VA,BEDFORD COUNTY,# AB - Central Absentee Precinct,149.0,423
VA,BEDFORD COUNTY,## Provisional,3.0,4
VA,BEDFORD COUNTY,101 - GOODVIEW ELEM SCHOOL,167.0,757
VA,BEDFORD COUNTY,102 - HARDY VOL FIRE CO,112.0,324
VA,BEDFORD COUNTY,103 - CHAMBLISSBURG BAPTIST CHURCH,136.0,497
VA,BEDFORD COUNTY,104 - STEWARTSVILLE RESCUE SQUAD,147.0,463
VA,BEDFORD COUNTY,201 - BEDFORD CHRISTIAN CHURCH,86.0,289
VA,BEDFORD COUNTY,202 - STAUNTON RIVER HIGH SCHOOL,109.0,348
VA,BEDFORD COUNTY,203 - MONETA ELEM SCHOOL,226.0,776
VA,BEDFORD COUNTY,204 - Quaker BAPTIST CHURCH,69.0,209
VA,BEDFORD COUNTY,205 - SAUNDERS VOL FIRE CO,200.0,687
VA,BEDFORD COUNTY,302 - BEDFORD REGIONAL WATER AUTH,142.0,557
VA,BEDFORD COUNTY,303 - BETHESDA UNITED METHODIST CHURCH,89.0,369
VA,BEDFORD COUNTY,305 - HUDDLESTON ELEM SCHOOL,61.0,290
VA,BEDFORD COUNTY,602 - SHADY GROVE FIRE DEPARTMENT,132.0,540
VA,BEDFORD COUNTY,603 - THAXTON BAPTIST CHURCH #1,37.0,131
VA,BEDFORD COUNTY,604 - BEDFORD WELCOME CENTER,253.0,725
VA,BEDFORD COUNTY,701 - GOODE VOL RESCUE SQUAD,156.0,934
VA,BEDFORD COUNTY,702 - LIBERTY HIGH SCHOOL,115.0,470
VA,BEDFORD COUNTY,703 - THAXTON BAPTIST CHURCH #2,86.0,306
VA,BEDFORD COUNTY,704 - BEDFORD CENTRAL LIBRARY,296.0,707
VA,BRUNSWICK COUNTY,# AB - Central Absentee Precinct,100.0,174
VA,BRUNSWICK COUNTY,## Provisional,9.0,2
VA,BRUNSWICK COUNTY,101 - BRODNAX,109.0,110
VA,BRUNSWICK COUNTY,102 - ROCK STORE,105.0,197
VA,BRUNSWICK COUNTY,103 - TILLMAN,107.0,272
VA,BRUNSWICK COUNTY,201 - DROMGOOLE,80.0,71
VA,BRUNSWICK COUNTY,202 - EDGERTON,260.0,96
VA,BRUNSWICK COUNTY,203 - FITZHUGH,212.0,99
VA,BRUNSWICK COUNTY,301 - ALBERTA,38.0,60
VA,BRUNSWICK COUNTY,302 - DANIELTOWN,207.0,187
VA,BRUNSWICK COUNTY,303 - ELMORE,84.0,104
VA,BRUNSWICK COUNTY,304 - SEYMOUR,86.0,56
VA,BRUNSWICK COUNTY,401 - STURGEON,341.0,260
VA,BRUNSWICK COUNTY,402 - KING'S STORE,165.0,61
VA,BRUNSWICK COUNTY,501 - TOTARO,431.0,212
VA,BUCKINGHAM COUNTY,# AB - Central Absentee Precinct,59.0,96
VA,BUCKINGHAM COUNTY,## Provisional,1.0,2
VA,BUCKINGHAM COUNTY,101 - NEW CANTON,192.0,268
VA,BUCKINGHAM COUNTY,102  - GEORGIA CREEK,44.0,101
VA,BUCKINGHAM COUNTY,201 - WHITE HALL,137.0,190
VA,BUCKINGHAM COUNTY,301 - CURDSVILLE,126.0,257
VA,BUCKINGHAM COUNTY,302 - NEW STORE,41.0,248
VA,BUCKINGHAM COUNTY,401 - MAYSVILLE,195.0,356
VA,BUCKINGHAM COUNTY,501 - WRIGHTS,68.0,168
VA,BUCKINGHAM COUNTY,502 - GLENMORE,161.0,173
VA,BUCKINGHAM COUNTY,601 - SLATE RIVER,251.0,207
VA,BUCKINGHAM COUNTY,701 - GOLD HILL,132.0,210
VA,CAMPBELL COUNTY,# AB - Central Absentee Precinct,127.0,304
VA,CAMPBELL COUNTY,## Provisional,0.0,3
VA,CAMPBELL COUNTY,101 - BROOKVILLE,222.0,1114
VA,CAMPBELL COUNTY,102 - NEW LONDON,189.0,935
VA,CAMPBELL COUNTY,201 - WALKER,167.0,732
VA,CAMPBELL COUNTY,202 - BEDFORD SPRINGS,225.0,1055
VA,CAMPBELL COUNTY,301 - EVINGTON,109.0,328
VA,CAMPBELL COUNTY,302 - OTTER RIVER,89.0,315
VA,CAMPBELL COUNTY,303 - ALTAVISTA,289.0,788
VA,CAMPBELL COUNTY,401 - THREE FORKS,121.0,650
VA,CAMPBELL COUNTY,402 - COURT HOUSE,247.0,1067
VA,CAMPBELL COUNTY,501 - SPRING HILL,190.0,1046
VA,CAMPBELL COUNTY,502 - YELLOW BRANCH,188.0,508
VA,CAMPBELL COUNTY,601 - KINGS,192.0,587
VA,CAMPBELL COUNTY,602 - CONCORD,270.0,941
VA,CAMPBELL COUNTY,701 - BROOKNEAL,150.0,447
VA,CAMPBELL COUNTY,702 - GLADYS,209.0,603
VA,CAMPBELL COUNTY,703 - MORRIS CHURCH,84.0,298
VA,CHARLOTTE COUNTY,# AB - Central Absentee Precinct,46.0,71
VA,CHARLOTTE COUNTY,## Provisional,0.0,0
VA,CHARLOTTE COUNTY,101 - COUNTY SEAT,169.0,340
VA,CHARLOTTE COUNTY,201 - RED OAK WYLLIESBURG,127.0,327
VA,CHARLOTTE COUNTY,302 - DRAKES BRANCH,128.0,269
VA,CHARLOTTE COUNTY,401 - KEYSVILLE,125.0,376
VA,CHARLOTTE COUNTY,501 - CULLEN,63.0,207
VA,CHARLOTTE COUNTY,503 - RED HOUSE,70.0,109
VA,CHARLOTTE COUNTY,602 - PHENIX,121.0,345
VA,CHARLOTTE COUNTY,701 - BACON,99.0,112
VA,CHARLOTTE COUNTY,702 - SAXE,68.0,164
VA,CHARLOTTESVILLE CITY,# AB - Central Absentee Precinct,593.0,150
VA,CHARLOTTESVILLE CITY,## Provisional,6.0,5
VA,CHARLOTTESVILLE CITY,101 - RECREATION,1062.0,319
VA,CHARLOTTESVILLE CITY,102 - CLARK,1062.0,258
VA,CHARLOTTESVILLE CITY,201 - CARVER,838.0,175
VA,CHARLOTTESVILLE CITY,202 - WALKER,1298.0,527
VA,CHARLOTTESVILLE CITY,301 - BENJAMIN TONSLER,736.0,146
VA,CHARLOTTESVILLE CITY,302 - JOHNSON,960.0,357
VA,CHARLOTTESVILLE CITY,303 - BUFORD,320.0,101
VA,CHARLOTTESVILLE CITY,401 - VENABLE,224.0,77
VA,CHARLOTTESVILLE CITY,402 - ALUMNI HALL,558.0,289
VA,CUMBERLAND COUNTY,# AB - Central Absentee Precinct,26.0,57
VA,CUMBERLAND COUNTY,## Provisional,2.0,1
VA,CUMBERLAND COUNTY,101 - PRECINCT 1,205.0,370
VA,CUMBERLAND COUNTY,201 - PRECINCT 2,143.0,359
VA,CUMBERLAND COUNTY,301 - PRECINCT 3,265.0,229
VA,CUMBERLAND COUNTY,401 - PRECINCT 4,146.0,332
VA,CUMBERLAND COUNTY,501 - PRECINCT 5,156.0,299
VA,DANVILLE CITY,# AB - Central Absentee Precinct,250.0,293
VA,DANVILLE CITY,## Provisional,,5
VA,DANVILLE CITY,001 - WARD ONE,157.0,30
VA,DANVILLE CITY,002 - WARD TWO,161.0,154
VA,DANVILLE CITY,003 - WARD THREE,249.0,25
VA,DANVILLE CITY,004 - WARD FOUR,433.0,662
VA,DANVILLE CITY,005 - WARD FIVE,124.0,238
VA,DANVILLE CITY,006 - WARD SIX,224.0,52
VA,DANVILLE CITY,007 - WARD SEVEN,360.0,81
VA,DANVILLE CITY,008 - WARD EIGHT,251.0,216
VA,DANVILLE CITY,009 - WARD NINE,212.0,190
VA,DANVILLE CITY,010 - WARD TEN,242.0,388
VA,DANVILLE CITY,011 - WARD ELEVEN,482.0,362
VA,DANVILLE CITY,012 - WARD TWELVE,501.0,489
VA,DANVILLE CITY,013 - WARD THIRTEEN,406.0,384
VA,DANVILLE CITY,014 - WARD FOURTEEN,96.0,9
VA,DANVILLE CITY,015 - WARD FIFTEEN,290.0,441
VA,DANVILLE CITY,016 - WARD SIXTEEN,303.0,614
VA,DANVILLE CITY,017 - WARD SEVENTEEN,175.0,653
VA,FAUQUIER COUNTY,# AB - Central Absentee Precinct,287.0,587
VA,FAUQUIER COUNTY,## Provisional,1.0,6
VA,FAUQUIER COUNTY,101 - KETTLE RUN,124.0,421
VA,FAUQUIER COUNTY,103 - CASANOVA,190.0,344
VA,FAUQUIER COUNTY,105 - OPAL,104.0,382
VA,FAUQUIER COUNTY,106 - BALDWIN RIDGE,213.0,489
VA,FAUQUIER COUNTY,201 - COURTHOUSE,453.0,812
VA,FAUQUIER COUNTY,202 - AIRLIE,350.0,757
VA,FAUQUIER COUNTY,203 - WARRENTON,459.0,728
VA,FAUQUIER COUNTY,302 - REMINGTON,301.0,775
VA,FAUQUIER COUNTY,401 - MARSHALL,337.0,747
VA,FAUQUIER COUNTY,402 - LEEDS,439.0,656
VA,FAUQUIER COUNTY,403 - WATERLOO,365.0,1008
VA,FAUQUIER COUNTY,404 - SPRINGS VALLEY,168.0,402
VA,FAUQUIER COUNTY,501 - THE PLAINS,366.0,592
VA,FAUQUIER COUNTY,502 - NEW BALTIMORE,262.0,791
VA,FAUQUIER COUNTY,503 - BROAD RUN,279.0,760
VA,FAUQUIER COUNTY,504 - VINT HILL,380.0,1069
VA,FLUVANNA COUNTY,# AB - Central Absentee Precinct,235.0,419
VA,FLUVANNA COUNTY,## Provisional,3.0,4
VA,FLUVANNA COUNTY,101 - PALMYRA,574.0,930
VA,FLUVANNA COUNTY,201 - COLUMBIA,386.0,685
VA,FLUVANNA COUNTY,301 - FORK UNION,491.0,742
VA,FLUVANNA COUNTY,401 - CUNNINGHAM,433.0,1154
VA,FLUVANNA COUNTY,501 - RIVANNA,690.0,1177
VA,FRANKLIN COUNTY,# AB - Central Absentee Precinct,218.0,501
VA,FRANKLIN COUNTY,## Provisional,3.0,2
VA,FRANKLIN COUNTY,102 - BURNT CHIMNEY,235.0,794
VA,FRANKLIN COUNTY,103 - SCRUGGS,394.0,1593
VA,FRANKLIN COUNTY,201 - GLADE HILL,193.0,590
VA,FRANKLIN COUNTY,202 - PENHOOK,207.0,622
VA,FRANKLIN COUNTY,203 - HODGESVILLE,33.0,89
VA,FRANKLIN COUNTY,204 - DUDLEY,158.0,384
VA,FRANKLIN COUNTY,301 - SNOW CREEK,95.0,294
VA,FRANKLIN COUNTY,302 - FORK MOUNTAIN,80.0,260
VA,FRANKLIN COUNTY,303 - SONTAG,246.0,355
VA,FRANKLIN COUNTY,304 - DICKINSON,129.0,169
VA,FRANKLIN COUNTY,401 - HENRY,102.0,490
VA,FRANKLIN COUNTY,402 - FERRUM,100.0,261
VA,FRANKLIN COUNTY,403 - ENDICOTT,88.0,279
VA,FRANKLIN COUNTY,501 - WAIDSBORO,111.0,340
VA,FRANKLIN COUNTY,502 - CALLAWAY,144.0,480
VA,FRANKLIN COUNTY,503 - BOWMANS,94.0,278
VA,FRANKLIN COUNTY,504 - GOGGINSVILLE,134.0,440
VA,FRANKLIN COUNTY,601 - BOONES MILL,208.0,644
VA,FRANKLIN COUNTY,602 - BONBROOK,173.0,566
VA,FRANKLIN COUNTY,603 - COOPERS COVE,118.0,467
VA,FRANKLIN COUNTY,701 - ROCKY MOUNT EAST,251.0,532
VA,FRANKLIN COUNTY,702 - ROCKY MOUNT WEST,220.0,353
VA,FRANKLIN COUNTY,703 - ROCKY MOUNT SOUTH,217.0,316
VA,GREENE COUNTY,# AB - Central Absentee Precinct,110.0,228
VA,GREENE COUNTY,## Provisional,1.0,1
VA,GREENE COUNTY,101 - DYKE,120.0,351
VA,GREENE COUNTY,102 - SWIFT RUN,172.0,408
VA,GREENE COUNTY,201 - RUCKERSVILLE,305.0,733
VA,GREENE COUNTY,301 - STANARDSVILLE,264.0,775
VA,GREENE COUNTY,401 - MIDWAY,383.0,950
VA,HALIFAX COUNTY,# AB - Central Absentee Precinct,122.0,194
VA,HALIFAX COUNTY,## Provisional,2.0,3
VA,HALIFAX COUNTY,101 - CHILDREY,131.0,269
VA,HALIFAX COUNTY,102 - LIBERTY,75.0,133
VA,HALIFAX COUNTY,103 - REPUBLICAN GROVE,161.0,232
VA,HALIFAX COUNTY,201 - CLAYS MILL,71.0,204
VA,HALIFAX COUNTY,202 - CROSSROADS,92.0,202
VA,HALIFAX COUNTY,203 - CLOVER,202.0,243
VA,HALIFAX COUNTY,302 - MEADVILLE,132.0,70
VA,HALIFAX COUNTY,304 - VERNON HILL,113.0,228
VA,HALIFAX COUNTY,305 - SINAI,297.0,284
VA,HALIFAX COUNTY,401 - COURTHOUSE,217.0,379
VA,HALIFAX COUNTY,403 - CENTER,112.0,486
VA,HALIFAX COUNTY,502 - DAN RIVER,149.0,571
VA,HALIFAX COUNTY,503 - SCOTTSBURG,66.0,274
VA,HALIFAX COUNTY,601 - BLACK WALNUT,119.0,267
VA,HALIFAX COUNTY,603 - MT CARMEL,237.0,359
VA,HALIFAX COUNTY,605 - UNION,48.0,135
VA,HALIFAX COUNTY,701 - HYCO,125.0,427
VA,HALIFAX COUNTY,702 - MIDWAY,45.0,351
VA,HALIFAX COUNTY,703 - VIRGILINA,59.0,223
VA,HALIFAX COUNTY,801 - SOUTH BOSTON,255.0,198
VA,HALIFAX COUNTY,802 - SOUTH BOSTON WEST,214.0,134
VA,HENRY COUNTY,# AB - Central Absentee Precinct,53.0,86
VA,HENRY COUNTY,## Provisional,0.0,0
VA,HENRY COUNTY,302 - AXTON,222.0,207
VA,HENRY COUNTY,303 - IRISBURG,276.0,408
VA,HENRY COUNTY,304 - MOUNT OLIVET,420.0,513
VA,HENRY COUNTY,305 - MOUNTAIN VALLEY,145.0,203
VA,HENRY COUNTY,405 - MOUNTAIN VIEW,137.0,260
VA,HENRY COUNTY,505 - DYERS STORE,3.0,37
VA,HENRY COUNTY,603 - RIDGEWAY #1,164.0,505
VA,LUNENBURG COUNTY,# AB - Central Absentee Precinct,53.0,62
VA,LUNENBURG COUNTY,101 - PLYMOUTH,64.0,308
VA,LUNENBURG COUNTY,201 - BROWNS STORE,89.0,293
VA,LUNENBURG COUNTY,301 - ROSEBUD,30.0,204
VA,LUNENBURG COUNTY,302 - FLAT ROCK,79.0,156
VA,LUNENBURG COUNTY,401 - ARROWHEAD GUN CLUB,26.0,144
VA,LUNENBURG COUNTY,402 - PLEASANT GROVE,71.0,188
VA,LUNENBURG COUNTY,501 - REEDY CREEK,115.0,108
VA,LUNENBURG COUNTY,502 - PEOPLES COMMUNITY CENTER,188.0,93
VA,LUNENBURG COUNTY,601 - HOUNDS CREEK,227.0,177
VA,LUNENBURG COUNTY,701 - MEHERRIN FIRE DEPARTMENT,74.0,110
VA,LUNENBURG COUNTY,702 - VICTORIA PUBLIC LIBRARY,77.0,167
VA,MADISON COUNTY,# AB - Central Absentee Precinct,80.0,142
VA,MADISON COUNTY,001 - OAK PARK,147.0,275
VA,MADISON COUNTY,002 - RADIANT,204.0,388
VA,MADISON COUNTY,003 - ROCHELLE,72.0,228
VA,MADISON COUNTY,004 - GRAVES MILL,7.0,40
VA,MADISON COUNTY,005 - MADISON,189.0,499
VA,MADISON COUNTY,006 - WOLFTOWN,115.0,258
VA,MADISON COUNTY,007 - BRIGHTWOOD,148.0,512
VA,MADISON COUNTY,008 - CRIGLERSVILLE,106.0,254
VA,MADISON COUNTY,009 - ETLAN,55.0,137
VA,MECKLENBURG COUNTY,# AB - Central Absentee Precinct,150.0,208
VA,MECKLENBURG COUNTY,## Provisional,2.0,4
VA,MECKLENBURG COUNTY,101 - WRIGHTS STORE,155.0,160
