STATE,COUNTY,PRECINCT,CLINTON,TRUMP
VA,ALBEMARLE COUNTY,AB - CENTRAL ABSENTEE PRECINCT (05),1314,4044
VA,ALBEMARLE COUNTY,PROVISIONAL (05),18,38
VA,ALBEMARLE COUNTY,101 - WOODBROOK (05),591,1268
VA,ALBEMARLE COUNTY,103 - BRANCHLANDS (05),170,536
VA,ALBEMARLE COUNTY,104 - AGNOR-HURT (05),343,1115
VA,ALBEMARLE COUNTY,105 - DUNLORA (05),493,1641
VA,ALBEMARLE COUNTY,106 - NORTHSIDE (05),798,1367
VA,ALBEMARLE COUNTY,201 - JACK JOUETT (05),718,1490
VA,ALBEMARLE COUNTY,202 - UNIVERSITY (05),308,1933
VA,ALBEMARLE COUNTY,203 - GEORGETOWN (05),289,1356
VA,ALBEMARLE COUNTY,301 - IVY (05),773,1811
VA,ALBEMARLE COUNTY,302 - RED HILL (05),641,1203
VA,ALBEMARLE COUNTY,304 - EAST IVY (05),208,425
VA,ALBEMARLE COUNTY,305 - COUNTRY GREEN (05),451,1194
VA,ALBEMARLE COUNTY,306 - PORTERS (05),344,601
VA,ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN (05),178,265
VA,ALBEMARLE COUNTY,401 - SCOTTSVILLE (05),491,462
VA,ALBEMARLE COUNTY,402 - MONTICELLO (05),437,468
VA,ALBEMARLE COUNTY,405 - CALE (05),461,1504
VA,ALBEMARLE COUNTY,406 - STONE ROBINSON (05),925,1021
VA,ALBEMARLE COUNTY,407 - BISCUIT RUN (05),232,959
VA,ALBEMARLE COUNTY,501 - KESWICK (05),343,589
VA,ALBEMARLE COUNTY,502 - STONY POINT (05),454,548
VA,ALBEMARLE COUNTY,503 - HOLLYMEAD (05),467,1051
VA,ALBEMARLE COUNTY,504 - FREE BRIDGE (05),403,1054
VA,ALBEMARLE COUNTY,506 - BAKER-BUTLER (05),836,1245
VA,ALBEMARLE COUNTY,507 - PANTOPS (05),417,934
VA,ALBEMARLE COUNTY,601 - CROZET (05),699,1365
VA,ALBEMARLE COUNTY,602 - FREE UNION (05),392,516
VA,ALBEMARLE COUNTY,603 - EARLYSVILLE (05),912,1176
VA,ALBEMARLE COUNTY,604 - BROWNSVILLE (05),570,1096
VA,ALBEMARLE COUNTY,606 - MECHUMS RIVER (05),695,1426
VA,APPOMATTOX COUNTY,AB - CENTRAL ABSENTEE PRECINCT (05),237,127
VA,APPOMATTOX COUNTY,PROVISIONAL (05),1,0
VA,APPOMATTOX COUNTY,101 - VERA (05),360,99
VA,APPOMATTOX COUNTY,102 - PAMPLIN (05),573,242
VA,APPOMATTOX COUNTY,201 - CHAP (05),178,141
VA,APPOMATTOX COUNTY,202 - SPOUT SPRING (05),817,201
VA,APPOMATTOX COUNTY,301 - US  460 (05),475,158
VA,APPOMATTOX COUNTY,302 - STONEWALL (05),560,199
VA,APPOMATTOX COUNTY,401 - COURTHOUSE (05),757,301
VA,APPOMATTOX COUNTY,501 - OAKVILLE (05),572,247
VA,APPOMATTOX COUNTY,502 - AGEE (05),221,113
VA,BEDFORD COUNTY,AB - CENTRAL ABSENTEE PRECINCT (05),773,457
VA,BEDFORD COUNTY,PROVISIONAL (05),5,3
VA,BEDFORD COUNTY,101 - GOODVIEW ELEM SCHOOL (05),1099,310
VA,BEDFORD COUNTY,102 - HARDY VOL FIRE CO (05),457,164
VA,BEDFORD COUNTY,103 - CHAMBLISSBURG BAPTIST CHURCH (05),776,264
VA,BEDFORD COUNTY,104 - STEWARTSVILLE RESCUE SQUAD (05),678,228
VA,BEDFORD COUNTY,201 - BEDFORD CHRISTIAN CHURCH (05),402,152
VA,BEDFORD COUNTY,202 - STAUNTON RIVER HIGH SCHOOL (05),533,181
VA,BEDFORD COUNTY,203 - MONETA ELEM SCHOOL (05),1059,417
VA,BEDFORD COUNTY,204 - QUAKER BAPTIST CHURCH (05),361,142
VA,BEDFORD COUNTY,205 - SAUNDERS VOL FIRE CO (05),858,326
VA,BEDFORD COUNTY,302 - BEDFORD REGIONAL WATER AUTH (05),732,253
