STATE,COUNTY,PRECINCT,REP,DEM
VA,CAROLINE COUNTY,# AB - Central Absentee Precinct,167,161
VA,CAROLINE COUNTY,## Provisional,2,1
VA,CAROLINE COUNTY,101 - BOWLING GREEN,431,266
VA,CAROLINE COUNTY,102 - SPARTA,280,246
VA,CAROLINE COUNTY,201 - NORTH MADISON,241,257
VA,CAROLINE COUNTY,202 - SOUTH MADISON,341,321
VA,CAROLINE COUNTY,301 - PORT ROYAL,190,152
VA,CAROLINE COUNTY,302 - WOODFORD,361,416
VA,CAROLINE COUNTY,401 - DAWN,351,691
VA,CAROLINE COUNTY,402 - CARMEL CHURCH,107,247
VA,CAROLINE COUNTY,501 - WEST MATTAPONI,268,391
VA,CAROLINE COUNTY,502 - MILFORD,270,263
VA,CAROLINE COUNTY,601 - CHILESBURG,275,290
VA,CAROLINE COUNTY,602 - LAKE,233,177
VA,ESSEX COUNTY,# AB - Central Absentee Precinct,90,102
VA,ESSEX COUNTY,## Provisional,NA,2
VA,ESSEX COUNTY,101 - GREATER TAPPAHANNOCK,343,294
VA,ESSEX COUNTY,201 - NORTH,219,429
VA,ESSEX COUNTY,301 - SOUTH,488,287
VA,ESSEX COUNTY,401 - CENTRAL,405,305
VA,FAUQUIER COUNTY,# AB - Central Absentee Precinct,84,32
VA,FAUQUIER COUNTY,## Provisional,0,2
VA,FAUQUIER COUNTY,102 - CATLETT,831,292
VA,FAUQUIER COUNTY,104 - LOIS,366,127
VA,FAUQUIER COUNTY,301 - MORRISVILLE,538,225
VA,FAUQUIER COUNTY,303 - BEALETON,680,336
VA,FREDERICKSBURG CITY,# AB - Central Absentee Precinct,131,199
VA,FREDERICKSBURG CITY,## Provisional,5,6
VA,FREDERICKSBURG CITY,101 - PRECINCT 1 - DISTRICT ONE,652,702
VA,FREDERICKSBURG CITY,201 - PRECINCT 1 - DISTRICT TWO,550,949
VA,FREDERICKSBURG CITY,301 - PRECINCT 1 - DISTRICT THREE,573,692
VA,FREDERICKSBURG CITY,401 - PRECINCT 1 - DISTRICT FOUR,168,560
VA,FREDERICKSBURG CITY,402 - PRECINCT 2 - DISTRICT FOUR,132,233
VA,GLOUCESTER COUNTY,# AB - Central Absentee Precinct,272,155
VA,GLOUCESTER COUNTY,## Provisional,1,3
VA,GLOUCESTER COUNTY,101 - HARCUM,507,260
VA,GLOUCESTER COUNTY,102 - SALEM,468,213
VA,GLOUCESTER COUNTY,103 - PEASLEY,309,139
VA,GLOUCESTER COUNTY,201 - COURTHOUSE,540,357
VA,GLOUCESTER COUNTY,202 - BOTETOURT,758,431
VA,GLOUCESTER COUNTY,301 - WHITE MARSH,611,315
VA,GLOUCESTER COUNTY,302 - ROANES,762,377
VA,GLOUCESTER COUNTY,401 - HAYES,611,354
VA,GLOUCESTER COUNTY,402 - SARAHS CREEK,586,389
VA,GLOUCESTER COUNTY,501 - ACHILLES,982,412
VA,GLOUCESTER COUNTY,502 - WALKER,581,324
VA,JAMES CITY COUNTY,# AB - Central Absentee Precinct,1307,932
VA,JAMES CITY COUNTY,## Provisional,9,11
VA,JAMES CITY COUNTY,101 - BERKELEY A,1092,986
VA,JAMES CITY COUNTY,102 - BERKELEY B,544,497
VA,JAMES CITY COUNTY,103 - BERKELEY C,1423,784
VA,JAMES CITY COUNTY,201 - JAMESTOWN A,200,258
VA,JAMES CITY COUNTY,202 - JAMESTOWN B,592,683
VA,JAMES CITY COUNTY,203 - JAMESTOWN C,664,490
VA,JAMES CITY COUNTY,204 - JAMESTOWN D,1188,812
VA,JAMES CITY COUNTY,301 - POWHATAN A,1100,786
VA,JAMES CITY COUNTY,302 - POWHATAN B,221,257
VA,JAMES CITY COUNTY,303 - POWHATAN C,405,218
VA,JAMES CITY COUNTY,304 - POWHATAN D,596,714
VA,JAMES CITY COUNTY,401 - STONEHOUSE A,783,507
VA,JAMES CITY COUNTY,402 - STONEHOUSE B,1099,914
VA,JAMES CITY COUNTY,403 - STONEHOUSE C,955,614
VA,JAMES CITY COUNTY,501 - ROBERTS A,169,436
VA,JAMES CITY COUNTY,502 - ROBERTS B,1200,734
VA,JAMES CITY COUNTY,503 - ROBERTS C,59,147
VA,JAMES CITY COUNTY,504 - ROBERTS D,797,797
VA,KING & QUEEN COUNTY,# AB - Central Absentee Precinct,46,57
VA,KING & QUEEN COUNTY,## Provisional,NA,1
VA,KING & QUEEN COUNTY,101 - OWENTON,129,221
VA,KING & QUEEN COUNTY,201 - CLARKS,245,180
VA,KING & QUEEN COUNTY,301 - SHACKLEFORDS,214,188
VA,KING & QUEEN COUNTY,401 - COURTHOUSE,201,241
VA,KING & QUEEN COUNTY,501 - OLDMILL,232,124
VA,KING GEORGE COUNTY,# AB - Central Absentee Precinct,231,147
VA,KING GEORGE COUNTY,## Provisional,8,5
VA,KING GEORGE COUNTY,101 - COURTHOUSE,702,375
VA,KING GEORGE COUNTY,102 - PASSAPATANZY,349,215
VA,KING GEORGE COUNTY,201 - MONROE,1102,521
VA,KING GEORGE COUNTY,301 - DAHLGREN,840,633
VA,KING GEORGE COUNTY,401 - SHILOH,916,564
VA,KING WILLIAM COUNTY,# AB - Central Absentee Precinct,86,60
VA,KING WILLIAM COUNTY,## Provisional,2,1
VA,KING WILLIAM COUNTY,101 - WEST POINT,609,389
VA,KING WILLIAM COUNTY,201 - SWEET HALL,213,102
VA,KING WILLIAM COUNTY,202 - COURTHOUSE,320,298
VA,KING WILLIAM COUNTY,301 - AYLETT,660,248
VA,KING WILLIAM COUNTY,401 - MANQUIN,659,289
VA,KING WILLIAM COUNTY,501 - MANGOHICK,619,410
VA,LANCASTER COUNTY,# AB - Central Absentee Precinct,210,148
VA,LANCASTER COUNTY,## Provisional,0,2
