STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
VA,CAROLINE COUNTY,# AB - Central Absentee Precinct,625,503
VA,CAROLINE COUNTY,## Provisional,18,3
VA,CAROLINE COUNTY,101 - BOWLING GREEN,491,650
VA,CAROLINE COUNTY,102 - SPARTA,391,506
VA,CAROLINE COUNTY,201 - NORTH MADISON,484,378
VA,CAROLINE COUNTY,202 - SOUTH MADISON,558,623
VA,CAROLINE COUNTY,301 - PORT ROYAL,268,283
VA,CAROLINE COUNTY,302 - WOODFORD,732,637
VA,CAROLINE COUNTY,401 - DAWN,1160,563
VA,CAROLINE COUNTY,402 - CARMEL CHURCH,383,158
VA,CAROLINE COUNTY,501 - WEST MATTAPONI,681,416
VA,CAROLINE COUNTY,502 - MILFORD,512,445
VA,CAROLINE COUNTY,601 - CHILESBURG,602,544
VA,CAROLINE COUNTY,602 - LAKE,371,442
VA,ESSEX COUNTY,# AB - Central Absentee Precinct,333,243
VA,ESSEX COUNTY,## Provisional,2,NA
VA,ESSEX COUNTY,101 - GREATER TAPPAHANNOCK,607,527
VA,ESSEX COUNTY,201 - NORTH,913,377
VA,ESSEX COUNTY,301 - SOUTH,531,787
VA,ESSEX COUNTY,401 - CENTRAL,630,668
VA,FAUQUIER COUNTY,# AB - Central Absentee Precinct,144,254
VA,FAUQUIER COUNTY,## Provisional,2,3
VA,FAUQUIER COUNTY,102 - CATLETT,642,1383
VA,FAUQUIER COUNTY,104 - LOIS,284,548
VA,FAUQUIER COUNTY,301 - MORRISVILLE,460,901
VA,FAUQUIER COUNTY,303 - BEALETON,968,1255
VA,FREDERICKSBURG CITY,# AB - Central Absentee Precinct,789,474
VA,FREDERICKSBURG CITY,## Provisional,17,6
VA,FREDERICKSBURG CITY,101 - PRECINCT 1 - DISTRICT ONE,1460,1092
VA,FREDERICKSBURG CITY,201 - PRECINCT 1 - DISTRICT TWO,1753,976
VA,FREDERICKSBURG CITY,301 - PRECINCT 1 - DISTRICT THREE,1293,988
