STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
VA,AMHERST COUNTY,# AB - Central Absentee Precinct,528,602
VA,AMHERST COUNTY,## Provisional,2,11
VA,AMHERST COUNTY,101 - WRIGHT SHOP,624,385
VA,AMHERST COUNTY,102 - NEW GLASGOW,499,656
VA,AMHERST COUNTY,103 - COOLWELL,159,402
VA,AMHERST COUNTY,201 - COURT HOUSE,883,1144
VA,AMHERST COUNTY,202 - TEMPERANCE,247,522
VA,AMHERST COUNTY,301 - MONROE,282,516
VA,AMHERST COUNTY,302 - ELON,505,1379
VA,AMHERST COUNTY,303 - PLEASANT VIEW,134,305
VA,AMHERST COUNTY,401 - AMELON,838,1358
VA,AMHERST COUNTY,402 - LONCO,244,305
VA,AMHERST COUNTY,501 - MADISON,955,1291
VA,AUGUSTA COUNTY,# AB - Central Absentee Precinct,689,1567
VA,AUGUSTA COUNTY,## Provisional,3,10
VA,AUGUSTA COUNTY,101 - JOLIVUE,279,552
VA,AUGUSTA COUNTY,102 - STUARTS DRAFT ELEMENTARY,355,634
VA,AUGUSTA COUNTY,103 - VERONA,491,1113
VA,AUGUSTA COUNTY,201 - CRIMORA,523,1251
VA,AUGUSTA COUNTY,202 - NEW HOPE,290,761
VA,AUGUSTA COUNTY,203 - WEYERS CAVE,404,1171
VA,AUGUSTA COUNTY,301 - FORT DEFIANCE,691,1786
VA,AUGUSTA COUNTY,302 - NORTH RIVER,151,490
VA,AUGUSTA COUNTY,303 - MOUNT SOLON,175,698
VA,AUGUSTA COUNTY,304 - CHURCHVILLE FIRE STATION,183,569
VA,AUGUSTA COUNTY,401 - BUFFALO GAP,256,652
VA,AUGUSTA COUNTY,402 - CHURCHVILLE ELEMENTARY,236,658
VA,AUGUSTA COUNTY,403 - CRAIGSVILLE,174,394
VA,AUGUSTA COUNTY,404 - DEERFIELD,72,208
VA,AUGUSTA COUNTY,405 - CEDAR GREEN,377,732
VA,AUGUSTA COUNTY,501 - GREENVILLE,326,1059
VA,AUGUSTA COUNTY,502 - MIDDLEBROOK,224,582
