STATE,COUNTY,PRECINCT,CLINTON,TRUMP
VA,AMELIA COUNTY,AB - CENTRAL ABSENTEE PRECINCT (07),287,511
VA,AMELIA COUNTY,PROVISIONAL (07),6,4
VA,AMELIA COUNTY,101 - NUMBER ONE (07),334,740
VA,AMELIA COUNTY,201 - NUMBER TWO (07),400,834
VA,AMELIA COUNTY,301 - NUMBER THREE (07),302,892
VA,AMELIA COUNTY,401 - NUMBER FOUR (07),302,839
VA,AMELIA COUNTY,501 - NUMBER FIVE (07),497,888
VA,CHESTERFIELD COUNTY,AB - CENTRAL ABSENTEE PRECINCT (07),6138,4997
VA,CHESTERFIELD COUNTY,PROVISIONAL (07),49,38
VA,CHESTERFIELD COUNTY,105 - DREWRYS BLUFF (07),1017,672
VA,CHESTERFIELD COUNTY,202 - BEULAH (07),1452,812
VA,CHESTERFIELD COUNTY,204 - JACOBS (07),720,662
VA,CHESTERFIELD COUNTY,205 - FALLING CREEK (07),1627,741
VA,CHESTERFIELD COUNTY,206 - BELMONT (07),1108,215
VA,CHESTERFIELD COUNTY,207 - CHIPPENHAM (07),568,192
VA,CHESTERFIELD COUNTY,208 - MEADOWBROOK (07),1448,593
VA,CHESTERFIELD COUNTY,210 - FIVE FORKS (07),1695,1037
VA,CHESTERFIELD COUNTY,212 - ST. LUKE'S (07),572,659
VA,CHESTERFIELD COUNTY,213 - SOUTHSIDE (07),2479,656
VA,CHESTERFIELD COUNTY,214 - HOPKINS (07),288,44
VA,CHESTERFIELD COUNTY,215 - NORTH BIRD (07),587,269
VA,CHESTERFIELD COUNTY,302 - DEER RUN (07),350,603
VA,CHESTERFIELD COUNTY,306 - WINTERPOCK (07),657,2039
VA,CHESTERFIELD COUNTY,307 - COSBY (07),1197,1629
VA,CHESTERFIELD COUNTY,308 - SOUTH MANCHESTER (07),441,373
VA,CHESTERFIELD COUNTY,309 - SKINQUARTER (07),1142,2315
VA,CHESTERFIELD COUNTY,310 - TOMAHAWK (07),933,1318
VA,CHESTERFIELD COUNTY,313 - WOOLRIDGE (07),1197,1681
VA,CHESTERFIELD COUNTY,315 - BAILEY BRIDGE (07),676,1675
VA,CHESTERFIELD COUNTY,316 - SPRING RUN (07),887,1345
VA,CHESTERFIELD COUNTY,317 - BIRKDALE (07),1034,1639
VA,CHESTERFIELD COUNTY,318 - WEST BEACH (07),311,478
VA,CHESTERFIELD COUNTY,401 - HARBOUR POINTE (07),578,766
VA,CHESTERFIELD COUNTY,402 - GENITO (07),1693,1871
VA,CHESTERFIELD COUNTY,403 - BRANDERMILL (07),1069,1234
VA,CHESTERFIELD COUNTY,404 - PROVIDENCE (07),1077,904
VA,CHESTERFIELD COUNTY,405 - LA PRADE (07),987,1125
VA,CHESTERFIELD COUNTY,406 - SMOKETREE (07),745,1040
VA,CHESTERFIELD COUNTY,407 - MONACAN (07),537,712
VA,CHESTERFIELD COUNTY,408 - REAMS (07),1676,1099
VA,CHESTERFIELD COUNTY,409 - MANCHESTER (07),629,532
VA,CHESTERFIELD COUNTY,410 - WAGSTAFF (07),622,650
VA,CHESTERFIELD COUNTY,411 - SWIFT CREEK (07),966,1149
VA,CHESTERFIELD COUNTY,413 - SHENANDOAH (07),948,890
VA,CHESTERFIELD COUNTY,414 - CRENSHAW (07),1418,1821
VA,CHESTERFIELD COUNTY,415 - EVERGREEN (07),1018,1229
VA,CHESTERFIELD COUNTY,416 - EVERGREEN WEST (07),571,532
VA,CHESTERFIELD COUNTY,417 - EDGEWATER (07),474,547
VA,CHESTERFIELD COUNTY,501 - HUGUENOT (07),805,657
VA,CHESTERFIELD COUNTY,502 - CRESTWOOD (07),560,583
VA,CHESTERFIELD COUNTY,503 - MIDLOTHIAN (07),850,1255
VA,CHESTERFIELD COUNTY,504 - ROBIOUS (07),1293,1729
VA,CHESTERFIELD COUNTY,505 - BON AIR (07),1134,1041
VA,CHESTERFIELD COUNTY,506 - GREENFIELD (07),1121,964
VA,CHESTERFIELD COUNTY,507 - SALISBURY (07),1086,1696
VA,CHESTERFIELD COUNTY,508 - BELGRADE (07),1006,1092
