STATE,COUNTY,PRECINCT,CLINTON,TRUMP
AR,ASHLEY,COOTER,25,126
AR,ASHLEY,CROSSETT WARD 1,176,88
AR,ASHLEY,CROSSETT WARD 2,156,124
AR,ASHLEY,CROSSETT WARD 3,79,308
AR,ASHLEY,CROSSROADS,25,177
AR,ASHLEY,FH CITY,14,21
AR,ASHLEY,FH RURAL,28,108
AR,ASHLEY,HAMBURG WARD 1,72,31
AR,ASHLEY,HAMBURG WARD 2,23,53
AR,ASHLEY,HAMBURG WARD 3,23,86
AR,ASHLEY,HBG RURAL/BC/MIST,21,120
AR,ASHLEY,HICKORY GROVE,35,180
AR,ASHLEY,MILO,21,146
AR,ASHLEY,MONTROSE CITY,69,22
AR,ASHLEY,MONTROSE RRL/BOY/SNY/TRA,10,20
AR,ASHLEY,MT ZION,2,45
AR,ASHLEY,NORTH CROSSETT EAST,37,186
AR,ASHLEY,NORTH CROSSETT WEST,30,137
AR,ASHLEY,PARKDALE CITY,71,18
AR,ASHLEY,PARKDALE RURAL,2,0
AR,ASHLEY,PORTLAND CITY,73,67
AR,ASHLEY,PORTLAND RURAL,6,22
AR,ASHLEY,VOTECH,27,108
AR,ASHLEY,WEST CROSSETT RURAL,93,178
AR,ASHLEY,WILMOT CITY,117,39
AR,ASHLEY,WILMOT RURAL,6,22
AR,BRADLEY,BANKS CITY,10,27
AR,BRADLEY,BANKS RURAL,36,68
AR,BRADLEY,EAGLE LAKE,13,35
AR,BRADLEY,HERMITAGE CITY,41,41
AR,BRADLEY,HERMITAGE RURAL,19,111
AR,BRADLEY,JERSEY,33,51
AR,BRADLEY,JOHNSVILLE,21,52
AR,BRADLEY,MARION,5,28
AR,BRADLEY,NORTH,30,232
AR,BRADLEY,SOUTH,16,98
AR,BRADLEY,SPRINGHILL,7,74
AR,BRADLEY,WARD 1,174,41
AR,BRADLEY,WARD 2,80,99
AR,BRADLEY,WARD 3,117,92
AR,CALHOUN,CHAMBERSVILLE,34,101
AR,CALHOUN,CHAMBERSVILLE WEST,0,17
AR,CALHOUN,CHAMPAGNOLLE,24,112
AR,CALHOUN,DR. RHINE PARK,0,22
AR,CALHOUN,HAMPTON CITY,24,64
AR,CALHOUN,HAMPTON RURAL,0,0
AR,CALHOUN,HAMPTON SOUTH CITY,46,22
AR,CALHOUN,HAMPTON SOUTH RURAL,8,5
AR,CALHOUN,HARRELL CITY,32,54
AR,CALHOUN,HARRELL RURAL 7,7,1
AR,CALHOUN,HARRELL RURAL 8,39,71
AR,CALHOUN,LOCUST,37,153
AR,CALHOUN,LOCUST NORTH,1,28
AR,CALHOUN,THORNTON CITY,63,59
AR,CALHOUN,THORNTON RURAL,4,51
AR,CALHOUN,TINSMAN CITY,4,13
AR,CALHOUN,TINSMAN RURAL,13,34
AR,CALHOUN,TINSMAN WEST,2,37
AR,CALHOUN,WATSON ADDITION,7,23
AR,CALHOUN,WOODBERRY,13,80
AR,CLARK,AMITY CITY,18,111
AR,CLARK,ARKADELPHIA WARD 1,49,49
AR,CLARK,ARKADELPHIA WARD 2,121,91
AR,CLARK,ARKADELPHIA WARD 3,116,67
AR,CLARK,ARKADELPHIA WARD 4,158,79
AR,CLARK,ARKADELPHIA WARD 5,114,129
AR,CLARK,CADDO VALLEY WARDS 1-3,40,58
AR,CLARK,CENTRAL,46,128
AR,CLARK,CURTIS,53,120
AR,CLARK,EAST COUNTY,86,103
AR,CLARK,GUM SPRINGS INSIDE/OUTSID,47,112
AR,CLARK,GURDON GENERAL,38,145
AR,CLARK,GURDON WARDS 1-5,186,217
AR,CLARK,HOLLYWOOD/OKOLONA CITY/WE,64,171
AR,CLARK,NORTH COUNTY,52,247
AR,CLARK,NORTHEAST COUNTY,38,113
AR,CLARK,SOUTH COUNTY/WHELEN SPRIN,30,107
AR,CLEVELAND,BOWMAN,41,58
AR,CLEVELAND,HARPER,21,128
AR,CLEVELAND,HUDGIN,17,83
AR,CLEVELAND,HURRICANE,13,127
AR,CLEVELAND,KINGSLAND INSIDE,29,70
AR,CLEVELAND,KINGSLAND OUTSIDE,12,111
AR,CLEVELAND,LEE,28,78
AR,CLEVELAND,MILLER,26,198
AR,CLEVELAND,NIVEN,20,62
AR,CLEVELAND,REDLAND,59,119
AR,CLEVELAND,RISON INSIDE,48,56
AR,CLEVELAND,RISON OUTSIDE,6,37
AR,CLEVELAND,ROWELL,15,77
AR,CLEVELAND,SALINE,1,9
AR,CLEVELAND,SMITH,10,85
AR,CLEVELAND,WHITEOAK,0,0
AR,CLEVELAND,WHITEVILLE,39,189
AR,COLUMBIA,COLUMBIA NORTH,38,159
AR,COLUMBIA,COLUMBIA SOUTH,104,121
AR,COLUMBIA,EMERSON CITY,20,28
AR,COLUMBIA,EMERSON TOWNSHIP,65,201
AR,COLUMBIA,MAG WARD 1,116,85
AR,COLUMBIA,MAG WARD 2,172,26
AR,COLUMBIA,MAG WARD 3,75,129
AR,COLUMBIA,MAG WARD 4,76,138
AR,COLUMBIA,MCNEIL CITY,29,37
AR,COLUMBIA,MCNEIL TOWNSHIP,71,82
AR,COLUMBIA,TAYLOR CITY,17,144
AR,COLUMBIA,TAYLOR TOWNSHIP,41,159
AR,COLUMBIA,WALDO CITY,178,54
AR,COLUMBIA,WALDO TOWNSHIP,48,77
AR,CRAWFORD,ALMA 1,93,255
AR,CRAWFORD,ALMA 4,49,248
AR,CRAWFORD,BIDVILLE,2,18
AR,CRAWFORD,CHESTER,39,126
AR,CRAWFORD,DEAN SPRINGS,73,392
AR,CRAWFORD,DYER,96,293
AR,CRAWFORD,EAGLE CREST,32,127
AR,CRAWFORD,KIBLER,57,359
AR,CRAWFORD,LOCKE,18,79
AR,CRAWFORD,MOUNTAIN,116,393
AR,CRAWFORD,MULBERRY 1,17,61
AR,CRAWFORD,MULBERRY 2,6,34
AR,CRAWFORD,MULBERRY 3,69,247
AR,CRAWFORD,PORTER,19,57
AR,CRAWFORD,VINE PRAIRIE,21,102
AR,CRAWFORD,WHITLEY,42,231
AR,CRAWFORD,WINFREY,1,17
AR,DALLAS,DISTRICT 1,58,13
AR,DALLAS,DISTRICT 2,78,25
AR,DALLAS,DISTRICT 3,37,13
AR,DALLAS,DISTRICT 4,51,68
AR,DALLAS,DISTRICT 5,31,88
AR,DALLAS,DISTRICT 6,126,32
AR,DALLAS,DISTRICT 7,107,135
AR,DALLAS,DISTRICT 8,27,203
AR,DALLAS,DISTRICT 9,21,165
AR,DREW,COLLINS,23,58
AR,DREW,ENON,16,91
AR,DREW,JEROME,5,15
AR,DREW,LACEY,34,128
AR,DREW,MARION N BOX 1,78,233
AR,DREW,MARION N BOX 2,33,133
AR,DREW,MARION SOUTH,27,248
AR,DREW,OZMENT,16,73
AR,DREW,PLANTERSVILLE,19,122
AR,DREW,SELMA,53,123
AR,DREW,TILLAR,26,40
AR,DREW,WARD 1,159,78
AR,DREW,WARD 2,74,233
AR,DREW,WARD 3,142,111
AR,DREW,WARD 4,107,121
AR,DREW,WILMAR,142,120
AR,DREW,WINCHESTER,64,10
AR,FRANKLIN,1-A OZARK WD. 1,27,71
AR,FRANKLIN,1-B OZARK WD. 2,21,88
AR,FRANKLIN,1-C OZARK RURAL,1,2
AR,FRANKLIN,2-A OZARK WD. 3,29,94
AR,FRANKLIN,2-B OZARK RURAL,2,24
AR,FRANKLIN,2-C LONELM/CRAVENS,1,14
AR,FRANKLIN,2-D WALLACE/IVY,0,10
AR,FRANKLIN,2-E OZARK WD. 3,7,37
AR,FRANKLIN,3-A LONELM/CRAVENS,32,98
AR,FRANKLIN,3-B FERN,5,47
AR,FRANKLIN,3-C BOSTON,27,69
AR,FRANKLIN,3-D JETHRO,17,105
AR,FRANKLIN,3-E WATALULA,0,6
AR,FRANKLIN,3-F MOUNTAIN,6,45
AR,FRANKLIN,4-A PHILPOT,18,67
AR,FRANKLIN,4-B WATALULA,8,68
AR,FRANKLIN,4-C W.V. RURAL,6,20
AR,FRANKLIN,4-D OZARK RURAL,33,80
AR,FRANKLIN,5-A WALLACE/IVY,49,170
AR,FRANKLIN,5-B OZARK RURAL,2,12
AR,FRANKLIN,5-C WEBB CITY,42,130
AR,FRANKLIN,6-A ALTUS RURAL,17,78
AR,FRANKLIN,6-B ALTUS CITY,26,79
AR,FRANKLIN,6-C DENNING,7,24
AR,FRANKLIN,6-D WEIDERKEHR VILLAGE,0,8
AR,FRANKLIN,7-A CECIL,13,72
AR,FRANKLIN,7-B WEBB CITY,12,64
AR,FRANKLIN,7-C ETNA,21,163
AR,FRANKLIN,7-D DONALD,20,80
AR,FRANKLIN,8-A BRANCH CITY,22,37
AR,FRANKLIN,8-B CHARLESTON CITY WD. 1,19,82
AR,FRANKLIN,8-C CHARLESTON RURAL,18,39
AR,FRANKLIN,8-D VESTA,7,64
AR,FRANKLIN,8-E DONALD,2,11
AR,FRANKLIN,8-F CECIL,5,12
AR,FRANKLIN,8-G DONALD,0,2
AR,FRANKLIN,9-A CHARLESTON WD. 2,23,109
AR,FRANKLIN,9-B CHARLESTON WD. 3,30,70
AR,FRANKLIN,9-C CHARLESTON RURAL,5,35
AR,GARLAND,011,62,61
AR,GARLAND,012,104,78
AR,GARLAND,013,28,57
AR,GARLAND,014,44,216
AR,GARLAND,021,169,53
AR,GARLAND,022,216,65
AR,GARLAND,023,20,63
AR,GARLAND,024,3,7
AR,GARLAND,031,4,5
AR,GARLAND,032,20,58
AR,GARLAND,033,155,130
AR,GARLAND,034,118,99
AR,GARLAND,041,70,103
AR,GARLAND,042,125,180
AR,GARLAND,043,52,100
AR,GARLAND,044,80,124
AR,GARLAND,051,26,15
AR,GARLAND,052,35,43
AR,GARLAND,053,74,158
AR,GARLAND,054,158,351
AR,GARLAND,061,13,38
AR,GARLAND,062,19,29
AR,GARLAND,063,150,413
AR,GARLAND,064,81,194
AR,GARLAND,065,1,2
AR,GARLAND,071,42,93
AR,GARLAND,072,60,172
AR,GARLAND,073,98,239
AR,GARLAND,074,136,367
AR,GARLAND,081,17,103
AR,GARLAND,082,110,423
AR,GARLAND,083,55,192
AR,GARLAND,084,33,104
AR,GARLAND,091,20,108
AR,GARLAND,092,82,300
AR,GARLAND,093,68,149
AR,GARLAND,094,37,89
AR,GARLAND,095,14,31
AR,GARLAND,101,62,253
AR,GARLAND,102,29,182
AR,GARLAND,103,77,211
AR,GARLAND,104,35,62
AR,GARLAND,111,16,95
AR,GARLAND,112,9,47
AR,GARLAND,113,116,332
AR,GARLAND,114,79,203
AR,GARLAND,115,10,22
AR,GARLAND,121,119,237
AR,GARLAND,122,92,232
AR,GARLAND,123,34,93
AR,GARLAND,124,0,0
AR,GARLAND,125,6,13
AR,GARLAND,131,50,115
AR,GARLAND,132,85,169
AR,GARLAND,133,76,321
AR,GARLAND,134,39,146
AR,GRANT,CALVERT,36,255
AR,GRANT,DARYSAW,65,83
AR,GRANT,DAVIS,11,75
AR,GRANT,DEKALB 1,20,79
AR,GRANT,DEKALB 2,42,134
AR,GRANT,FENTER,32,195
AR,GRANT,FRANKLIN,11,68
