STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
GA,BACON,DOUGLAS,219,404
GA,BACON,NEW LACY,19,266
GA,BACON,TAYLOR,9,218
GA,BACON,WARE,11,157
GA,BACON,WARNOCK,10,97
GA,BRANTLEY,HOBOKEN,75,931
GA,BRANTLEY,NAHUNTA,104,715
GA,BRANTLEY,WAYNESVILLE,125,864
GA,BRYAN,BLACK CREEK,174,621
GA,BRYAN,DANIELSIDING,121,341
GA,BRYAN,ELLABELL,102,475
GA,BRYAN,HWY 144 EAST,135,337
GA,BRYAN,J.F. GREGORY PARK,110,356
GA,BRYAN,KELLER,173,531
GA,BRYAN,PEMBROKE,205,377
GA,BRYAN,PUBLIC SAFETY,145,289
GA,BRYAN,RH RECREATION,190,325
GA,BRYAN,WAYS STATION,110,247
GA,CAMDEN,BROWNTOWN,37,208
GA,CAMDEN,EAST KINGSLAND,303,708
GA,CAMDEN,HARRIETTS BLUFF,92,473
GA,CAMDEN,KINGSLAND,125,237
GA,CAMDEN,MARY LEE CLARK,246,508
GA,CAMDEN,MUSH BLUFF,175,472
GA,CAMDEN,NORTH KINGSLAND,224,257
GA,CAMDEN,NORTH ST MARYS,169,197
GA,CAMDEN,SOUTH ST MARYS,122,236
GA,CAMDEN,TARBORO,74,174
GA,CAMDEN,WAVERLY,121,310
GA,CAMDEN,WEST KINGSLAND,144,423
GA,CAMDEN,WEST SAINT MARYS,134,434
GA,CAMDEN,WOODBINE,126,239
GA,CHARLTON,AMERICAN LEGION,14,145
GA,CHARLTON,FOLKSTON,336,182
GA,CHARLTON,FOLKSTON FIRE,14,123
GA,CHARLTON,GA BEND,11,201
GA,CHARLTON,HOMELAND,28,144
GA,CHARLTON,RACEPOND,5,86
GA,CHARLTON,ST. GEORGE,19,238
GA,CHARLTON,WINOKUR,7,101
GA,CHATHAM,1-01,767,670
GA,CHATHAM,1-05,434,384
GA,CHATHAM,1-06,242,475
GA,CHATHAM,1-08,223,393
