STATE,COUNTY,PRECINCT,CLINTON,TRUMP
GA,DEKALB,ALLGOOD ELEM,489,81
GA,DEKALB,AUSTIN DRIVE,398,29
GA,DEKALB,AVONDALE,591,322
GA,DEKALB,AVONDALE HIGH - 04,311,73
GA,DEKALB,BETHUNE MIDDLE,699,36
GA,DEKALB,BROCKETT,412,256
GA,DEKALB,BROCKETT ELEM,312,170
GA,DEKALB,BROWNS MILL ELEM,719,35
GA,DEKALB,CANBY LANE ELEM,392,13
GA,DEKALB,CANDLER-MURPHEY CANDLER ELEM,531,31
GA,DEKALB,CHAPEL HILL ELEM,658,27
GA,DEKALB,CLAIREMONT WEST,718,162
GA,DEKALB,CLAIRMONT ROAD,574,207
GA,DEKALB,CLARKSTON,1110,111
GA,DEKALB,COLUMBIA DRIVE,386,15
GA,DEKALB,CORALWOOD,502,250
GA,DEKALB,COVINGTON,288,40
GA,DEKALB,COVINGTON HWY LIBRARY,157,8
GA,DEKALB,CROSSROADS,459,29
GA,DEKALB,DUNAIRE ELEM,385,50
GA,DEKALB,FAIRINGTON ELEM,910,27
GA,DEKALB,FLAKES MILL FIRE STATION,443,17
GA,DEKALB,FLAT ROCK ELEM,463,17
GA,DEKALB,FLAT SHOALS PARKWAY,522,21
GA,DEKALB,FREEDOM MIDDLE,582,48
GA,DEKALB,GLENHAVEN,351,40
GA,DEKALB,GLENNWOOD - 04,234,39
GA,DEKALB,GLENWOOD ROAD,387,18
GA,DEKALB,HAMBRICK ELEM,615,92
GA,DEKALB,HARRIS-NARVIE J. HARRIS ELEM,652,13
GA,DEKALB,HUGH HOWELL,234,243
GA,DEKALB,IDLEWOOD ELEM,391,134
GA,DEKALB,INDIAN CREEK ELEM,369,57
GA,DEKALB,JOLLY ELEM,533,106
GA,DEKALB,KELLEY CHAPEL ROAD,252,26
GA,DEKALB,KING-ML KING JR HIGH,634,21
GA,DEKALB,LITHONIA,272,23
GA,DEKALB,LITHONIA HIGH,641,15
GA,DEKALB,MARBUT ELEM,752,27
GA,DEKALB,MATHIS-BOB MATHIS ELEM,449,29
GA,DEKALB,MCLENDON,542,111
GA,DEKALB,MCWILLIAMS,468,19
GA,DEKALB,MEDLOCK ELEM,519,173
GA,DEKALB,MEMORIAL SOUTH,530,46
GA,DEKALB,MIDWAY ELEM,462,37
GA,DEKALB,MILLER GROVE HIGH,575,13
GA,DEKALB,MILLER GROVE MIDDLE,711,14
GA,DEKALB,MILLER GROVE ROAD,446,23
GA,DEKALB,MILLER-ELDRIDGE L. MILLER ELEM,577,38
GA,DEKALB,MONTREAL,290,150
GA,DEKALB,NORTH DECATUR,297,69
GA,DEKALB,NORTH HAIRSTON,435,57
GA,DEKALB,NORTHLAKE,257,163
GA,DEKALB,OAK GROVE ELEM,414,286
GA,DEKALB,PANOLA,244,16
GA,DEKALB,PANOLA ROAD,324,10
GA,DEKALB,PANOLA WAY ELEM,352,14
GA,DEKALB,PEACHCREST ELEM,409,42
GA,DEKALB,PINE LAKE,249,40
GA,DEKALB,PRINCETON ELEM,451,15
GA,DEKALB,RAINBOW ELEM,665,33
GA,DEKALB,REDAN ELEM,555,26
GA,DEKALB,REDAN MIDDLE,352,23
GA,DEKALB,REDAN ROAD,495,27
GA,DEKALB,REDAN-TROTTI LIBRARY,683,22
GA,DEKALB,REHOBOTH,344,183
GA,DEKALB,ROCK CHAPEL ELEM,516,33
GA,DEKALB,ROCK CHAPEL ROAD,738,68
GA,DEKALB,ROCKBRIDGE ELEM,532,47
GA,DEKALB,ROCKBRIDGE ROAD,626,40
GA,DEKALB,ROWLAND ELEM,584,47
GA,DEKALB,ROWLAND ROAD,403,57
GA,DEKALB,SAGAMORE HILLS ELEM,521,345
GA,DEKALB,SALEM MIDDLE,588,24
GA,DEKALB,SCOTT,496,156
GA,DEKALB,SHADOW ROCK ELEM,547,38
GA,DEKALB,SHAMROCK,274,133
GA,DEKALB,SHAW-ROBERT SHAW ELEM,593,107
GA,DEKALB,SMOKE RISE ELEM,209,271
GA,DEKALB,SNAPFINGER ELEM,346,18
GA,DEKALB,SNAPFINGER ROAD NORTH,473,20
GA,DEKALB,SNAPFINGER ROAD SOUTH,379,20
GA,DEKALB,SOUTH DESHON,660,27
GA,DEKALB,SOUTH HAIRSTON,718,37
GA,DEKALB,STEPHENSON HIGH,560,46
GA,DEKALB,STEPHENSON MIDDLE,621,51
GA,DEKALB,STONE MILL ELEM,594,43
GA,DEKALB,STONE MOUNTAIN CHAMPION,529,92
GA,DEKALB,STONE MOUNTAIN ELEM,304,121
GA,DEKALB,STONE MOUNTAIN LIBRARY,266,80
GA,DEKALB,STONE MOUNTAIN MIDDLE,460,36
GA,DEKALB,STONEVIEW ELEM,295,23
GA,DEKALB,VALLEY BROOK,246,90
GA,DEKALB,WADSWORTH ELEM - 04,379,12
GA,DEKALB,WESLEY CHAPEL LIBRARY,476,23
GA,DEKALB,WHITE OAK,540,23
GA,DEKALB,WOODRIDGE ELEM,578,38
GA,DEKALB,WOODROW ROAD,1029,40
GA,DEKALB,WYNBROOKE ELEM,630,47
GA,DEKALB,YOUNG ROAD,248,12
GA,GWINNETT,BAYCREEK B,864,601
GA,GWINNETT,BAYCREEK E,388,452
GA,GWINNETT,BAYCREEK J,603,446
GA,GWINNETT,BERKSHIRE B,756,204
GA,GWINNETT,BERKSHIRE D,333,441
GA,GWINNETT,BERKSHIRE E,260,313
GA,GWINNETT,BERKSHIRE G,268,297
GA,GWINNETT,BERKSHIRE H,287,167
GA,GWINNETT,BERKSHIRE J,337,459
GA,GWINNETT,BERKSHIRE N,276,375
GA,GWINNETT,BERKSHIRE Q,232,316
GA,GWINNETT,CATES C,397,305
GA,GWINNETT,CATES D,371,472
GA,GWINNETT,CATES E,360,491
GA,GWINNETT,CATES H,569,283
GA,GWINNETT,CATES J,515,475
GA,GWINNETT,CATES L,590,493
GA,GWINNETT,GARNERS A,344,540
GA,GWINNETT,GARNERS B,459,254
GA,GWINNETT,GARNERS C,277,288
GA,GWINNETT,GARNERS D,596,197
GA,GWINNETT,GARNERS F,211,229
GA,GWINNETT,PINCKNEYVILLE B,533,164
GA,GWINNETT,PINCKNEYVILLE J,516,83
GA,GWINNETT,PINCKNEYVILLE O,627,190
GA,GWINNETT,PINCKNEYVILLE V,268,144
GA,GWINNETT,PINCKNEYVILLE Y,674,181
GA,GWINNETT,ROCKBRIDGE A,730,228
GA,GWINNETT,ROCKBRIDGE B,735,273
GA,GWINNETT,ROCKBRIDGE C,836,280
GA,GWINNETT,ROCKBRIDGE D,597,235
GA,GWINNETT,ROCKBRIDGE E,841,300
GA,GWINNETT,ROCKBRIDGE F,721,197
GA,GWINNETT,ROCKBRIDGE G,830,267
GA,NEWTON,ALCOVY-4,364,494
GA,NEWTON,ALMON,710,323
GA,NEWTON,BEAVERDAM,813,266
GA,NEWTON,BUCK CREEK,514,551
GA,NEWTON,CEDAR SHOALS,323,357
GA,NEWTON,CITY POND,270,154
GA,NEWTON,COVINGTON MILLS,333,343
GA,NEWTON,CROWELL,851,163
GA,NEWTON,DOWNS,620,773
GA,NEWTON,FAIRVIEW,534,104
GA,NEWTON,GUM CREEK,218,1015
GA,NEWTON,LIVINGSTON,630,312
GA,NEWTON,OXFORD,208,504
GA,NEWTON,ROCKY PLAINS-4,55,68
GA,NEWTON,STANSELLS,624,283
GA,NEWTON,TOWN,711,191
GA,ROCKDALE,BARKSDALE,443,390
GA,ROCKDALE,BETHEL,75,303
GA,ROCKDALE,CONYERS,412,129
