STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
MN,3,5,12,46
MN,3,10,43,183
MN,3,15,100,229
MN,3,20,199,602
MN,3,25,45,44
MN,3,30,39,70
MN,3,35,39,70
MN,3,40,232,425
MN,3,45,37,101
MN,3,50,212,427
MN,3,51,100,310
MN,3,52,0,0
MN,3,55,412,796
MN,3,65,595,785
MN,3,75,574,1086
MN,3,82,40,34
MN,3,85,264,708
MN,3,90,29,97
MN,3,95,29,39
MN,3,100,129,364
MN,3,105,43,126
MN,3,110,30,81
MN,3,115,96,257
MN,3,120,82,212
MN,3,125,312,591
MN,3,130,131,190
MN,3,135,91,167
MN,3,140,318,644
MN,3,145,100,91
MN,3,150,20,24
MN,3,155,91,333
MN,3,160,41,30
MN,3,165,13,32
MN,3,170,106,222
MN,3,175,42,38
MN,3,180,44,194
MN,3,185,36,62
MN,3,190,52,117
MN,3,195,50,178
MN,3,200,9,29
MN,3,205,36,135
MN,3,210,115,167
MN,3,215,64,195
MN,3,220,38,115
MN,3,225,24,21
MN,3,230,70,71
MN,3,235,7,29
MN,3,240,17,113
MN,4,5,57,50
MN,4,10,3,9
MN,4,15,520,834
MN,4,20,523,502
MN,4,25,493,466
MN,4,30,489,633
MN,4,35,553,524
MN,4,40,658,676
MN,4,45,9,33
MN,4,60,50,120
MN,4,75,213,469
MN,4,90,366,628
MN,4,100,2,7
MN,4,115,24,96
MN,4,120,39,81
MN,4,125,18,40
MN,4,130,63,200
MN,4,140,4,16
MN,4,145,118,237
MN,4,150,19,38
MN,4,155,4,8
MN,4,172,0,0
MN,4,180,289,2
MN,4,195,528,14
MN,4,200,407,12
MN,4,202,293,18
MN,4,205,51,78
MN,4,215,8,17
MN,4,220,13,24
MN,4,225,13,20
MN,4,230,5,17
MN,4,275,6,10
MN,4,280,5,10
MN,4,290,24,39
MN,4,295,47,59
MN,4,300,11,29
MN,6,5,45,42
MN,6,10,28,32
MN,6,15,27,22
MN,6,20,7,3
MN,6,25,50,126
MN,6,30,32,34
MN,6,31,37,49
MN,6,35,75,99
MN,6,40,6,10
MN,6,45,32,45
MN,6,50,117,195
MN,6,55,14,34
MN,6,56,5,12
MN,6,60,9,24
MN,6,65,13,27
MN,6,70,17,29
MN,6,75,13,57
MN,6,80,225,391
MN,6,85,100,226
MN,6,86,15,33
MN,6,90,16,31
MN,6,95,33,67
MN,6,100,5,20
MN,12,5,66,80
MN,12,10,194,493
MN,12,15,27,62
MN,12,20,9,45
MN,12,25,212,217
MN,12,30,36,96
MN,12,32,0,0
