STATE,COUNTY,PRECINCT,CLINTON,TRUMP
MN,7,5,65,146
MN,7,10,42,144
MN,7,15,58,102
MN,7,20,59,95
MN,7,25,21,72
MN,7,30,48,86
MN,7,35,198,439
MN,7,40,544,826
MN,7,45,147,250
MN,7,50,86,164
MN,7,55,134,244
MN,7,60,102,168
MN,7,65,527,608
MN,7,70,144,252
MN,7,75,175,359
MN,7,80,26,75
MN,7,85,49,135
MN,7,90,71,161
MN,7,95,223,360
MN,7,100,306,219
MN,7,105,109,74
MN,7,106,397,327
MN,7,110,245,94
MN,7,115,341,262
MN,7,120,505,433
MN,7,125,481,325
MN,7,130,578,545
MN,7,135,864,797
MN,7,140,736,367
MN,7,142,690,490
MN,7,145,797,655
MN,7,150,324,311
MN,7,155,414,361
MN,7,160,843,767
MN,7,165,1556,1114
MN,7,170,615,793
MN,7,175,121,122
MN,7,195,43,83
MN,7,197,375,487
MN,7,200,306,489
MN,7,205,50,98
MN,7,210,39,125
MN,7,212,4,3
MN,7,213,0,1
MN,7,215,29,69
MN,7,220,12,91
MN,7,225,246,412
MN,7,230,133,229
MN,7,235,50,98
MN,7,240,107,76
MN,7,245,275,423
MN,7,250,46,87
MN,7,255,37,83
MN,7,260,35,71
MN,8,5,30,133
MN,8,10,19,100
MN,8,15,16,133
MN,8,20,3,11
MN,8,25,39,129
MN,8,30,101,347
MN,8,35,22,117
MN,8,40,13,20
MN,8,45,60,91
MN,8,50,33,250
MN,8,55,54,98
MN,8,60,23,144
MN,8,65,46,89
MN,8,70,96,313
MN,8,75,21,68
MN,8,80,246,428
MN,8,85,341,525
MN,8,90,296,463
MN,8,95,246,433
MN,8,100,431,670
MN,8,105,265,474
MN,8,110,303,586
MN,8,115,317,587
MN,8,120,11,125
MN,8,125,11,143
MN,8,130,50,153
MN,8,135,194,453
MN,8,140,197,700
MN,8,145,131,328
MN,8,150,125,352
MN,8,155,11,164
MN,8,160,12,81
MN,17,20,12,53
MN,17,25,26,135
MN,17,30,1,4
MN,17,40,9,52
MN,17,45,6,54
MN,17,65,32,112
MN,17,70,37,113
MN,17,75,249,590
MN,17,85,17,99
MN,17,95,17,79
MN,20,5,43,133
MN,20,7,0,0
MN,20,10,99,268
MN,20,15,50,121
MN,20,20,58,151
MN,20,25,86,226
MN,20,30,261,541
MN,20,32,77,182
MN,20,35,27,110
MN,20,40,221,309
MN,20,45,68,180
MN,20,50,77,154
MN,20,51,768,1368
MN,20,52,182,361
MN,20,55,192,388
MN,20,60,349,666
MN,20,65,121,281
MN,20,70,11,84
MN,20,75,116,244
MN,20,80,115,350
MN,20,85,119,244
MN,20,90,62,166
MN,22,5,36,101
MN,22,10,188,292
MN,22,15,198,354
MN,22,20,125,297
MN,22,25,58,158
MN,22,30,64,91
MN,22,35,26,91
MN,22,40,33,116
MN,22,45,23,55
MN,22,50,36,122
MN,22,55,24,108
MN,22,60,35,73
MN,22,65,65,150
MN,22,70,30,80
MN,22,75,20,107
MN,22,80,40,111
MN,22,85,30,62
MN,22,90,41,84
MN,22,95,141,104
MN,22,100,49,76
MN,22,105,23,64
MN,22,110,105,214
MN,22,115,21,73
MN,22,120,11,70
MN,22,125,20,79
MN,22,130,14,63
MN,22,135,35,75
MN,22,140,51,157
MN,22,145,24,84
MN,22,150,9,19
MN,22,155,383,635
MN,22,160,174,415
MN,22,165,21,79
MN,23,5,62,75
MN,23,10,53,129
MN,23,15,41,96
MN,23,20,53,137
MN,23,25,52,81
MN,23,30,57,93
MN,23,35,59,82
MN,23,40,56,109
MN,23,45,85,118
MN,23,50,317,432
MN,23,55,114,183
MN,23,60,59,196
MN,23,65,53,153
MN,23,70,70,128
MN,23,75,52,117
MN,23,80,233,281
MN,23,85,60,102
MN,23,90,60,84
MN,23,95,47,157
MN,23,100,271,173
MN,23,105,165,152
MN,23,110,75,130
MN,23,115,84,91
MN,23,120,35,68
MN,23,125,47,71
MN,23,130,76,113
MN,23,135,46,45
MN,23,140,279,332
MN,23,150,45,93
MN,23,155,335,524
MN,23,160,161,314
MN,23,165,366,750
MN,23,175,94,192
MN,23,180,76,188
MN,23,185,23,15
MN,23,190,61,154
MN,23,195,50,113
MN,24,5,853,1017
MN,24,15,515,594
MN,24,25,671,832
MN,24,35,661,835
MN,24,45,490,434
MN,24,50,467,604
MN,24,60,142,211
MN,24,61,2,8
MN,24,65,119,203
MN,24,70,51,117
MN,24,75,200,361
MN,24,80,75,161
MN,24,85,51,117
MN,24,90,101,209
MN,24,95,32,42
MN,24,100,76,102
MN,24,105,43,95
MN,24,110,43,89
MN,24,115,96,166
MN,24,120,90,191
MN,24,125,74,160
MN,24,130,135,192
MN,24,135,44,128
MN,24,140,46,104
MN,24,145,50,75
MN,24,150,63,154
MN,24,155,31,114
MN,24,160,49,110
MN,24,165,9,15
MN,24,170,88,143
MN,24,175,53,79
MN,24,180,111,205
MN,24,185,11,8
MN,24,190,57,156
MN,24,195,79,105
MN,24,200,81,96
MN,24,205,131,257
MN,24,210,75,155
MN,24,215,47,139
MN,24,220,29,25
MN,28,5,68,77
MN,28,10,134,122
MN,28,15,111,141
MN,28,20,211,337
MN,28,25,284,437
MN,28,30,120,217
MN,28,35,65,73
MN,28,40,42,94
MN,28,45,107,134
MN,28,50,123,169
MN,28,55,148,294
MN,28,60,81,163
MN,28,65,23,33
MN,28,70,618,698
MN,28,75,511,390
MN,28,76,260,251
MN,28,80,285,417
MN,28,85,65,129
MN,28,90,82,229
MN,28,95,137,184
MN,28,100,43,105
MN,28,105,303,304
MN,28,110,75,142
MN,28,115,65,131
MN,28,120,84,131
MN,28,125,32,88
MN,28,130,68,126
MN,32,5,20,67
MN,32,10,16,38
MN,32,15,24,86
MN,32,20,55,120
MN,32,25,39,95
MN,32,30,35,112
MN,32,35,27,68
MN,32,40,22,106
MN,32,45,102,174
MN,32,50,34,120
MN,32,55,27,99
MN,32,60,276,486
MN,32,70,265,522
MN,32,80,25,42
MN,32,85,12,80
MN,32,90,104,265
MN,32,95,126,297
MN,32,100,31,83
MN,32,105,47,116
