STATE,COUNTY,PRECINCT,CLINTON,TRUMP
MT,BEAVERHEAD,PRECINCT 01,175,203
MT,BEAVERHEAD,PRECINCT 12,157,270
MT,BEAVERHEAD,PRECINCT 14,125,225
MT,BEAVERHEAD,PRECINCT 17,18,82
MT,BEAVERHEAD,PRECINCT 19,14,92
MT,BEAVERHEAD,PRECINCT 02,127,551
MT,BEAVERHEAD,PRECINCT 20,2,74
MT,BEAVERHEAD,PRECINCT 21,25,117
MT,BEAVERHEAD,PRECINCT 23,29,91
MT,BEAVERHEAD,PRECINCT 03,158,507
MT,BEAVERHEAD,PRECINCT 04,34,131
MT,BEAVERHEAD,PRECINCT 05,9,99
MT,BEAVERHEAD,PRECINCT 06,129,324
MT,BEAVERHEAD,PRECINCT 07,40,231
MT,BEAVERHEAD,PRECINCT 08,14,56
MT,BEAVERHEAD,PRECINCT 09,87,300
MT,BIG HORN,PRECINCT #9,97,28
MT,BIG HORN,PRECINCT #4N,16,124
MT,BIG HORN,PRECINCT #2,46,56
MT,BIG HORN,PRECINCT #3,20,114
MT,BIG HORN,PRECINCT #4,13,60
MT,BIG HORN,PRECINCT #5,136,48
MT,BIG HORN,PRECINCT #6,14,50
MT,BIG HORN,PRECINCT #7,554,89
MT,BIG HORN,PRECINCT #8,46,98
MT,BIG HORN,PRECINCT #1,56,93
MT,BIG HORN,PRECINCT #10,12,49
MT,BIG HORN,PRECINCT #17,116,200
MT,BIG HORN,PRECINCT #18,81,194
MT,BIG HORN,PRECINCT #19,172,269
MT,BIG HORN,PRECINCT #26,224,73
MT,BIG HORN,PRECINCT #21,228,93
MT,BIG HORN,PRECINCT #25,64,57
MT,BIG HORN,PRECINCT #15,129,107
MT,BIG HORN,PRECINCT #14,70,51
MT,BLAINE,TURNER 1-33,32,217
MT,BLAINE,BELKNAP 3-32,300,35
MT,BLAINE,HARLEM 8-32,152,113
MT,BLAINE,SO CHINOOK 10-32,54,370
MT,BLAINE,NO CHINOOK 13-33,16,97
MT,BLAINE,HAYS 15-32,350,43
MT,BLAINE,HARLEM 9-32,126,12
MT,BLAINE,CHINOOK 11-33,172,381
MT,BROADWATER,PRECINCT 1,150,484
MT,BROADWATER,PRECINCT 11,100,513
MT,BROADWATER,PRECINCT 12,132,485
MT,BROADWATER,PRECINCT 13,86,532
MT,BROADWATER,PRECINCT 7,105,334
MT,CARBON,P 6,72,217
MT,CARBON,P 15,102,424
MT,CARBON,P 11,400,454
MT,CARBON,P 8,245,223
MT,CARBON,P 10,221,161
MT,CARBON,P 2,73,178
MT,CARBON,P 3,104,461
MT,CARBON,P 9,199,140
MT,CARBON,P 1,100,402
MT,CARBON,P 4,65,227
MT,CARBON,P 7,111,379
MT,CARBON,P 5,50,280
MT,CARBON,P 16,86,202
MT,CARTER,PRECINCT #3 HAMMOND,4,64
MT,CARTER,PRECINCT #1 ALZADA,6,101
MT,CARTER,PRECINCT #13 EKALAKA,32,170
MT,CARTER,PRECINCT #14 RURAL EKALAKA,28,343
MT,CASCADE,P25,1533,2027
MT,CASCADE,P24,1599,2024
MT,CASCADE,P23,1534,1798
MT,CASCADE,P20A,1385,2726
MT,CASCADE,P20B,456,799
MT,CASCADE,P26A,986,1249
MT,CASCADE,P26B,101,200
MT,CASCADE,P21A,1549,2419
MT,CASCADE,P21B,141,220
MT,CASCADE,P22A,1130,1492
MT,CASCADE,P22C,12,27
MT,CASCADE,P22B.,301,671
MT,CASCADE,P27,194,456
MT,CASCADE,P19A1,94,309
MT,CASCADE,P19A2,197,676
MT,CASCADE,P19A3,73,280
MT,CASCADE,P19A4,139,272
MT,CASCADE,P19C,151,417
MT,CASCADE,P19B1,12,55
MT,CASCADE,P19B2,271,692
MT,CASCADE,P30,101,351
MT,CASCADE,P19E,88,183
MT,CASCADE,P19D,128,289
MT,CHOUTEAU,GERALDINE 3,75,198
MT,CHOUTEAU,BIG SANDY 8,62,187
MT,CHOUTEAU,ROCKY BOY 5,115,4
MT,CHOUTEAU,BIG SANDY 9,59,263
MT,CHOUTEAU,FORT BENTON 1,135,285
MT,CHOUTEAU,FORT BENTON 2,158,269
MT,CHOUTEAU,CARTER 4,56,181
MT,CHOUTEAU,HIGHWOOD 6,52,202
MT,CHOUTEAU,LOMA 7,20,90
MT,CUSTER,KIRCHER,46,126
MT,CUSTER,WASHINGTON SCH,209,545
MT,CUSTER,CCDHS,236,627
MT,CUSTER,HIGHLAND PARK SCH,314,835
MT,CUSTER,JEFFERSON SCH,265,771
MT,CUSTER,SHEFFIELD MOON,31,242
MT,CUSTER,RIVERVIEW SCHOOL,1,26
MT,CUSTER,ISMAY CHURCH,1,32
MT,CUSTER,KNOWLTON SCH,3,51
MT,CUSTER,SPRING CREEK SCH,0,46
MT,CUSTER,SY SCHOOL,2,26
MT,CUSTER,S-H SCHOOL,8,83
MT,CUSTER,KINSEY,39,124
MT,CUSTER,NAT'L GUARD,21,123
MT,DANIELS,PRECINCT #2,25,102
MT,DANIELS,PRECINCT #3,36,243
MT,DANIELS,PRECINCT #5,58,212
MT,DANIELS,PRECINCT #6,49,173
MT,DAWSON,PRECINCT 07,174,872
MT,DAWSON,PRECINCT 06,106,736
MT,DAWSON,PRECINCT 05,39,228
MT,DAWSON,PRECINCT 04,106,302
MT,DAWSON,PRECINCT 03,185,565
MT,DAWSON,PRECINCT 02,94,371
MT,DAWSON,PRECINCT 01,83,246
MT,DEER LODGE,PRECINCT 5-77N,266,268
MT,DEER LODGE,PRECINCT 1-78,44,41
MT,DEER LODGE,PRECINCT 1-77E,260,157
MT,DEER LODGE,PRECINCT 1-77W,302,195
MT,DEER LODGE,PRECINCT 2-78,35,25
MT,DEER LODGE,PRECINCT 2-77E,159,104
MT,DEER LODGE,PRECINCT 2-77W,185,123
MT,DEER LODGE,PRECINCT 3-78,66,47
MT,DEER LODGE,PRECINCT 3-77E,144,124
MT,DEER LODGE,PRECINCT 3-77W,145,114
MT,DEER LODGE,PRECINCT 4-77,27,59
MT,DEER LODGE,PRECINCT 4-78E,104,143
MT,DEER LODGE,PRECINCT 4-78W,98,156
MT,DEER LODGE,PRECINCT 5-77S,223,207
MT,FALLON,PRECINCT 1,47,341
MT,FALLON,PRECINCT 2,52,336
MT,FALLON,PRECINCT 3,40,391
MT,FALLON,PRECINCT 4,15,211
MT,FERGUS,PREC 12,15,65
