STATE,COUNTY,PRECINCT,CLINTON,TRUMP
NC,AVERY,ABSENTEE,0,0
NC,AVERY,12,7,127
NC,AVERY,16,98,361
NC,AVERY,14,34,241
NC,AVERY,07,8,112
NC,AVERY,04,7,32
NC,AVERY,PROVISIONAL,0,0
NC,AVERY,01,72,303
NC,AVERY,13,53,152
NC,AVERY,18,15,120
NC,AVERY,10,55,280
NC,AVERY,06,38,283
NC,AVERY,09,11,156
NC,AVERY,03,28,209
NC,AVERY,08,23,145
NC,AVERY,05,13,116
NC,AVERY,02,238,550
NC,AVERY,11,53,127
NC,CABARRUS,ABSENTEE,0,0
NC,CABARRUS,PROVISIONAL,0,0
NC,CABARRUS,TRANSFER,0,0
NC,BUNCOMBE,ABSENTEE,0,0
NC,BUNCOMBE,PROVISIONAL,0,0
NC,BUNCOMBE,TRANSFER,1,0
NC,BERTIE,ABSENTEE,0,0
NC,BERTIE,PROVISIONAL,0,0
NC,CALDWELL,ABSENTEE,0,0
NC,CALDWELL,PROVISIONAL,0,0
NC,ALAMANCE,01,383,1767
NC,ALAMANCE,04,558,1961
NC,ALAMANCE,07,435,1592
NC,ALAMANCE,13,1024,1013
NC,ALAMANCE,02,387,1933
NC,ALAMANCE,11,1118,998
NC,ALAMANCE,05,302,1371
NC,ASHE,07,38,119
NC,ASHE,10,21,71
NC,ASHE,ABSENTEE,0,0
NC,ASHE,12,72,261
NC,ASHE,PROVISIONAL,0,0
NC,ASHE,04,44,127
NC,ASHE,13,88,298
NC,ASHE,09,208,591
NC,ASHE,03,24,186
NC,ASHE,06,40,163
NC,ASHE,18,12,64
NC,ASHE,11,130,485
NC,ASHE,16,82,356
NC,ASHE,14,100,333
NC,ASHE,02,90,349
NC,ASHE,08,27,47
NC,ASHE,20,176,588
NC,BRUNSWICK,09,285,487
NC,BRUNSWICK,06,336,631
NC,BRUNSWICK,03,517,394
NC,BRUNSWICK,PROVISIONAL,0,0
NC,BRUNSWICK,12,558,1444
NC,BRUNSWICK,07,836,1321
NC,BRUNSWICK,01,469,634
NC,BRUNSWICK,CURBSIDE,420,585
NC,BRUNSWICK,20,533,1636
NC,BRUNSWICK,08,1238,2055
NC,BRUNSWICK,11,670,741
NC,BRUNSWICK,22,541,1180
NC,BRUNSWICK,05,702,1617
NC,BRUNSWICK,02,1552,1922
NC,BRUNSWICK,16,1004,2184
NC,BRUNSWICK,14,759,2119
NC,BRUNSWICK,21,773,2146
NC,BRUNSWICK,18,278,879
NC,BRUNSWICK,13,622,1390
NC,ANSON,PROVISIONAL,0,0
NC,ANSON,ABSENTEE,0,0
NC,BEAUFORT,PROVISIONAL,0,0
NC,BEAUFORT,ABSENTEE,0,0
NC,ALLEGHANY,04,166,730
NC,ALLEGHANY,01,165,618
NC,ALLEGHANY,ABSENTEE,0,0
NC,ALLEGHANY,CURBSIDE,0,0
NC,ALLEGHANY,PROVISIONAL,0,0
NC,BURKE,ABSENTEE,0,0
NC,CARTERET,TRANSFER,0,0
NC,CARTERET,PROVISIONAL,0,0
NC,CARTERET,ABSENTEE,0,0
NC,BLADEN,PROVISIONAL,0,0
NC,BLADEN,TRANSFER,0,0
NC,CAMDEN,TRANSFER,0,0
NC,CAMDEN,PROVISIONAL,0,0
NC,CAMDEN,ABSENTEE,0,0
NC,DUPLIN,ABSENTEE,0,0
NC,DUPLIN,PROVISIONAL,0,0
NC,CASWELL,CURBSIDE,160,79
NC,CASWELL,PROVISIONAL,0,0
NC,CASWELL,ABSENTEE,0,0
NC,CHATHAM,ABSENTEE,0,0
NC,CHATHAM,30,102,253
NC,CHATHAM,45,96,224
NC,CHATHAM,24,26,310
NC,CHATHAM,PROVISIONAL,0,0
NC,CHATHAM,78,267,290
NC,CHATHAM,18,99,337
NC,CHATHAM,21,171,261
NC,CHATHAM,20,186,453
NC,CHATHAM,42,176,317
NC,DAVIE,11,181,987
NC,DAVIE,14,342,1122
NC,DAVIE,08,565,751
NC,DAVIE,02,159,577
NC,DAVIE,05,354,1321
NC,DAVIE,09,444,979
NC,DAVIE,06,251,839
NC,DAVIE,CURBSIDE,119,204
NC,DAVIE,10,421,1254
NC,DAVIE,13,605,1427
NC,DAVIE,ABSENTEE,0,0
NC,DAVIE,01,156,583
NC,DAVIE,07,252,892
NC,DAVIE,04,298,787
NC,DAVIE,03,272,1478
NC,DAVIE,PROVISIONAL,0,0
NC,DAVIE,12,602,1861
NC,CRAVEN,16,709,1831
NC,CRAVEN,05,572,1215
NC,CRAVEN,08,280,396
