STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
NC,CABARRUS,06-00,120,938
NC,CABARRUS,12-09,232,512
NC,CABARRUS,01-09,71,232
NC,CABARRUS,02-08,673,895
NC,CABARRUS,04-04,197,193
NC,CABARRUS,04-06,285,280
NC,CABARRUS,04-03,374,456
NC,CABARRUS,09-00,135,944
NC,CABARRUS,02-01,245,469
NC,CABARRUS,01-06,323,455
NC,CABARRUS,11-01,661,800
NC,CABARRUS,11-02,243,760
NC,CABARRUS,12-08,191,219
NC,CABARRUS,12-07,427,36
NC,CABARRUS,OS-CBB,2838,4462
NC,CABARRUS,04-07,112,351
NC,CABARRUS,04-08,114,313
NC,CABARRUS,01-08,442,647
NC,CABARRUS,OS-CFS,4365,6075
NC,CABARRUS,12-04,285,274
NC,CABARRUS,12-03,225,366
NC,CABARRUS,04-05,167,214
NC,CABARRUS,02-03,501,989
NC,CABARRUS,01-02,196,721
NC,CABARRUS,08-00,251,1180
NC,CABARRUS,12-12,229,472
NC,CABARRUS,02-07,257,474
NC,CABARRUS,12-10,127,303
NC,CABARRUS,02-02,470,758
NC,CABARRUS,02-05,377,733
NC,CABARRUS,03-00,336,783
NC,CABARRUS,02-09,619,651
NC,CABARRUS,02-06,444,471
NC,CABARRUS,04-10,316,517
NC,CABARRUS,04-09,249,479
NC,CABARRUS,12-06,238,325
NC,CABARRUS,12-02,337,189
NC,CABARRUS,12-01,117,97
NC,CABARRUS,10-00,407,1709
NC,CABARRUS,05-00,161,667
NC,CABARRUS,07-00,65,500
NC,CABARRUS,12-11,182,295
NC,CABARRUS,01-10,283,513
NC,CABARRUS,01-07,216,533
NC,CABARRUS,01-04,539,677
NC,CABARRUS,04-01,381,379
NC,CABARRUS,OS-HBL,3924,4906
NC,CABARRUS,OS-LOB,9043,10739
NC,CABARRUS,12-05,221,493
NC,CABARRUS,04-02,362,290
NC,BERTIE,OS-LOB,2492,1396
NC,CUMBERLAND,G5A-2,835,546
NC,CUMBERLAND,G11B,636,713
NC,CUMBERLAND,CC14,675,984
NC,CUMBERLAND,CC27,1525,438
NC,CUMBERLAND,CL57-1,1289,488
NC,CUMBERLAND,G11A-1,1032,301
NC,CUMBERLAND,G2B,1618,918
NC,CUMBERLAND,G2D,1270,1106
NC,CUMBERLAND,CC06,322,372
NC,CUMBERLAND,G2E-2,1347,231
NC,CUMBERLAND,G4B,471,641
NC,CUMBERLAND,CC33,867,499
NC,CUMBERLAND,CC21,1390,545
NC,CUMBERLAND,CC12,328,814
NC,CUMBERLAND,G7B,191,610
NC,CUMBERLAND,G2A,1815,840
NC,CUMBERLAND,CL57-2,1406,357
NC,CUMBERLAND,G2C-2,913,849
NC,CUMBERLAND,G4A,471,400
NC,CUMBERLAND,G11A-2,973,315
NC,CUMBERLAND,G8B,689,588
NC,CUMBERLAND,MR02,1051,539
NC,CUMBERLAND,LI65,682,1361
NC,CUMBERLAND,CC31,643,469
NC,CUMBERLAND,CC34,557,783
NC,CUMBERLAND,CC03,417,231
NC,CUMBERLAND,G5B-2,1150,280
NC,CUMBERLAND,G10A,1325,1561
NC,CUMBERLAND,G5A-1,1152,392
NC,CUMBERLAND,G8A,1235,774
NC,CUMBERLAND,AH49,1371,533
NC,CUMBERLAND,CU02,632,531
NC,CUMBERLAND,G4C,718,311
NC,CUMBERLAND,G8C,814,504
NC,CUMBERLAND,G2E-1,961,205
NC,CUMBERLAND,CC19,445,18
NC,CUMBERLAND,MB62,1267,286
NC,CUMBERLAND,CC29,831,385
NC,CUMBERLAND,CC17,1333,179
NC,CUMBERLAND,CC10,420,290
NC,CUMBERLAND,CC24,479,310
NC,CUMBERLAND,G7A,218,603
NC,CUMBERLAND,LR63,1861,504
NC,CUMBERLAND,CC13,1253,45
NC,CUMBERLAND,CC25,632,442
NC,CUMBERLAND,CC26,1377,489
NC,CUMBERLAND,G8D,745,938
NC,CUMBERLAND,G10C,759,1328
NC,CUMBERLAND,CC15,677,1043
NC,CUMBERLAND,CC18,350,675
NC,CUMBERLAND,G5C,844,445
NC,CUMBERLAND,G5B-1,1558,196
NC,CUMBERLAND,G10B,764,799
NC,CUMBERLAND,CC32,596,120
NC,CUMBERLAND,CC07,269,417
NC,CUMBERLAND,CC04,358,323
NC,CUMBERLAND,G2C-1,855,565
NC,HOKE,61,636,341
NC,HOKE,65,488,12
NC,HOKE,06B,1109,1174
NC,HOKE,63,1292,469
NC,LENOIR,T1,156,745
NC,LENOIR,T2,89,541
NC,MOORE,OS-WEG PAPER,1126,2005
NC,MOORE,SLS,185,681
NC,MOORE,TLT,151,52
NC,MOORE,PHB2,138,454
NC,MOORE,LTR,189,586
NC,MOORE,PHC,348,767
NC,MOORE,BEN,149,397
NC,MOORE,OS-AG PAPER,5437,8888
NC,MOORE,EWD,122,314
NC,MOORE,DHR,86,462
NC,MOORE,PHA2,121,367
NC,MOORE,PHB1,166,468
NC,MOORE,OS-PFD PAPER,2373,4005
NC,MOORE,PDN,327,635
NC,MOORE,PHA1,201,564
NC,MOORE,OS-VRS PAPER,514,891
NC,MOORE,WAB,437,721
NC,MOORE,NSP,319,404
NC,MOORE,WKWD,145,341
NC,MOORE,EUR-WP,258,922
NC,MOORE,CAM,146,416
NC,MOORE,WND,161,308
NC,MOORE,WEM,98,649
NC,MOORE,SSP,610,322
NC,MOORE,CAR,212,575
NC,MOORE,RBN,77,252
NC,MOORE,PBF,333,552
NC,MOORE,VSS,150,381
NC,MOORE,EKWD,94,234
NC,MOORE,EAB,353,518
NC,MOORE,OS-DC PAPER,225,638
NC,MONTGOMERY,WAD,193,146
NC,MONTGOMERY,UWH,136,743
NC,MONTGOMERY,T2,311,618
NC,MONTGOMERY,BIS,481,469
NC,MONTGOMERY,T1,517,822
NC,MONTGOMERY,ROC,317,162
NC,MONTGOMERY,PEE,180,524
NC,MONTGOMERY,ELD,185,721
NC,MONTGOMERY,OPH,26,208
NC,MONTGOMERY,STA,189,826
NC,MONTGOMERY,CHE,123,348
NC,MONTGOMERY,LIT,55,315
NC,MONTGOMERY,MTG,834,409
NC,ROWAN,19A,509,2042
NC,ROWAN,14A,656,2155
NC,WAKE,12-05,627,1043
NC,WAKE,01-02,446,262
NC,WAKE,04-09,393,434
NC,WAKE,04-02,453,403
NC,WAKE,04-01,486,360
NC,WAKE,01-04,275,244
NC,WAKE,12-04,371,1036
NC,WAKE,01-07,496,180
NC,WAKE,04-08,539,313
NC,WAKE,04-07,414,604
NC,WAKE,04-05,542,456
NC,WAKE,02-05,204,264
NC,WAKE,02-02,619,1045
NC,WAKE,01-10,420,296
NC,WAKE,04-10,509,463
NC,WAKE,02-06,272,582
NC,WAKE,12-07,272,518
NC,WAKE,12-08,553,558
NC,WAKE,12-06,331,563
NC,WAKE,12-01,485,1038
NC,WAKE,12-02,601,763
NC,WAKE,03-00,501,715
NC,WAKE,01-06,583,312
NC,WAKE,01-09,375,143
NC,WAKE,02-01,448,590
NC,WAKE,11-02,663,628
NC,WAKE,11-01,683,440
NC,WAKE,04-04,319,258
NC,WAKE,04-03,398,296
NC,WAKE,12-09,334,643
NC,WAKE,04-06,494,426
NC,WAKE,02-03,281,591
NC,STANLY,0023,241,1723
NC,STANLY,0025,296,1801
NC,STANLY,0016,263,617
NC,STANLY,0028,363,576
NC,STANLY,0017,247,1110
NC,STANLY,0002,214,532
NC,STANLY,0010,259,601
NC,STANLY,0008,999,122
NC,STANLY,0027,423,1247
NC,STANLY,0026,227,892
NC,STANLY,0007,531,903
