STATE,COUNTY,PRECINCT,CLINTON,TRUMP
NM,BERNALILLO,93,464.0,180.0
NM,CATRON,1,76.0,262.0
NM,CATRON,2,74.0,339.0
NM,CATRON,3,90.0,185.0
NM,CATRON,4,43.0,163.0
NM,CATRON,5,124.0,436.0
NM,CATRON,6,20.0,79.0
NM,CHAVES,1,62.0,314.0
NM,CHAVES,2,91.0,276.0
NM,CHAVES,3,104.0,306.0
NM,CHAVES,4,110.0,257.0
NM,CHAVES,5,194.0,777.0
NM,CHAVES,6,106.0,296.0
NM,CHAVES,7,106.0,411.0
NM,CHAVES,9,124.0,530.0
NM,CHAVES,10,71.0,505.0
NM,CHAVES,11,125.0,565.0
NM,CHAVES,12,32.0,284.0
NM,CHAVES,13,137.0,258.0
NM,CHAVES,14,134.0,244.0
NM,CHAVES,15,74.0,152.0
NM,CHAVES,16,77.0,180.0
NM,CHAVES,21,181.0,583.0
NM,CHAVES,22,144.0,314.0
NM,CHAVES,23,92.0,180.0
NM,CHAVES,24,68.0,101.0
NM,CHAVES,25,80.0,135.0
NM,CHAVES,31,126.0,213.0
NM,CHAVES,32,70.0,97.0
NM,CHAVES,33,106.0,157.0
NM,CHAVES,34,84.0,79.0
NM,CHAVES,35,93.0,170.0
NM,CHAVES,36,100.0,390.0
NM,CHAVES,41,149.0,526.0
NM,CHAVES,42,86.0,95.0
NM,CHAVES,43,117.0,95.0
NM,CHAVES,44,3.0,17.0
NM,CHAVES,46,9.0,79.0
NM,CHAVES,51,68.0,57.0
NM,CHAVES,52,127.0,188.0
NM,CHAVES,61,95.0,42.0
NM,CHAVES,62,140.0,75.0
NM,CHAVES,63,285.0,172.0
NM,CHAVES,71,58.0,243.0
NM,CHAVES,72,194.0,266.0
NM,CHAVES,73,55.0,165.0
NM,CHAVES,81,60.0,96.0
NM,CHAVES,82,100.0,174.0
NM,CHAVES,83,53.0,154.0
NM,CHAVES,84,123.0,254.0
NM,CHAVES,85,84.0,183.0
NM,CHAVES,90,89.0,123.0
NM,CHAVES,91,170.0,303.0
NM,CHAVES,92,65.0,155.0
NM,CHAVES,93,159.0,323.0
NM,CHAVES,94,181.0,168.0
NM,CHAVES,101,189.0,537.0
NM,CHAVES,102,142.0,376.0
NM,CHAVES,103,41.0,137.0
NM,CHAVES,104,1.0,74.0
NM,CIBOLA,1,10.0,98.0
NM,CIBOLA,2,96.0,65.0
NM,CIBOLA,3,24.0,38.0
NM,CIBOLA,4,52.0,208.0
NM,CIBOLA,5,639.0,186.0
NM,CIBOLA,6,30.0,53.0
NM,CIBOLA,7,137.0,229.0
NM,CIBOLA,8,186.0,153.0
NM,CIBOLA,9,272.0,335.0
NM,CIBOLA,10,149.0,166.0
NM,CIBOLA,11,231.0,239.0
NM,CIBOLA,12,105.0,125.0
NM,CIBOLA,13,108.0,113.0
NM,CIBOLA,14,100.0,273.0
NM,CIBOLA,15,252.0,396.0
NM,CIBOLA,16,119.0,156.0
NM,CIBOLA,17,430.0,54.0
NM,CIBOLA,18,96.0,44.0
NM,CIBOLA,19,46.0,103.0
NM,CIBOLA,20,193.0,55.0
NM,CIBOLA,21,108.0,31.0
NM,CIBOLA,22,121.0,21.0
NM,CIBOLA,23,39.0,5.0
NM,CIBOLA,24,122.0,24.0
NM,CIBOLA,25,76.0,25.0
NM,DE BACA,1,7.0,68.0
NM,DE BACA,2,59.0,335.0
NM,DE BACA,3,65.0,178.0
NM,DE BACA,4,62.0,39.0
NM,DONA ANA,1,128.0,130.0
NM,DONA ANA,2,161.0,104.0
NM,DONA ANA,3,133.0,103.0
NM,DONA ANA,4,364.0,129.0
NM,DONA ANA,5,315.0,235.0
NM,DONA ANA,6,82.0,141.0
NM,DONA ANA,7,255.0,251.0
NM,DONA ANA,8,523.0,104.0
NM,DONA ANA,9,156.0,47.0
NM,DONA ANA,10,415.0,104.0
NM,DONA ANA,11,557.0,86.0
NM,DONA ANA,12,789.0,180.0
NM,DONA ANA,13,1211.0,100.0
NM,DONA ANA,14,669.0,713.0
NM,DONA ANA,15,901.0,483.0
NM,DONA ANA,16,315.0,147.0
NM,DONA ANA,17,355.0,203.0
NM,DONA ANA,18,410.0,169.0
NM,DONA ANA,19,378.0,458.0
NM,DONA ANA,20,332.0,251.0
NM,DONA ANA,21,300.0,390.0
NM,DONA ANA,22,491.0,393.0
NM,DONA ANA,23,264.0,123.0
NM,DONA ANA,24,280.0,170.0
NM,DONA ANA,25,200.0,98.0
NM,DONA ANA,26,399.0,360.0
NM,DONA ANA,27,247.0,93.0
NM,DONA ANA,28,358.0,97.0
NM,DONA ANA,29,134.0,47.0
NM,DONA ANA,30,199.0,94.0
NM,DONA ANA,31,250.0,131.0
NM,DONA ANA,32,77.0,14.0
NM,DONA ANA,33,247.0,116.0
NM,DONA ANA,34,420.0,187.0
NM,DONA ANA,35,192.0,52.0
NM,DONA ANA,36,127.0,49.0
NM,DONA ANA,37,247.0,79.0
NM,DONA ANA,38,338.0,149.0
NM,DONA ANA,39,225.0,123.0
NM,DONA ANA,40,279.0,195.0
NM,DONA ANA,41,157.0,53.0
NM,DONA ANA,42,133.0,40.0
NM,DONA ANA,43,184.0,61.0
NM,DONA ANA,44,227.0,83.0
NM,DONA ANA,45,208.0,83.0
NM,DONA ANA,46,173.0,84.0
NM,DONA ANA,47,247.0,98.0
NM,DONA ANA,48,307.0,126.0
NM,DONA ANA,49,198.0,113.0
NM,DONA ANA,50,128.0,49.0
NM,DONA ANA,51,220.0,112.0
NM,DONA ANA,52,373.0,168.0
NM,DONA ANA,53,253.0,111.0
NM,DONA ANA,54,131.0,50.0
NM,DONA ANA,55,308.0,200.0
NM,DONA ANA,56,459.0,296.0
NM,DONA ANA,57,258.0,166.0
NM,DONA ANA,58,154.0,79.0
NM,DONA ANA,59,576.0,599.0
NM,DONA ANA,60,67.0,59.0
NM,DONA ANA,61,433.0,271.0
NM,DONA ANA,62,603.0,619.0
NM,DONA ANA,63,279.0,319.0
NM,DONA ANA,64,120.0,124.0
NM,DONA ANA,65,213.0,85.0
NM,DONA ANA,66,541.0,423.0
NM,DONA ANA,67,692.0,486.0
NM,DONA ANA,68,187.0,105.0
NM,DONA ANA,69,238.0,151.0
NM,DONA ANA,70,169.0,101.0
NM,DONA ANA,71,268.0,186.0
NM,DONA ANA,72,123.0,127.0
NM,DONA ANA,73,453.0,323.0
NM,DONA ANA,74,168.0,175.0
NM,DONA ANA,75,379.0,310.0
NM,DONA ANA,76,181.0,115.0
NM,DONA ANA,77,206.0,129.0
NM,DONA ANA,78,516.0,277.0
NM,DONA ANA,79,336.0,136.0
NM,DONA ANA,80,421.0,47.0
NM,DONA ANA,81,62.0,92.0
NM,DONA ANA,82,282.0,111.0
NM,DONA ANA,83,611.0,482.0
NM,DONA ANA,84,224.0,238.0
NM,DONA ANA,85,263.0,228.0
NM,DONA ANA,86,477.0,473.0
NM,DONA ANA,87,293.0,505.0
NM,DONA ANA,88,115.0,72.0
NM,DONA ANA,89,261.0,228.0
NM,DONA ANA,90,251.0,179.0
NM,DONA ANA,91,228.0,140.0
NM,DONA ANA,92,90.0,24.0
NM,DONA ANA,93,104.0,26.0
NM,DONA ANA,94,195.0,68.0
NM,DONA ANA,95,47.0,51.0
NM,DONA ANA,96,275.0,248.0
NM,DONA ANA,97,701.0,82.0
NM,DONA ANA,98,184.0,221.0
NM,DONA ANA,99,337.0,385.0
NM,DONA ANA,100,186.0,243.0
NM,DONA ANA,101,394.0,256.0
NM,DONA ANA,102,764.0,809.0
NM,DONA ANA,103,278.0,195.0
NM,DONA ANA,104,202.0,136.0
NM,DONA ANA,105,667.0,545.0
NM,DONA ANA,106,657.0,531.0
NM,DONA ANA,107,264.0,387.0
NM,DONA ANA,108,433.0,316.0
NM,DONA ANA,109,670.0,570.0
NM,DONA ANA,110,447.0,456.0
NM,DONA ANA,111,21.0,76.0
NM,DONA ANA,112,726.0,784.0
NM,DONA ANA,113,274.0,251.0
NM,DONA ANA,114,369.0,375.0
NM,DONA ANA,115,148.0,273.0
NM,DONA ANA,116,340.0,285.0
NM,DONA ANA,117,461.0,297.0
NM,DONA ANA,118,340.0,297.0
NM,DONA ANA,119,254.0,169.0
NM,DONA ANA,120,42.0,33.0
NM,EDDY,1,91.0,443.0
NM,EDDY,2,266.0,337.0
NM,EDDY,3,76.0,240.0
NM,EDDY,4,135.0,774.0
NM,EDDY,5,95.0,772.0
NM,EDDY,6,104.0,575.0
NM,EDDY,7,182.0,870.0
NM,EDDY,8,44.0,426.0
NM,EDDY,9,149.0,274.0
NM,EDDY,10,234.0,126.0
NM,EDDY,11,140.0,84.0
NM,EDDY,12,53.0,43.0
NM,EDDY,13,216.0,183.0
NM,EDDY,14,117.0,90.0
NM,EDDY,15,151.0,158.0
NM,EDDY,16,160.0,294.0
NM,EDDY,17,190.0,340.0
NM,EDDY,18,132.0,327.0
NM,EDDY,19,120.0,293.0
NM,EDDY,20,98.0,255.0
NM,EDDY,21,74.0,152.0
NM,EDDY,23,146.0,217.0
NM,EDDY,25,69.0,169.0
NM,EDDY,26,123.0,263.0
NM,EDDY,27,214.0,499.0
NM,EDDY,28,147.0,527.0
NM,EDDY,29,1.0,27.0
NM,EDDY,30,8.0,47.0
NM,EDDY,32,325.0,375.0
NM,EDDY,33,217.0,530.0
NM,EDDY,34,218.0,642.0
NM,EDDY,35,111.0,344.0
NM,EDDY,36,93.0,443.0
NM,EDDY,37,106.0,448.0
NM,EDDY,38,16.0,82.0
NM,EDDY,39,45.0,222.0
NM,EDDY,40,5.0,106.0
NM,EDDY,41,48.0,325.0
NM,EDDY,42,2.0,31.0
NM,EDDY,44,206.0,494.0
NM,EDDY,45,106.0,300.0
NM,GRANT,1,63.0,273.0
NM,GRANT,2,133.0,204.0
NM,GRANT,3,14.0,8.0
NM,GRANT,4,30.0,46.0
NM,GRANT,5,223.0,331.0
NM,GRANT,6,10.0,42.0
NM,GRANT,7,133.0,129.0
NM,GRANT,8,324.0,416.0
NM,GRANT,9,94.0,65.0
NM,GRANT,10,66.0,86.0
NM,GRANT,11,269.0,490.0
NM,GRANT,12,523.0,503.0
NM,GRANT,13,445.0,462.0
NM,GRANT,14,298.0,183.0
NM,GRANT,15,361.0,200.0
NM,GRANT,16,276.0,200.0
NM,GRANT,17,92.0,134.0
NM,GRANT,18,211.0,86.0
NM,GRANT,19,206.0,62.0
NM,GRANT,20,319.0,116.0
NM,GRANT,21,88.0,21.0
NM,GRANT,22,328.0,143.0
NM,GRANT,23,56.0,73.0
NM,GRANT,24,148.0,62.0
NM,GRANT,25,230.0,54.0
NM,GRANT,26,187.0,63.0
NM,GRANT,27,181.0,42.0
NM,GRANT,28,256.0,80.0
NM,GRANT,29,147.0,114.0
NM,GRANT,30,113.0,241.0
NM,GRANT,31,5.0,36.0
NM,GRANT,32,106.0,23.0
NM,GRANT,33,116.0,179.0
NM,GRANT,34,218.0,72.0
NM,GRANT,35,7.0,49.0
NM,GUADALUPE,1,246.0,171.0
NM,GUADALUPE,2,248.0,147.0
NM,GUADALUPE,3,176.0,150.0
NM,GUADALUPE,4,88.0,50.0
NM,GUADALUPE,5,212.0,77.0
NM,HIDALGO,1,197.0,189.0
NM,HIDALGO,2,191.0,70.0
NM,HIDALGO,3,268.0,157.0
NM,HIDALGO,4,26.0,156.0
NM,HIDALGO,5,44.0,75.0
NM,HIDALGO,6,58.0,263.0
NM,LEA,2,2.0,26.0
NM,LEA,3,58.0,411.0
NM,LEA,10,106.0,470.0
NM,LEA,11,116.0,131.0
NM,LEA,12,68.0,149.0
NM,LEA,13,144.0,454.0
NM,LEA,14,108.0,279.0
NM,LEA,15,109.0,691.0
NM,LEA,16,60.0,111.0
NM,LEA,17,81.0,159.0
NM,LEA,18,29.0,209.0
NM,LEA,20,121.0,890.0
NM,LEA,21,21.0,185.0
NM,LEA,22,119.0,764.0
NM,LEA,23,135.0,541.0
NM,LEA,24,59.0,337.0
NM,LEA,25,58.0,288.0
NM,LEA,26,94.0,556.0
NM,LEA,27,69.0,433.0
NM,LEA,28,56.0,244.0
NM,LEA,29,88.0,354.0
NM,LEA,30,70.0,245.0
NM,LEA,31,154.0,239.0
NM,LEA,32,87.0,321.0
NM,LEA,33,102.0,281.0
NM,LEA,34,57.0,84.0
NM,LEA,35,74.0,90.0
NM,LEA,36,99.0,174.0
NM,LEA,41,171.0,499.0
NM,LEA,42,84.0,290.0
NM,LEA,43,89.0,270.0
NM,LEA,44,74.0,229.0
NM,LEA,51,87.0,84.0
NM,LEA,52,266.0,191.0
NM,LEA,53,228.0,149.0
NM,LEA,54,91.0,79.0
NM,LEA,55,81.0,53.0
NM,LEA,61,124.0,132.0
NM,LEA,62,36.0,176.0
NM,LEA,71,73.0,334.0
NM,LEA,72,77.0,437.0
NM,LEA,73,72.0,296.0
NM,LEA,74,33.0,160.0
NM,LINCOLN,1,45.0,161.0
NM,LINCOLN,2,81.0,114.0
NM,LINCOLN,3,143.0,537.0
NM,LINCOLN,4,77.0,225.0
NM,LINCOLN,5,193.0,631.0
NM,LINCOLN,6,146.0,479.0
NM,LINCOLN,7,238.0,530.0
NM,LINCOLN,8,156.0,457.0
NM,LINCOLN,9,255.0,447.0
NM,LINCOLN,10,63.0,117.0
NM,LINCOLN,11,187.0,345.0
NM,LINCOLN,12,70.0,202.0
NM,LINCOLN,13,99.0,175.0
NM,LINCOLN,14,112.0,325.0
NM,LINCOLN,15,49.0,146.0
NM,LINCOLN,16,38.0,75.0
NM,LINCOLN,17,74.0,212.0
NM,LINCOLN,18,48.0,67.0
NM,LINCOLN,19,28.0,124.0
NM,LINCOLN,20,53.0,146.0
NM,LINCOLN,21,126.0,312.0
NM,LINCOLN,22,50.0,69.0
NM,LUNA,1,116.0,85.0
NM,LUNA,2,175.0,304.0
NM,LUNA,3,229.0,439.0
NM,LUNA,4,342.0,101.0
NM,LUNA,5,336.0,347.0
NM,LUNA,6,251.0,216.0
NM,LUNA,8,328.0,140.0
NM,LUNA,10,326.0,415.0
NM,LUNA,11,287.0,175.0
NM,LUNA,12,255.0,152.0
NM,LUNA,13,269.0,646.0
NM,LUNA,14,281.0,458.0
NM,MCKINLEY,26,65.0,181.0
NM,MCKINLEY,27,567.0,22.0
NM,MCKINLEY,29,325.0,15.0
NM,MCKINLEY,30,486.0,31.0
NM,OTERO,1,409.0,102.0
NM,OTERO,2,3.0,23.0
NM,OTERO,3,0.0,23.0
NM,OTERO,4,5.0,62.0
NM,OTERO,5,32.0,137.0
NM,OTERO,6,3.0,111.0
NM,OTERO,7,41.0,158.0
NM,OTERO,8,277.0,761.0
NM,OTERO,9,128.0,355.0
NM,OTERO,10,299.0,899.0
NM,OTERO,11,348.0,59.0
NM,OTERO,12,171.0,413.0
NM,OTERO,13,203.0,252.0
NM,OTERO,14,201.0,556.0
NM,OTERO,15,140.0,496.0
NM,OTERO,16,60.0,110.0
NM,OTERO,17,214.0,407.0
NM,OTERO,18,416.0,1197.0
NM,OTERO,19,136.0,56.0
NM,OTERO,20,97.0,75.0
NM,OTERO,21,236.0,513.0
NM,OTERO,22,90.0,157.0
NM,OTERO,23,103.0,170.0
NM,OTERO,24,197.0,449.0
NM,OTERO,25,136.0,340.0
NM,OTERO,26,118.0,180.0
NM,OTERO,27,111.0,286.0
NM,OTERO,28,190.0,474.0
NM,OTERO,29,231.0,549.0
NM,OTERO,30,105.0,152.0
NM,OTERO,31,93.0,117.0
NM,OTERO,32,137.0,136.0
NM,OTERO,33,128.0,176.0
NM,OTERO,34,88.0,170.0
NM,OTERO,35,125.0,517.0
NM,OTERO,36,164.0,309.0
NM,OTERO,37,80.0,181.0
NM,OTERO,38,28.0,69.0
NM,OTERO,39,137.0,317.0
NM,OTERO,40,104.0,268.0
NM,OTERO,41,340.0,105.0
NM,ROOSEVELT,2,180.0,560.0
NM,ROOSEVELT,3,11.0,37.0
NM,ROOSEVELT,4,31.0,209.0
NM,ROOSEVELT,5,19.0,174.0
NM,ROOSEVELT,6,25.0,242.0
NM,ROOSEVELT,10,149.0,386.0
NM,ROOSEVELT,11,40.0,183.0
NM,ROOSEVELT,15,44.0,133.0
NM,SIERRA,1,220.0,327.0
NM,SIERRA,2,291.0,939.0
NM,SIERRA,3,39.0,175.0
NM,SIERRA,4,56.0,150.0
NM,SIERRA,5,217.0,462.0
NM,SIERRA,6,121.0,51.0
NM,SIERRA,7,187.0,241.0
NM,SIERRA,8,202.0,217.0
NM,SIERRA,9,279.0,448.0
NM,SOCORRO,1,241.0,119.0
