STATE,COUNTY,PRECINCT,CLINTON,TRUMP
VA,ACCOMACK COUNTY,101 - CHINCOTEAGUE (02),444,1188
VA,ACCOMACK COUNTY,201 - ATLANTIC (02),175,553
VA,ACCOMACK COUNTY,202 - GREENBACKVILLE (02),302,697
VA,ACCOMACK COUNTY,301 - NEW CHURCH (02),713,592
VA,ACCOMACK COUNTY,401 - BLOXOM (02),141,342
VA,ACCOMACK COUNTY,402 - PARKSLEY (02),218,489
VA,ACCOMACK COUNTY,403 - SAXIS (02),42,153
VA,ACCOMACK COUNTY,501 - MAPPSVILLE (02),397,243
VA,ACCOMACK COUNTY,502 - RUE (02),385,119
VA,ACCOMACK COUNTY,601 - ACCOMAC (02),486,637
VA,ACCOMACK COUNTY,602 - TANGIER (02),27,221
VA,ACCOMACK COUNTY,701 - NANDUA (02),805,976
VA,ACCOMACK COUNTY,801 - BOBTOWN (02),202,369
VA,ACCOMACK COUNTY,802 - MELFA (02),436,392
VA,ACCOMACK COUNTY,803 - WACHAPREAGUE (02),138,349
VA,ACCOMACK COUNTY,901 - PAINTER (02),1042,618
VA,HAMPTON CITY,110 - PHOEBUS (02),301,200
VA,HAMPTON CITY,201 - BOOKER (02),924,1065
VA,HAMPTON CITY,202 - BRYAN (02),1004,919
VA,HAMPTON CITY,203 - BURBANK (02),845,585
VA,HAMPTON CITY,205 - ASBURY (02),982,1773
VA,HAMPTON CITY,209 - LANGLEY (02),940,825
VA,HAMPTON CITY,213 - PHILLIPS (02),1192,1381
VA,HAMPTON CITY,215 - TYLER (02),20,12
VA,JAMES CITY COUNTY,104- BERKELEY D (02),330,304
VA,JAMES CITY COUNTY,201 - JAMESTOWN A (02),396,293
VA,JAMES CITY COUNTY,202 - JAMESTOWN B (02),0,0
VA,JAMES CITY COUNTY,501 - ROBERTS A (02),807,335
VA,JAMES CITY COUNTY,502 - ROBERTS B (02),796,1284
VA,JAMES CITY COUNTY,503 - ROBERTS C (02),284,137
VA,JAMES CITY COUNTY,504 - ROBERTS D (02),0,0
VA,NORFOLK CITY,101 - GRANBY (02),12,8
VA,NORFOLK CITY,102 - OCEAN VIEW SCHOOL (02),535,448
VA,NORFOLK CITY,103 - NORTHSIDE (02),662,673
VA,NORFOLK CITY,104 - TITUSTOWN  (02),297,110
VA,NORFOLK CITY,106 - ZION GRACE (02),1199,656
VA,NORFOLK CITY,215 - SUBURBAN PARK (02),811,558
VA,NORFOLK CITY,217 - WESLEY (02),862,424
VA,NORFOLK CITY,406 - BARRON BLACK (02),643,436
VA,NORFOLK CITY,501 - BAYVIEW (02),934,828
VA,NORFOLK CITY,503 - EAST OCEAN VIEW (02),1040,810
VA,NORFOLK CITY,504 - LARRYMORE (02),858,561
VA,NORFOLK CITY,505 - LITTLE CREEK (02),538,579
VA,NORFOLK CITY,506 - OCEAN VIEW CENTER (02),1262,647
VA,NORFOLK CITY,507 - PRETLOW (02),907,673
VA,NORFOLK CITY,509 - TARRALLTON (02),703,977
VA,NORFOLK CITY,510 - THIRD PRESBYTERIAN (02),790,998
VA,NORFOLK CITY,511 - CROSSROADS (02),851,788
VA,NORFOLK CITY,512 - AZALEA GARDENS (02),513,481
VA,NORTHAMPTON COUNTY,101 - PRECINCT 1-1 (02),584,623
VA,NORTHAMPTON COUNTY,201 - PRECINCT 2-1 (02),713,316
VA,NORTHAMPTON COUNTY,301 - PRECINCT 3-1 (02),640,287
VA,NORTHAMPTON COUNTY,401 - PRECINCT 4-1 (02),457,540
VA,NORTHAMPTON COUNTY,501 - PRECINCT 5-1 (02),476,545
VA,POQUOSON CITY,001 - CENTRAL (02),424,1432
VA,POQUOSON CITY,002 - EASTERN (02),451,1630
VA,POQUOSON CITY,003 - WESTERN (02),470,1485
VA,VIRGINIA BEACH CITY,001 - NORTH BEACH (02),793,1392
VA,VIRGINIA BEACH CITY,002 - SOUTH BEACH (02),859,991
VA,VIRGINIA BEACH CITY,003 - OCEAN LAKES (02),562,832
VA,VIRGINIA BEACH CITY,004 - LINKHORN (02),692,1003
VA,VIRGINIA BEACH CITY,005 - SEATACK (02),1037,785
VA,VIRGINIA BEACH CITY,006 - ALANTON (02),709,1142
VA,VIRGINIA BEACH CITY,007 - KINGSTON (02),436,772
VA,VIRGINIA BEACH CITY,008 - LONDON BRIDGE (02),894,1077
VA,VIRGINIA BEACH CITY,009 - TRANTWOOD (02),622,1092
VA,VIRGINIA BEACH CITY,010 - GREAT NECK (02),582,1313
VA,VIRGINIA BEACH CITY,011 - CAPE HENRY (02),888,1091
VA,VIRGINIA BEACH CITY,012 - PLAZA (02),959,864
VA,VIRGINIA BEACH CITY,013 - MT TRASHMORE (02),956,1166
VA,VIRGINIA BEACH CITY,014 - MALIBU (02),820,1082
VA,VIRGINIA BEACH CITY,015 - OLD DONATION (02),600,715
VA,VIRGINIA BEACH CITY,016 - ARAGONA (02),1071,1204
VA,VIRGINIA BEACH CITY,017 - OCEAN PARK (02),589,782
VA,VIRGINIA BEACH CITY,018 - THOROUGHGOOD (02),868,1108
VA,VIRGINIA BEACH CITY,019 - LAKE SMITH (02),389,654
VA,VIRGINIA BEACH CITY,020 - BAYSIDE (02),664,881
VA,VIRGINIA BEACH CITY,021 - DAVIS CORNER (02),1315,403
VA,VIRGINIA BEACH CITY,022 - POINT O VIEW (02),608,880
VA,VIRGINIA BEACH CITY,023 - ARROWHEAD (02),710,1077
VA,VIRGINIA BEACH CITY,024 - LARKSPUR (02),627,651
VA,VIRGINIA BEACH CITY,025 - AVALON (02),1168,1284
VA,VIRGINIA BEACH CITY,026 - FAIRFIELD (02),694,862
VA,VIRGINIA BEACH CITY,027 - EDWIN (02),717,1054
VA,VIRGINIA BEACH CITY,028 - THALIA (02),543,786
VA,VIRGINIA BEACH CITY,029 - HOLLAND (02),1038,678
VA,VIRGINIA BEACH CITY,030 - RED WING (02),549,977
VA,VIRGINIA BEACH CITY,031 - SIGMA (02),824,1804
VA,VIRGINIA BEACH CITY,032 - CREEDS (02),190,785
VA,VIRGINIA BEACH CITY,033 - CAPPS SHOP (02),215,836
VA,VIRGINIA BEACH CITY,034 - BLACKWATER (02),146,503
VA,VIRGINIA BEACH CITY,035 - COURTHOUSE (02),551,1148
VA,VIRGINIA BEACH CITY,036 - WINDSOR OAKS (02),1227,889
VA,VIRGINIA BEACH CITY,037 - CHESAPEAKE BEACH (02),658,724
VA,VIRGINIA BEACH CITY,038 - WITCHDUCK (02),817,1384
VA,VIRGINIA BEACH CITY,039 - PEMBROKE (02),1063,1111
VA,VIRGINIA BEACH CITY,040 - BONNEY (02),699,713
VA,VIRGINIA BEACH CITY,041 - COLLEGE PARK (02),1599,544
VA,VIRGINIA BEACH CITY,042 - BRANDON (02),947,900
VA,VIRGINIA BEACH CITY,043 - BELLAMY (02),936,609
VA,VIRGINIA BEACH CITY,044 - CENTERVILLE (02),880,1157
VA,VIRGINIA BEACH CITY,045 - TIMBERLAKE (02),1186,537
VA,VIRGINIA BEACH CITY,046 - GREEN RUN (02),1040,557
VA,VIRGINIA BEACH CITY,047 - KINGS GRANT (02),790,1382
VA,VIRGINIA BEACH CITY,048 - WOLFSNARE (02),840,1184
VA,VIRGINIA BEACH CITY,049 - LYNNHAVEN (02),595,1078
VA,VIRGINIA BEACH CITY,050 - OCEANA (02),796,411
VA,VIRGINIA BEACH CITY,051 - STRATFORD CHASE (02),667,919
VA,VIRGINIA BEACH CITY,052 - HOMESTEAD (02),1001,1137
VA,VIRGINIA BEACH CITY,053 - SHANNON (02),672,830
VA,VIRGINIA BEACH CITY,054 - CROMWELL (02),673,645
VA,VIRGINIA BEACH CITY,055 - MAGIC HOLLOW (02),1145,645
VA,VIRGINIA BEACH CITY,056 - EDINBURGH (02),357,588
VA,VIRGINIA BEACH CITY,057 - SHERRY PARK (02),487,703
VA,VIRGINIA BEACH CITY,058 - GLENWOOD (02),917,879
VA,VIRGINIA BEACH CITY,059 - SHELTON PARK (02),640,635
VA,VIRGINIA BEACH CITY,060 - FOXFIRE (02),679,1362
VA,VIRGINIA BEACH CITY,061 - BAKER (02),1523,222
VA,VIRGINIA BEACH CITY,062 - LANDSTOWN (02),872,1066
VA,VIRGINIA BEACH CITY,063 - CULVER (02),875,1272
VA,VIRGINIA BEACH CITY,064 - ROSEMONT FOREST (02),1229,1182
VA,VIRGINIA BEACH CITY,065 - COLONIAL (02),795,844
VA,VIRGINIA BEACH CITY,066 - HUNT (02),579,1035
VA,VIRGINIA BEACH CITY,067 - EASTERN SHORE (02),458,401
VA,VIRGINIA BEACH CITY,068 - MANOR (02),702,934
VA,VIRGINIA BEACH CITY,069 - SHELL (02),1006,409
VA,VIRGINIA BEACH CITY,070 - CORPORATE LANDING (02),910,1070
VA,VIRGINIA BEACH CITY,071 - ROUND HILL (02),494,417
VA,VIRGINIA BEACH CITY,072 - RUDEE (02),645,1111
VA,VIRGINIA BEACH CITY,073 - DAHLIA (02),936,527
VA,VIRGINIA BEACH CITY,074 - BUCKNER (02),969,562
VA,VIRGINIA BEACH CITY,075 - COLONY (02),734,1197
VA,VIRGINIA BEACH CITY,076 - VILLAGE (02),989,517
VA,VIRGINIA BEACH CITY,077 - BROOKWOOD (02),797,823
VA,VIRGINIA BEACH CITY,078 - INDIAN LAKES (02),766,695
