STATE,COUNTY,PRECINCT,CLINTON,TRUMP
VA,ACCOMACK COUNTY,101 - CHINCOTEAGUE (02),444,1188
VA,ACCOMACK COUNTY,201 - ATLANTIC (02),175,553
VA,ACCOMACK COUNTY,202 - GREENBACKVILLE (02),302,697
VA,ACCOMACK COUNTY,301 - NEW CHURCH (02),713,592
VA,ACCOMACK COUNTY,401 - BLOXOM (02),141,342
VA,ACCOMACK COUNTY,402 - PARKSLEY (02),218,489
VA,ACCOMACK COUNTY,403 - SAXIS (02),42,153
VA,ACCOMACK COUNTY,501 - MAPPSVILLE (02),397,243
VA,ACCOMACK COUNTY,502 - RUE (02),385,119
VA,ACCOMACK COUNTY,601 - ACCOMAC (02),486,637
VA,ACCOMACK COUNTY,602 - TANGIER (02),27,221
VA,ACCOMACK COUNTY,701 - NANDUA (02),805,976
VA,ACCOMACK COUNTY,801 - BOBTOWN (02),202,369
VA,ACCOMACK COUNTY,802 - MELFA (02),436,392
VA,ACCOMACK COUNTY,803 - WACHAPREAGUE (02),138,349
VA,ACCOMACK COUNTY,901 - PAINTER (02),1042,618
VA,ALBEMARLE COUNTY,101 - WOODBROOK (05),1192,680
VA,ALBEMARLE COUNTY,103 - BRANCHLANDS (05),546,208
VA,ALBEMARLE COUNTY,104 - AGNOR-HURT (05),1106,406
VA,ALBEMARLE COUNTY,105 - DUNLORA (05),1363,592
VA,ALBEMARLE COUNTY,106 - NORTHSIDE (05),1161,901
VA,ALBEMARLE COUNTY,201 - JACK JOUETT (05),897,531
VA,ALBEMARLE COUNTY,202 - UNIVERSITY (05),1851,407
VA,ALBEMARLE COUNTY,203 - GEORGETOWN (05),1338,398
VA,ALBEMARLE COUNTY,204 - BELFIELD (05),431,290
VA,ALBEMARLE COUNTY,301 - IVY (05),1692,818
VA,ALBEMARLE COUNTY,302 - RED HILL (05),1103,738
VA,ALBEMARLE COUNTY,304 - EAST IVY (05),397,245
VA,ALBEMARLE COUNTY,305 - COUNTRY GREEN (05),957,555
VA,ALBEMARLE COUNTY,306 - PORTERS (05),588,388
VA,ALBEMARLE COUNTY,307 - YELLOW MOUNTAIN (05),261,202
VA,ALBEMARLE COUNTY,401 - SCOTTSVILLE (05),445,590
VA,ALBEMARLE COUNTY,402 - MONTICELLO (05),445,547
VA,ALBEMARLE COUNTY,405 - CALE (05),2198,805
VA,ALBEMARLE COUNTY,406 - STONE ROBINSON (05),909,997
VA,ALBEMARLE COUNTY,501 - KESWICK (05),538,397
VA,ALBEMARLE COUNTY,502 - STONY POINT (05),534,530
VA,ALBEMARLE COUNTY,503 - HOLLYMEAD (05),971,654
VA,ALBEMARLE COUNTY,504 - FREE BRIDGE (05),1627,823
VA,ALBEMARLE COUNTY,506 - BAKER-BUTLER (05),1117,938
VA,ALBEMARLE COUNTY,601 - CROZET (05),1576,1081
VA,ALBEMARLE COUNTY,602 - FREE UNION (05),484,444
VA,ALBEMARLE COUNTY,603 - EARLYSVILLE (05),1061,1045
VA,ALBEMARLE COUNTY,604 - BROWNSVILLE (05),1802,1192
VA,ALEXANDRIA CITY,101 - LADREY SENIOR BUILDING (08),971,349
VA,ALEXANDRIA CITY,102 - CITY HALL (08),879,413
VA,ALEXANDRIA CITY,103 - LYLES CROUCH SCHOOL (08),1504,497
VA,ALEXANDRIA CITY,104 - DURANT CENTER (08),1293,271
VA,ALEXANDRIA CITY,105 - LEE CENTER (08),1696,480
VA,ALEXANDRIA CITY,106 - CORA KELLY (08),2301,380
VA,ALEXANDRIA CITY,107 - MT VERNON RECREATION CENTER (08),2384,486
VA,ALEXANDRIA CITY,108 - GEORGE WASHINGTON MIDDLE SCH (08),2165,397
VA,ALEXANDRIA CITY,109 - FIRE DEPARTMENT HEADQUARTERS (08),1012,351
VA,ALEXANDRIA CITY,110 - CHARLES HOUSTON CENTER (08),1488,246
VA,ALEXANDRIA CITY,201 - MAURY SCHOOL (08),1294,299
VA,ALEXANDRIA CITY,202 - GEORGE MASON SCHOOL (08),1228,404
VA,ALEXANDRIA CITY,203 - AGUDAS ACHIM SYNAGOGUE (08),1482,296
VA,ALEXANDRIA CITY,204 - BLESSED SACRAMENT CHURCH (08),1186,391
VA,ALEXANDRIA CITY,205 - DOUGLAS MACARTHUR SCHOOL (08),1566,500
VA,ALEXANDRIA CITY,206 - CHINQUAPIN PARK RECREATION CTR (08),1239,356
VA,ALEXANDRIA CITY,207 - TEMPLE BETH EL SYNAGOGUE (08),1557,519
VA,ALEXANDRIA CITY,208 - NOVA ARTS CENTER (08),1722,389
VA,ALEXANDRIA CITY,209 - JAMES K POLK SCHOOL (08),1835,414
VA,ALEXANDRIA CITY,210 - THE HERMITAGE (08),805,274
VA,ALEXANDRIA CITY,302 - PATRICK HENRY REC CENTER (08),1407,247
VA,ALEXANDRIA CITY,303 - CHARLES E BEATLEY LIBRARY (08),1599,298
VA,ALEXANDRIA CITY,304 - SAMUEL TUCKER SCHOOL (08),2246,413
VA,ALEXANDRIA CITY,305 - JOHN ADAMS SCHOOL (08),1843,320
VA,ALEXANDRIA CITY,306 - WILLIAM RAMSAY SCHOOL (08),1985,285
VA,ALEXANDRIA CITY,307 - SOUTH PORT (08),1376,350
VA,ALEXANDRIA CITY,308 - CAMERON STATION COMMUNITY CTR (08),1408,545
VA,ALLEGHANY COUNTY,101 - ARRITT (09),138,521
VA,ALLEGHANY COUNTY,103 - DAMERON (09),51,196
VA,ALLEGHANY COUNTY,201 - HUMPBACK BRIDGE (09),103,290
VA,ALLEGHANY COUNTY,202 - DOLLY ANN (09),129,360
VA,ALLEGHANY COUNTY,301 - CALLAGHAN (09),74,325
VA,ALLEGHANY COUNTY,302 - GRIFFITH (09),176,450
VA,ALLEGHANY COUNTY,401 - LOW MOOR (09),137,335
VA,ALLEGHANY COUNTY,402 - JACKSON HEIGHTS (09),141,461
VA,ALLEGHANY COUNTY,501 - IRON GATE (09),104,155
VA,ALLEGHANY COUNTY,502 - PETERS SWITCH (09),188,551
VA,ALLEGHANY COUNTY,601 - DISTRICT 1 (09),397,527
VA,ALLEGHANY COUNTY,701 - DISTRICT 2 (09),324,371
VA,AMELIA COUNTY,101 - NUMBER ONE (07),334,740
VA,AMELIA COUNTY,201 - NUMBER TWO (07),400,834
VA,AMELIA COUNTY,301 - NUMBER THREE (07),302,892
VA,AMELIA COUNTY,401 - NUMBER FOUR (07),302,839
VA,AMELIA COUNTY,501 - NUMBER FIVE (07),497,888
VA,AMHERST COUNTY,101 - WRIGHT SHOP (06),549,435
VA,AMHERST COUNTY,102 - NEW GLASGOW (06),426,799
VA,AMHERST COUNTY,103 - COOLWELL (06),121,492
VA,AMHERST COUNTY,201 - COURT HOUSE (06),721,1112
VA,AMHERST COUNTY,202 - TEMPERANCE (06),200,569
VA,AMHERST COUNTY,301 - MONROE (06),217,594
VA,AMHERST COUNTY,302 - ELON (06),474,1450
VA,AMHERST COUNTY,303 - PLEASANT VIEW (06),110,322
VA,AMHERST COUNTY,401 - AMELON (06),711,1487
VA,AMHERST COUNTY,402 - LONCO (06),194,386
VA,AMHERST COUNTY,501 - MADISON (06),815,1419
VA,APPOMATTOX COUNTY,101 - VERA (05),104,450
VA,APPOMATTOX COUNTY,102 - PAMPLIN (05),282,704
VA,APPOMATTOX COUNTY,201 - CHAP (05),147,210
VA,APPOMATTOX COUNTY,202 - SPOUT SPRING (05),208,964
VA,APPOMATTOX COUNTY,301 - US  460 (05),164,545
VA,APPOMATTOX COUNTY,302 - STONEWALL (05),214,625
VA,APPOMATTOX COUNTY,401 - COURTHOUSE (05),329,914
VA,APPOMATTOX COUNTY,501 - OAKVILLE (05),299,688
VA,APPOMATTOX COUNTY,502 - AGEE (05),139,254
VA,ARLINGTON COUNTY,001 - ARLINGTON (08),1297,245
VA,ARLINGTON COUNTY,002 - ASHTON HEIGHTS (08),1257,275
VA,ARLINGTON COUNTY,003 - AURORA HILLS (08),730,249
VA,ARLINGTON COUNTY,004 - BALLSTON (08),1180,322
VA,ARLINGTON COUNTY,005 - BARCROFT (08),1077,280
VA,ARLINGTON COUNTY,006 - CRYSTAL CITY (08),939,333
VA,ARLINGTON COUNTY,007 - CHERRYDALE (08),1170,298
VA,ARLINGTON COUNTY,008 - HUME (08),1512,412
VA,ARLINGTON COUNTY,009 - COLUMBIA (08),1450,344
VA,ARLINGTON COUNTY,010 - WILSON (08),1589,376
VA,ARLINGTON COUNTY,011 - EAST FALLS CHURCH (08),786,260
VA,ARLINGTON COUNTY,012 - FAIRLINGTON (08),1184,333
VA,ARLINGTON COUNTY,013 - GLEN CARLYN (08),906,256
VA,ARLINGTON COUNTY,014 - CLARENDON (08),984,224
VA,ARLINGTON COUNTY,015 - LYON PARK (08),1359,341
VA,ARLINGTON COUNTY,016 - LYON VILLAGE (08),1236,311
VA,ARLINGTON COUNTY,017 - OVERLEE KNOLLS (08),1251,337
VA,ARLINGTON COUNTY,018 - PARK LANE (08),1701,401
VA,ARLINGTON COUNTY,019 - ROSSLYN (08),1466,319
VA,ARLINGTON COUNTY,020 - THRIFTON (08),893,345
VA,ARLINGTON COUNTY,021 - VIRGINIA HIGHLANDS (08),1718,486
VA,ARLINGTON COUNTY,022 - ABINGDON (08),1331,274
VA,ARLINGTON COUNTY,023 - WESTOVER (08),1239,310
