STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
GA,BALDWIN,BODDIE,222,50
GA,BALDWIN,CITY HALL ANNEX,134,64
GA,BALDWIN,COOPERS,137,377
GA,BALDWIN,COURTHOUSE,63,37
GA,BALDWIN,EAST BALDWIN,425,476
GA,BALDWIN,EAST HARDWICK,245,44
GA,BALDWIN,FIRE DEPT,220,96
GA,BALDWIN,MERIWEATHER,189,363
GA,BALDWIN,NORTH BALDWIN,197,590
GA,BALDWIN,NORTH MILLEDGEVILLE,210,224
GA,BALDWIN,SCOTTSBORO,117,201
GA,BALDWIN,SOUTH MILLEDGEVILLE,172,50
GA,BALDWIN,WEST BALDWIN,227,248
GA,BALDWIN,WEST HARDWICK,585,109
GA,BARROW,01 BETHLEHEM COMMUNITY CENTER,180,669
GA,BARROW,02 BETHABRA BAPTIST CHURCH,182,697
GA,BARROW,03 BRAMLETT ELEMENTARY SCHOOL,169,665
GA,BARROW,04 WESTSIDE MIDDLE SCHOOL,137,486
GA,BARROW,05 FIRE STATION 1 (STATHAM),300,886
GA,BARROW,06 WINDER BARROW HIGH SCHOOL,121,381
GA,BARROW,07 STATHAM ELEMENTARY SCHOOL,215,488
GA,BARROW,08 FIRST BAPTIST CHURCH WINDER,130,552
GA,BARROW,09 LIONS CLUB,124,470
GA,BARROW,10 LEISURE SERVICES CENTER,230,247
GA,BARROW,11 APALACHEE HIGH SCHOOL,212,618
GA,BARROW,12 MIDWAY UNITED METHODIST CHURCH,145,676
GA,BARROW,13 WINDER COMMUNITY CENTER,138,344
GA,BARROW,14 CEDAR CREEK BAPTIST CHURCH,62,260
GA,BARROW,15 COUNTY LINE ELEMENTARY SCHOOL,138,627
GA,BARROW,16 THE CHURCH AT WINDER,349,815
GA,BUTTS,BUTTS CO COMM CENTER,400,231
GA,BUTTS,JENKINSBURG,181,301
GA,BUTTS,STARK,63,501
GA,BUTTS,TOWALIGA,124,411
GA,BUTTS,WORTHVILLE,46,325
GA,CLARKE,1B GAINES SCHOOL,466,287
GA,CLARKE,1C WHIT DAVIS SCHOOL,310,250
GA,CLARKE,1D WHIT DAVIS SCHOOL,491,330
GA,CLARKE,2B HOWARD STROUD SCHOOL,910,116
GA,CLARKE,3A CLARKE CENTRAL HIGH,428,59
GA,CLARKE,3B THOMAS N. LAY PARK,733,272
GA,CLARKE,4A ATHENS TRANSIT CTR,291,122
GA,CLARKE,4B MEMORIAL PARK,692,333
GA,CLARKE,5A OGLETHORPE SCHOOL,507,234
GA,CLARKE,5B WHITEHEAD RD SCHOOL,512,205
GA,CLARKE,5C CHASE STREET SCHOOL,490,74
GA,CLARKE,6A CLEVELAND RD SCHOOL,429,414
GA,CLARKE,6B GA SQUARE MALL,485,294
GA,CLARKE,6C TIMOTHY ROAD SCHOOL,397,381
GA,CLARKE,6D FIRESTATION #4,338,150
GA,CLARKE,7A TIMOTHY ROAD SCHOOL,353,279
GA,CLARKE,7B ALPS ELEM. SCHOOL,436,246
GA,CLARKE,7C FIRESTATION #3,423,293
GA,CLARKE,8A GAINES SCHOOL,533,238
GA,CLARKE,8B CEDAR SHLS HIGH SCH,363,151
GA,CLARKE,8C FIRESTATION #7,559,281
GA,COLUMBIA,BESSIE THOMAS CENTER,73,586
GA,COLUMBIA,DAMASCUS BAPTIST CHURCH,36,338
GA,COLUMBIA,EUBANK/BLANCHARD CENTER,125,386
GA,COLUMBIA,GRACE BAPTIST CHURCH,228,461
GA,COLUMBIA,GREENBRIER HIGH,133,513
GA,COLUMBIA,HARLEM BAPTIST CHURCH-10,132,241
GA,COLUMBIA,HARLEM MIDDLE SCHOOL-10,34,208
GA,COLUMBIA,KIOKEE BAPTIST CHURCH-10,25,217
GA,COLUMBIA,SECOND MT CARMEL BAPT CHURCH,157,90
GA,GLASCOCK,EDGEHILL,4,53
GA,GLASCOCK,GIBSON,22,147
GA,GLASCOCK,MILL,15,192
GA,GLASCOCK,MITCHELL,34,140
GA,GREENE,GREENSBORO,411,142
GA,GREENE,GRESHAMVILLE,51,243
GA,GREENE,OLD SALEM,88,419
GA,GREENE,SILOAM,190,101
GA,GREENE,UNION POINT,217,164
GA,GREENE,WALKER,51,210
GA,GREENE,WHITE PLAINS,50,51
GA,GREENE,WOODVILLE,113,105
GA,GWINNETT,BAYCREEK C,794,714
GA,GWINNETT,DACULA,567,492
GA,GWINNETT,DUNCANS A,324,880
GA,GWINNETT,DUNCANS B,396,1031
