STATE,COUNTY,PRECINCT,PAST_DEM,PAST_REP
NC,ALEXANDER,S1S2,352,1488
NC,ALEXANDER,M,258,869
NC,ALEXANDER,W,201,996
NC,ALEXANDER,LRSL,233,1161
NC,ALEXANDER,G1G2,233,900
NC,ALEXANDER,T1T4T5,597,1981
NC,ALEXANDER,E,349,1268
NC,ALEXANDER,T2T3,536,1314
NC,FORSYTH,505,822,208
NC,FORSYTH,903,1512,561
NC,FORSYTH,507,2052,1153
NC,FORSYTH,705,884,430
NC,FORSYTH,706,487,307
NC,FORSYTH,607,920,518
NC,FORSYTH,908,892,906
NC,FORSYTH,804,459,398
NC,FORSYTH,801,493,340
NC,FORSYTH,708,1429,1024
NC,FORSYTH,807,639,630
NC,FORSYTH,305,877,16
NC,FORSYTH,405,1500,25
NC,FORSYTH,604,801,180
NC,FORSYTH,404,1229,173
NC,FORSYTH,402,763,17
NC,FORSYTH,802,549,474
NC,FORSYTH,909,488,372
NC,FORSYTH,808,1344,617
NC,FORSYTH,805,849,719
NC,FORSYTH,601,985,257
NC,FORSYTH,ABS/PROV/CURB 4,0,0
NC,FORSYTH,704,785,349
NC,FORSYTH,703,553,231
NC,FORSYTH,306,822,112
NC,FORSYTH,303,453,13
NC,FORSYTH,504,633,89
NC,FORSYTH,905,946,293
NC,FORSYTH,301,573,9
NC,FORSYTH,707,551,321
NC,FORSYTH,602,1675,952
NC,FORSYTH,605,1469,703
NC,FORSYTH,906,1227,744
NC,FORSYTH,901,775,380
NC,FORSYTH,503,812,137
NC,FORSYTH,502,803,33
NC,FORSYTH,809,889,794
NC,FORSYTH,204,839,73
NC,FORSYTH,401,949,76
NC,FORSYTH,403,879,54
NC,FORSYTH,603,1017,246
NC,FORSYTH,606,709,341
NC,FORSYTH,709,1091,732
NC,FORSYTH,806,564,626
NC,FORSYTH,803,531,609
NC,FORSYTH,302,591,21
NC,FORSYTH,904,1072,283
NC,FORSYTH,702,740,303
NC,FORSYTH,701,489,405
NC,FORSYTH,902,899,215
NC,FORSYTH,907,747,418
NC,FORSYTH,304,1218,28
NC,FORSYTH,501,1233,95
NC,FORSYTH,506,555,386
NC,MARTIN,W,68,268
NC,LENOIR,W,133,681
NC,NORTHAMPTON,OS OFFICE,1754,763
NC,STOKES,OS KING,1241,4764
NC,STOKES,OS WALNUT COVE,881,2030
NC,STOKES,OS DANBURY,582,1572
NC,WATAUGA,OS DEEP GAP,244,677
NC,WATAUGA,OS WESTERN W,285,744
NC,WATAUGA,OS ASU,4271,1606
NC,WATAUGA,OS BLOWING ROCK,460,581
NC,WATAUGA,OS ADMIN,4926,3768
NC,WATAUGA,OS MEAT CAMP,229,479
NC,WILKES,OS PLEASANT HILL,226,1327
NC,WILKES,OS OFFICE,2959,7188
NC,WILKES,OS MULBERRY,155,843
NC,WILKES,OS MTN VIEW,88,561
NC,WILKES,107,109,728
NC,WILKES,115A,139,807
NC,WILKES,OS MILLER CRK,283,1346
NC,YADKIN,SFAL,74,591
NC,YADKIN,SLIB,110,687
NC,YADKIN,DCRK,97,538
NC,YADKIN,EBND,203,834
NC,YADKIN,NFAL,54,452
NC,YADKIN,NKNB,286,879
NC,YADKIN,NBCK,82,510
NC,YADKIN,SBCK,80,332
NC,YADKIN,NLIB,168,570
NC,YADKIN,FBSH,172,959
NC,YADKIN,SKNB,42,440
NC,YADKIN,BNVL,179,949
