COUNTY,PRECINCT,STATE,DEM,REP
CONWAY,AUSTIN,AR,10,44
CONWAY,BENTLEY CITY,AR,32,108
CONWAY,BENTLEY RURAL,AR,22,86
CONWAY,BIRD,AR,42,118
CONWAY,CATHOLIC POINT,AR,38,64
CONWAY,CEDAR FALLS,AR,50,58
CONWAY,GREGORY,AR,32,66
CONWAY,GRIFFIN,AR,37,99
CONWAY,HIGGINS,AR,3,15
CONWAY,HOWARD CITY,AR,71,87
CONWAY,HOWARD RURAL,AR,42,58
CONWAY,LICK MTN.,AR,43,116
CONWAY,MARTIN,AR,5,20
CONWAY,MCCLAREN,AR,10,42
CONWAY,MENIFEE CITY,AR,75,4
CONWAY,MENIFEE RURAL,AR,13,19
CONWAY,NICHOLS,AR,35,101
CONWAY,OLD HICKORY,AR,14,37
CONWAY,PETIT JEAN,AR,12,27
CONWAY,ST. VINCENT,AR,52,111
CONWAY,STEELE,AR,26,103
CONWAY,UNION,AR,65,128
CONWAY,WARD 1,AR,77,112
CONWAY,WARD 2,AR,56,70
CONWAY,WARD 3,AR,81,106
CONWAY,WARD 4,AR,68,123
CONWAY,WASHINGTON EAST,AR,59,189
CONWAY,WASHINGTON WEST,AR,44,67
CONWAY,WELBOURNE EAST,AR,65,162
CONWAY,WELBOURNE WEST,AR,37,97
CONWAY,WHITE EAGLE,AR,4,9
FAULKNER,01.01 4A,AR,121,108
FAULKNER,02 4B,AR,73,52
FAULKNER,03.01 4E,AR,144,181
FAULKNER,04.01 4D,AR,98,40
FAULKNER,05 4F,AR,74,176
FAULKNER,06.01 2B,AR,101,67
FAULKNER,07 2A,AR,360,173
FAULKNER,08 3B,AR,22,49
FAULKNER,09 3C-E,AR,96,114
FAULKNER,10 3A,AR,121,163
FAULKNER,11 4C,AR,142,143
FAULKNER,12  E CADRON A,AR,117,356
FAULKNER,13 E CADRON B,AR,186,313
FAULKNER,14 W CADRON,AR,16,31
FAULKNER,15 BENEDICT,AR,28,57
FAULKNER,16 BENTON,AR,30,157
FAULKNER,17 BRISTOL,AR,24,36
FAULKNER,18 CA,AR,71,261
FAULKNER,19 CLIFTON,AR,111,326
FAULKNER,21 VILONIA,AR,59,282
FAULKNER,22 CYPRESS,AR,53,212
FAULKNER,23 DANLEY,AR,71,126
FAULKNER,24 MAYFLOWER,AR,60,106
FAULKNER,25 EAGLE,AR,52,211
FAULKNER,26 EAST FORK,AR,89,275
FAULKNER,27 ENOLA,AR,19,121
FAULKNER,28 HARDIN,AR,38,179
FAULKNER,29.01 HARDIN GB EAST,AR,57,195
FAULKNER,30 HARVE,AR,39,136
FAULKNER,31 MATTHEWS,AR,19,105
FAULKNER,32 MOUNTAIN,AR,11,62
FAULKNER,33 MT. VERNON,AR,41,107
FAULKNER,34 NEWTON,AR,44,125
FAULKNER,35 WILSON,AR,33,140
FAULKNER,36 PINE MT.,AR,195,232
FAULKNER,37 UNION,AR,61,235
FAULKNER,38 WALKER,AR,41,149
FAULKNER,39 PALARM,AR,106,445
FAULKNER,41 1C-N,AR,88,23
FAULKNER,42 1C-S,AR,137,141
FAULKNER,43 1E-E,AR,142,155
FAULKNER,44 1E-W,AR,90,161
FAULKNER,45.01 3E,AR,58,85
FAULKNER,46 3C-W,AR,65,128
FAULKNER,48 E CADRON C,AR,90,156
FAULKNER,49 2C,AR,120,68
FAULKNER,50.01 3D,AR,130,184
FAULKNER,53 3F,AR,51,113
FAULKNER,54 3G,AR,52,56
FAULKNER,55.01 HARDIN GB WEST,AR,25,125
PERRY,1-APLIN,AR,13,57
PERRY,10-PERRY,AR,64,157
PERRY,11-PETIT JEAN,AR,20,52
PERRY,12-RANKIN,AR,38,95
PERRY,13-ROSE CREEK,AR,15,28
PERRY,14-TYLER,AR,23,56
PERRY,15-UNION,AR,74,149
PERRY,16-UNION VALLEY,AR,15,35
PERRY,17-WYE,AR,84,151
PERRY,2-CASA,AR,24,73
PERRY,3-CHERRY HILL,AR,6,21
PERRY,4-FOURCHE,AR,56,104
PERRY,5-HOUSTON,AR,37,105
PERRY,6-KENNEY,AR,1,27
PERRY,7-LAKE,AR,13,48
PERRY,8-MAUMELLE,AR,18,54
PERRY,9-NEW TENNESSEE,AR,11,36
PULASKI,1,AR,0,0
PULASKI,10,AR,0,0
PULASKI,100,AR,0,0
PULASKI,101,AR,0,0
PULASKI,102,AR,0,0
PULASKI,103,AR,0,0
PULASKI,104,AR,0,0
PULASKI,105,AR,0,0
PULASKI,106,AR,0,0
PULASKI,107,AR,0,0
PULASKI,108,AR,0,0
PULASKI,109,AR,0,0
PULASKI,11,AR,0,0
PULASKI,110,AR,0,0
PULASKI,111,AR,0,0
PULASKI,112,AR,0,0
PULASKI,113,AR,0,0
PULASKI,114,AR,2,0
PULASKI,115,AR,0,0
PULASKI,116,AR,0,0
PULASKI,117,AR,0,0
PULASKI,118,AR,1,0
PULASKI,119,AR,0,0
PULASKI,12,AR,0,0
PULASKI,120,AR,0,0
PULASKI,121,AR,0,0
PULASKI,122,AR,0,0
PULASKI,123,AR,0,0
PULASKI,124,AR,0,0
PULASKI,125,AR,0,0
PULASKI,126,AR,0,0
PULASKI,127,AR,1,0
PULASKI,128,AR,0,0
PULASKI,129,AR,0,0
PULASKI,13,AR,0,0
PULASKI,130,AR,0,0
PULASKI,131,AR,0,0
PULASKI,132,AR,0,0
PULASKI,133,AR,0,0
PULASKI,134,AR,0,0
PULASKI,135,AR,0,0
PULASKI,136,AR,0,0
PULASKI,137,AR,0,0
PULASKI,14,AR,0,0
PULASKI,15,AR,0,0
PULASKI,16,AR,0,0
PULASKI,17,AR,0,0
PULASKI,18,AR,0,0
PULASKI,19,AR,0,0
PULASKI,2,AR,0,0
PULASKI,20,AR,0,0
PULASKI,21,AR,0,0
PULASKI,22,AR,0,0
PULASKI,23,AR,0,0
PULASKI,24,AR,0,0
PULASKI,25,AR,0,0
PULASKI,26,AR,0,0
PULASKI,27,AR,0,0
PULASKI,28,AR,0,0
PULASKI,29,AR,0,0
PULASKI,3,AR,0,0
PULASKI,30,AR,0,0
PULASKI,31,AR,0,0
PULASKI,32,AR,0,0
PULASKI,33,AR,0,0
PULASKI,34,AR,0,0
PULASKI,35,AR,0,0
PULASKI,36,AR,0,0
PULASKI,37,AR,0,0
PULASKI,38,AR,0,0
PULASKI,39,AR,0,0
PULASKI,4,AR,0,0
PULASKI,40,AR,0,0
PULASKI,41,AR,0,0
PULASKI,42,AR,0,0
PULASKI,43,AR,0,0
PULASKI,44,AR,0,0
PULASKI,45,AR,0,0
PULASKI,46,AR,0,0
PULASKI,47,AR,0,0
PULASKI,48,AR,0,0
PULASKI,49,AR,27,41
PULASKI,5,AR,0,0
PULASKI,50,AR,0,0
PULASKI,51,AR,0,0
PULASKI,52,AR,0,0
PULASKI,53,AR,0,0
PULASKI,54,AR,0,0
PULASKI,55,AR,0,0
PULASKI,56,AR,0,0
PULASKI,57,AR,0,0
PULASKI,58,AR,0,0
PULASKI,59,AR,0,0
PULASKI,6,AR,0,0
PULASKI,60,AR,0,0
PULASKI,61,AR,0,0
PULASKI,62,AR,0,0
PULASKI,63,AR,0,0
PULASKI,64,AR,0,0
PULASKI,65,AR,0,0
PULASKI,66,AR,0,0
PULASKI,67,AR,0,0
PULASKI,68,AR,0,0
PULASKI,69,AR,0,0
PULASKI,7,AR,0,0
PULASKI,70,AR,0,1
PULASKI,71,AR,0,0
PULASKI,72,AR,0,0
PULASKI,73,AR,0,0
PULASKI,74,AR,0,0
PULASKI,75,AR,0,0
PULASKI,76,AR,0,0
PULASKI,77,AR,0,0
PULASKI,78,AR,0,0
PULASKI,79,AR,0,0
PULASKI,8,AR,0,0
PULASKI,80,AR,0,0
PULASKI,81,AR,0,0
PULASKI,82,AR,0,0
PULASKI,83,AR,0,0
