COUNTY,PRECINCT,STATE,DEM,REP
ARKANSAS,ALMYRA,AR,12,54
ARKANSAS,ARKANSAS,AR,4,11
ARKANSAS,BARTON,AR,1,23
ARKANSAS,BAYOU METO,AR,0,13
ARKANSAS,BREWER,AR,2,1
ARKANSAS,CHESTER,AR,5,39
ARKANSAS,CROCKETT,AR,3,18
ARKANSAS,DEWITT WARD 1,AR,42,24
ARKANSAS,DEWITT WARD 2,AR,22,54
ARKANSAS,DEWITT WARD 3,AR,24,88
ARKANSAS,GARLAND,AR,2,18
ARKANSAS,GILLETT WARD 1,AR,17,37
ARKANSAS,GILLETT WARD 2,AR,12,52
ARKANSAS,GILLETT WARD 3,AR,16,22
ARKANSAS,GUM POND,AR,5,30
ARKANSAS,HENTON,AR,7,42
ARKANSAS,HUMPHREY WARD 1,AR,31,17
ARKANSAS,HUMPHREY WARD 3,AR,7,9
ARKANSAS,KEATON,AR,14,54
ARKANSAS,LAGRUE,AR,10,76
ARKANSAS,MCFALL,AR,6,4
ARKANSAS,MILL BAYOU,AR,8,48
ARKANSAS,MORRIS,AR,1,32
ARKANSAS,PRAIRIE,AR,13,50
ARKANSAS,PT DELUCE,AR,2,24
ARKANSAS,ST. CHARLES,AR,0,41
ARKANSAS,STANLEY,AR,2,3
ARKANSAS,STUTTGART WARD 1,AR,110,48
ARKANSAS,STUTTGART WARD 2,AR,77,162
ARKANSAS,STUTTGART WARD 3,AR,60,199
ASHLEY,BEECH CREEK,AR,0,0
ASHLEY,BOYDELL,AR,0,0
ASHLEY,COOTER,AR,0,0
ASHLEY,CROSSROADS,AR,0,4
ASHLEY,CW1,AR,8,5
ASHLEY,CW2,AR,5,6
ASHLEY,CW3,AR,2,7
ASHLEY,FH CITY,AR,0,0
ASHLEY,FH RURAL,AR,0,1
ASHLEY,HAMBURG RURAL,AR,2,7
ASHLEY,HICKORY GROVE,AR,1,2
ASHLEY,HW1,AR,2,0
ASHLEY,HW2,AR,4,3
ASHLEY,HW3,AR,3,3
ASHLEY,MILO,AR,2,5
ASHLEY,MIST,AR,0,0
