COUNTY,PRECINCT,STATE,DEM,REP
BAKER,ANNA,GA,27,48
BAKER,ELMODEL,GA,49,60
BAKER,HOGGARD MILL,GA,65,41
BAKER,MILFORD,GA,47,61
BAKER,NEWTON,GA,133,114
BIBB,EAST MACON 1,GA,380,17
BIBB,EAST MACON 2,GA,913,63
BIBB,EAST MACON 3,GA,621,261
BIBB,EAST MACON 4,GA,600,32
BIBB,EAST MACON 5,GA,480,170
BIBB,GODFREY 1,GA,910,125
BIBB,GODFREY 2,GA,280,17
BIBB,GODFREY 3,GA,488,56
BIBB,GODFREY 4,GA,377,46
BIBB,GODFREY 5,GA,913,94
BIBB,HAZZARD 1,GA,597,83
BIBB,HAZZARD 3,GA,925,446
BIBB,HAZZARD 4,GA,208,552
BIBB,RUTLAND 1,GA,561,1306
BIBB,RUTLAND 2,GA,305,823
BIBB,VINEVILLE 1,GA,564,329
BIBB,VINEVILLE 2,GA,363,164
BIBB,VINEVILLE 3,GA,504,42
BIBB,VINEVILLE 4,GA,817,100
BIBB,WARRIOR 1,GA,264,758
CALHOUN,ARLINGTON,GA,187,42
CALHOUN,EDISON,GA,140,22
CALHOUN,EDISON-ARLINGTON,GA,153,65
CALHOUN,LEARY,GA,212,70
CALHOUN,MORGAN,GA,90,108
CHATTAHOOCHEE,CHATTAHOOCHEE ACVITITY CENTER,GA,257,305
CLAY,BLUFFTON,GA,48,32
CLAY,COURTHOUSE,GA,85,10
CLAY,'DAY''S CROSS ROADS',GA,57,27
CLAY,OLD HEAD START,GA,70,37
CLAY,ZETTO,GA,76,15
CRAWFORD,1A,GA,85,95
CRAWFORD,1B,GA,126,65
CRAWFORD,2,GA,159,162
CRAWFORD,3,GA,85,267
CRAWFORD,4,GA,75,430
CRAWFORD,5,GA,78,477
CRISP,ARABI,GA,79,180
CRISP,CONEY,GA,52,136
CRISP,CORDELE,GA,990,418
CRISP,JAMESTOWN,GA,57,264
CRISP,LISTONIA,GA,43,183
