STATE,COUNTY,PRECINCT,DEM,REP
MN,2,5,567,1114
MN,2,10,589,957
MN,2,15,726,1083
MN,2,20,590,781
MN,2,25,754,1177
MN,2,30,469,964
MN,2,35,480,810
MN,2,40,544,893
MN,2,45,617,950
MN,2,50,775,996
MN,2,105,342,323
MN,2,110,464,467
MN,2,115,452,515
MN,2,120,499,441
MN,2,125,427,436
MN,2,130,512,496
MN,2,135,436,457
MN,2,140,420,425
MN,2,205,57,116
MN,2,305,586,478
MN,2,310,755,543
MN,2,315,501,446
MN,2,320,361,359
MN,2,325,737,736
MN,2,330,391,503
MN,2,335,456,456
MN,2,340,486,500
MN,2,405,523,453
MN,2,410,500,408
MN,2,415,581,503
MN,2,420,552,436
MN,2,425,647,638
MN,2,430,509,638
MN,2,435,420,562
MN,2,440,902,1236
MN,2,505,616,521
MN,2,510,603,637
MN,2,515,608,494
MN,2,520,688,691
MN,2,525,606,613
MN,2,530,1140,1228
MN,2,535,1021,1000
MN,2,540,462,532
MN,2,605,842,1162
MN,2,705,453,454
MN,2,710,935,698
MN,2,905,810,1431
MN,2,1505,570,1157
MN,2,1510,587,1151
MN,2,1515,558,1125
MN,2,1905,383,675
MN,2,1910,528,1017
MN,2,1915,492,982
MN,2,1920,443,978
MN,2,1925,330,774
MN,2,1930,465,877
MN,2,2105,355,421
MN,2,2205,434,570
MN,2,2210,702,922
MN,2,2215,554,728
MN,2,2220,842,1103
MN,2,2225,461,548
MN,2,2230,718,1079
MN,2,2235,787,1061
MN,2,2305,553,1096
MN,2,2310,363,604
MN,2,2405,418,1058
MN,2,2410,225,604
MN,2,2505,451,864
MN,2,2510,335,816
MN,2,2515,332,811
MN,2,2520,249,510
MN,2,2605,916,1273
MN,2,2610,263,432
MN,2,2705,366,775
MN,2,2710,744,1316
MN,2,2805,875,1103
MN,2,2810,343,444
MN,2,2905,625,734
MN,2,2910,550,868
MN,2,3005,523,960
MN,2,3010,426,869
MN,5,5,78,248
MN,5,10,287,571
MN,5,15,27,57
MN,5,20,106,279
MN,5,25,84,273
MN,5,30,59,205
MN,5,35,74,263
MN,5,40,106,388
MN,5,45,93,285
MN,5,50,104,320
MN,5,55,176,610
MN,5,56,0,4
MN,5,60,231,455
MN,5,67,0,0
MN,5,70,410,379
MN,5,80,427,330
MN,5,85,260,165
MN,5,90,120,425
MN,5,95,338,497
MN,5,100,360,554
MN,5,105,382,521
MN,5,110,505,766
MN,5,111,401,517
MN,5,112,553,768
MN,5,113,0,0
MN,5,115,105,181
MN,5,120,514,1021
MN,10,5,102,299
MN,10,10,114,354
MN,10,15,1020,1167
MN,10,65,289,559
MN,10,70,205,483
MN,10,75,60,187
MN,10,80,40,136
MN,10,85,129,414
MN,10,95,270,658
MN,10,100,39,134
MN,10,105,518,1065
MN,10,110,154,342
MN,10,120,1037,1580
MN,10,125,1411,1979
MN,10,130,192,487
MN,10,135,652,1285
MN,10,140,202,494
MN,10,150,77,315
MN,27,1080,98,232
MN,27,2695,72,73
MN,71,5,393,989
MN,71,10,600,1160
MN,71,15,573,1687
MN,71,20,386,671
MN,71,22,355,601
MN,71,24,706,1184
MN,71,25,418,794
MN,71,30,253,665
MN,71,35,72,137
MN,71,40,278,608
MN,71,45,516,819
MN,71,50,420,977
MN,71,55,365,556
MN,71,60,481,822
MN,71,65,327,725
MN,71,70,307,727
MN,71,75,453,1157
MN,71,80,379,855
MN,71,85,24,24
MN,71,90,383,238
MN,71,95,366,271
MN,71,100,609,371
MN,71,105,165,570
MN,71,110,308,656
MN,71,111,328,748
MN,71,120,304,713
MN,71,121,200,436
MN,71,122,231,560
MN,71,125,417,1103
MN,71,130,521,942
MN,71,135,539,1030
MN,71,140,627,871
MN,71,145,538,770
MN,71,150,418,1191
MN,71,155,14,44
MN,73,20,243,524
MN,73,25,127,465
MN,73,27,174,356
MN,73,35,394,1061
MN,73,42,0,0
MN,73,45,595,1170
MN,73,50,415,636
MN,73,55,361,299
MN,73,70,226,560
MN,73,85,217,519
MN,73,115,130,455
MN,73,120,67,259
MN,73,125,93,195
MN,73,145,255,548
MN,73,150,43,262
MN,73,155,279,668
MN,73,160,236,680
MN,73,192,130,274
MN,73,230,187,481
MN,73,235,325,908
MN,73,255,403,1282
MN,73,260,328,105
MN,73,265,562,267
MN,73,270,285,137
MN,73,275,341,295
MN,73,280,289,190
MN,73,285,392,453
MN,73,290,654,215
MN,73,295,746,554
MN,73,305,575,802
MN,73,307,657,619
MN,73,310,700,985
MN,73,312,326,338
MN,73,315,310,378
MN,73,317,502,461
MN,73,320,547,455
MN,73,330,358,410
MN,73,335,217,226
MN,73,340,254,245
MN,73,345,749,351
MN,73,350,474,541
MN,73,355,732,1123
MN,73,360,802,1020
MN,73,380,650,447
MN,73,385,832,962
MN,73,390,220,448
MN,73,405,81,351
MN,73,410,377,826
MN,73,414,516,1101
MN,73,415,344,525
MN,73,416,576,860
MN,73,417,280,451
MN,73,418,434,647
MN,73,419,562,810
MN,73,440,310,452
MN,73,441,746,597
MN,73,442,146,254
MN,73,443,35,77
MN,73,445,395,1086
MN,82,105,688,877
MN,82,110,618,925
MN,82,115,716,1305
MN,82,120,588,1024
MN,82,125,1123,1689
MN,82,145,1118,1430
MN,82,150,109,202
MN,82,155,920,1120
MN,82,160,704,981
MN,82,165,251,447
MN,82,210,361,143
MN,82,215,815,942
MN,82,305,1074,1360
MN,86,5,1050,1866
MN,86,10,199,428
MN,86,15,509,801
MN,86,20,1202,1885
MN,86,25,779,1272
MN,86,30,591,995
MN,86,31,35,35
MN,86,35,254,744
MN,86,40,204,515
MN,86,45,238,437
MN,86,50,219,490
MN,86,55,336,799
MN,86,60,134,528
MN,86,65,402,966
MN,86,70,12,14
MN,86,75,1079,1887
MN,86,85,431,1083
MN,86,90,179,411
MN,86,95,422,857
MN,86,96,0,3
MN,86,100,262,494
MN,86,105,305,561
MN,86,110,300,712
MN,86,111,36,74
MN,86,115,273,648
MN,86,120,106,384
MN,86,125,1988,2771
MN,86,130,477,1051
MN,86,135,434,870
MN,86,140,1286,2569
MN,86,141,1033,1929
MN,86,142,117,204
MN,86,145,721,1061
MN,86,150,523,1235
MN,86,155,1104,2123
MN,86,156,1601,2965
MN,86,160,403,906
MN,86,165,25,28
MN,86,170,238,528
MN,86,175,111,329
MN,86,180,122,432
MN,86,185,244,443
MN,86,190,128,441
