DISTRICT,OFFICE,PRECINCT,COUNTY,STATE,DEM,REP
D7,U.S. Representative District 7,5,3,MN,19,25
D7,U.S. Representative District 7,5,4,MN,71,28
D7,U.S. Representative District 7,5,6,MN,68,26
D7,U.S. Representative District 7,5,12,MN,110,40
D7,U.S. Representative District 7,5,14,MN,70,32
D7,U.S. Representative District 7,5,15,MN,203,220
D7,U.S. Representative District 7,5,17,MN,28,50
D7,U.S. Representative District 7,5,21,MN,109,112
D7,U.S. Representative District 7,5,26,MN,145,67
D7,U.S. Representative District 7,5,34,MN,112,85
D7,U.S. Representative District 7,5,35,MN,21,30
D7,U.S. Representative District 7,5,37,MN,20,21
D7,U.S. Representative District 7,5,39,MN,39,77
D7,U.S. Representative District 7,5,41,MN,61,34
D7,U.S. Representative District 7,5,42,MN,39,65
D7,U.S. Representative District 7,5,43,MN,232,341
D7,U.S. Representative District 7,5,44,MN,18,20
D7,U.S. Representative District 7,5,45,MN,58,42
D7,U.S. Representative District 7,5,47,MN,89,91
D7,U.S. Representative District 7,5,51,MN,16,38
D7,U.S. Representative District 7,5,54,MN,229,103
D7,U.S. Representative District 7,5,56,MN,40,65
D7,U.S. Representative District 7,5,57,MN,15,15
D7,U.S. Representative District 7,5,59,MN,40,55
D7,U.S. Representative District 7,5,60,MN,51,24
D7,U.S. Representative District 7,5,61,MN,25,50
D7,U.S. Representative District 7,5,63,MN,13,38
D7,U.S. Representative District 7,5,64,MN,54,73
D7,U.S. Representative District 7,5,65,MN,37,29
D7,U.S. Representative District 7,5,68,MN,83,93
D7,U.S. Representative District 7,5,72,MN,68,89
D7,U.S. Representative District 7,5,73,MN,427,620
D7,U.S. Representative District 7,5,75,MN,26,25
D7,U.S. Representative District 7,5,76,MN,304,249
D7,U.S. Representative District 7,5,77,MN,63,118
D7,U.S. Representative District 7,5,78,MN,10,19
D7,U.S. Representative District 7,5,84,MN,20,51
D7,U.S. Representative District 7,5,87,MN,40,37
D7,U.S. Representative District 7,7,21,MN,627,622
D7,U.S. Representative District 7,10,3,MN,71,120
D7,U.S. Representative District 7,10,4,MN,6,4
D7,U.S. Representative District 7,10,6,MN,37,27
D7,U.S. Representative District 7,10,12,MN,315,301
D7,U.S. Representative District 7,10,14,MN,301,161
D7,U.S. Representative District 7,10,15,MN,26,40
D7,U.S. Representative District 7,10,17,MN,28,40
D7,U.S. Representative District 7,10,21,MN,531,612
D7,U.S. Representative District 7,10,26,MN,109,71
D7,U.S. Representative District 7,10,34,MN,246,200
D7,U.S. Representative District 7,10,35,MN,8,0
D7,U.S. Representative District 7,10,37,MN,34,30
D7,U.S. Representative District 7,10,39,MN,113,100
D7,U.S. Representative District 7,10,41,MN,29,13
D7,U.S. Representative District 7,10,42,MN,133,139
D7,U.S. Representative District 7,10,43,MN,160,286
D7,U.S. Representative District 7,10,44,MN,27,15
