STATE,COUNTY,PRECINCT,DEM,REP
NC,CABARRUS,02-03,633,934
NC,CABARRUS,12-05,258,421
NC,CABARRUS,01-02,224,639
NC,CABARRUS,01-08,536,596
NC,CABARRUS,04-01,305,351
NC,CABARRUS,11-02,240,705
NC,CABARRUS,11-01,609,665
NC,CABARRUS,07-00,82,426
NC,CABARRUS,OS-CFS,2460,2730
NC,CABARRUS,OS-HBP,4459,4348
NC,CABARRUS,02-07,346,565
NC,CABARRUS,OS-KTD,4137,3619
NC,CABARRUS,ABSENTEE,1235,980
NC,CABARRUS,06-00,135,742
NC,CABARRUS,12-09,250,469
NC,CABARRUS,04-04,181,196
NC,CABARRUS,OS-LOB,5418,6820
NC,CABARRUS,04-08,132,293
NC,CABARRUS,04-05,177,188
NC,CABARRUS,04-07,144,376
NC,CABARRUS,10-00,369,1325
NC,CABARRUS,02-08,770,791
NC,CABARRUS,12-11,172,239
NC,CABARRUS,02-01,240,419
NC,CABARRUS,12-02,291,151
NC,CABARRUS,12-01,102,111
NC,CABARRUS,01-09,92,218
NC,CABARRUS,01-06,357,401
NC,CABARRUS,12-06,249,252
NC,CABARRUS,PROVISIONAL,0,0
NC,CABARRUS,12-10,152,265
NC,CABARRUS,04-10,355,538
NC,CABARRUS,02-09,846,706
NC,CABARRUS,02-06,480,409
NC,CABARRUS,02-05,507,768
NC,CABARRUS,01-04,542,600
NC,CABARRUS,02-02,551,710
NC,CABARRUS,03-00,407,831
NC,CABARRUS,12-08,152,193
NC,CABARRUS,12-07,348,29
NC,CABARRUS,01-07,232,456
NC,CABARRUS,09-00,168,765
NC,CABARRUS,08-00,235,1099
NC,CABARRUS,05-00,140,615
NC,CABARRUS,12-12,234,423
NC,CABARRUS,04-02,364,313
NC,CABARRUS,04-09,283,638
NC,CABARRUS,01-10,310,480
NC,CABARRUS,12-03,214,368
NC,CABARRUS,12-04,245,252
NC,CABARRUS,04-06,221,261
NC,CABARRUS,04-03,356,436
NC,CABARRUS,TRANSFER,0,0
NC,CUMBERLAND,CC08,108,294
NC,CUMBERLAND,CC31,257,273
NC,CUMBERLAND,CC34,222,399
NC,CUMBERLAND,G2C-2,274,251
NC,CUMBERLAND,TRANSFER 21-45,0,0
NC,CUMBERLAND,ONE STOP D 21-45,720,711
NC,CUMBERLAND,ONE STOP B 21-45,3995,1112
NC,CUMBERLAND,CC18,151,342
NC,CUMBERLAND,CC13,446,24
NC,CUMBERLAND,CC15,278,515
NC,CUMBERLAND,CC03,162,112
NC,CUMBERLAND,G2A,514,264
NC,CUMBERLAND,G10A,414,552
NC,CUMBERLAND,G4A,198,229
NC,CUMBERLAND,G4B,216,335
NC,CUMBERLAND,LI65,206,559
NC,CUMBERLAND,G8D,262,382
NC,CUMBERLAND,G8B,267,293
NC,CUMBERLAND,CL57-2,437,120
NC,CUMBERLAND,G5B-1,421,70
NC,CUMBERLAND,MB62,441,106
NC,CUMBERLAND,CC33,303,256
NC,CUMBERLAND,CC14,285,503
NC,CUMBERLAND,CC12,154,518
NC,CUMBERLAND,G10C,296,544
NC,CUMBERLAND,G2B,441,303
NC,CUMBERLAND,G10B,327,321
NC,CUMBERLAND,G4C,281,127
NC,CUMBERLAND,G2D,265,370
NC,CUMBERLAND,G2E-1,227,62
NC,CUMBERLAND,G8A,420,307
NC,CUMBERLAND,G8C,295,211
NC,CUMBERLAND,CC21,476,285
NC,CUMBERLAND,CC27,386,96
NC,CUMBERLAND,G11A-2,386,131
NC,CUMBERLAND,AH49,511,272
NC,CUMBERLAND,ONE STOP D 1-20,326,507
NC,CUMBERLAND,PROVISIONAL 21-45,0,0
NC,CUMBERLAND,CC25,235,212
NC,CUMBERLAND,CC26,499,200
NC,CUMBERLAND,LR63,568,183
NC,CUMBERLAND,G5A-1,345,153
NC,CUMBERLAND,ONE STOP C 21-45,4761,2734
NC,CUMBERLAND,G5C,285,216
NC,CUMBERLAND,PROVISIONAL 1-20,0,0
NC,CUMBERLAND,TRANSFER 1-20,1,0
NC,CUMBERLAND,G11A-1,451,118
NC,CUMBERLAND,CC32,237,57
NC,CUMBERLAND,CU02,278,298
NC,CUMBERLAND,G7B,106,398
NC,CUMBERLAND,G2C-1,252,150
NC,CUMBERLAND,G11B,180,131
NC,CUMBERLAND,CC07,120,239
NC,CUMBERLAND,CC04,135,193
NC,CUMBERLAND,ONE STOP A 1-20,3027,2222
NC,CUMBERLAND,ABSENTEE 1-20,517,264
NC,CUMBERLAND,CL57-1,420,186
NC,CUMBERLAND,ONE STOP A 21-45,1068,528
NC,CUMBERLAND,ONE STOP C 1-20,1887,553
NC,CUMBERLAND,G5B-2,300,97
NC,CUMBERLAND,ABSENTEE 21-45,408,238
NC,CUMBERLAND,CC06,154,193
NC,CUMBERLAND,G2E-2,360,53
NC,CUMBERLAND,ONE STOP B 1-20,7189,2481
NC,CUMBERLAND,G5A-2,266,234
NC,CUMBERLAND,CC19,131,8
NC,CUMBERLAND,CC29,329,194
NC,CUMBERLAND,CC17,403,65
NC,CUMBERLAND,CC24,194,153
NC,CUMBERLAND,CC10,159,168
NC,CUMBERLAND,G7A,139,417
NC,CUMBERLAND,MR02,406,272
NC,HOKE,14,1134,518
NC,HOKE,01,79,77
NC,HOKE,63,1008,341
NC,HOKE,02,537,246
NC,HOKE,05,390,340
NC,HOKE,64,539,354
NC,HOKE,65,380,13
NC,HOKE,03,251,121
NC,HOKE,61,481,245
NC,HOKE,06B,955,770
NC,HOKE,13,231,390
NC,HOKE,04,210,270
NC,HOKE,62,307,190
NC,HOKE,15,628,302
NC,HOKE,12,682,944
NC,MOORE,WND,266,492
NC,MOORE,PHA1,327,681
NC,MOORE,PHA2,172,505
NC,MOORE,PHB1,282,586
NC,MOORE,PDN,344,525
NC,MOORE,WKWD,140,334
NC,MOORE,PHC,466,934
