STATE,COUNTY,PRECINCT,DEM,REP
VA,CLARKE COUNTY,PROVISIONAL (10),0.0,0.0
VA,CLARKE COUNTY,AB - CENTRAL ABSENTEE PRECINCT (10),404.0,351.0
VA,CLARKE COUNTY,101 - RUSSELL (10),489.0,828.0
VA,CLARKE COUNTY,201 - BERRYVILLE (10),569.0,519.0
VA,CLARKE COUNTY,301 - MILLWOOD (10),439.0,522.0
VA,CLARKE COUNTY,302 - PINE GROVE (10),190.0,230.0
VA,CLARKE COUNTY,401 - WHITE POST (10),562.0,700.0
VA,CLARKE COUNTY,501 - BUCKMARSH (10),394.0,503.0
VA,CLARKE COUNTY,502 - BLUE RIDGE (10),159.0,192.0
VA,FAIRFAX COUNTY,PROVISIONAL (10),0.0,0.0
VA,FAIRFAX COUNTY,AB - CENTRAL ABSENTEE PRECINCT (10),13480.0,5506.0
VA,FAIRFAX COUNTY,229 - FOX MILL (10),1908.0,929.0
VA,FAIRFAX COUNTY,240 - COLVIN (10),907.0,553.0
VA,FAIRFAX COUNTY,301 - CHAIN BRIDGE (10),1108.0,574.0
VA,FAIRFAX COUNTY,303 - CHURCHILL (10),604.0,262.0
VA,FAIRFAX COUNTY,304 - COOPER (10),679.0,408.0
VA,FAIRFAX COUNTY,306 - GREAT FALLS (10),682.0,534.0
VA,FAIRFAX COUNTY,309 - KENMORE (10),1248.0,672.0
VA,FAIRFAX COUNTY,311 - LANGLEY (10),665.0,416.0
VA,FAIRFAX COUNTY,314 - MCLEAN (10),903.0,402.0
VA,FAIRFAX COUNTY,321 - CLEARVIEW (10),1702.0,785.0
VA,FAIRFAX COUNTY,322 - FORESTVILLE (10),974.0,779.0
VA,FAIRFAX COUNTY,323 - SHOUSE (10),917.0,455.0
VA,FAIRFAX COUNTY,327 - SUGARLAND (10),1440.0,731.0
VA,FAIRFAX COUNTY,328 - HICKORY (10),1134.0,685.0
VA,FAIRFAX COUNTY,329 - SENECA (10),1194.0,792.0
VA,FAIRFAX COUNTY,331 - SPRING HILL (10),776.0,391.0
VA,FAIRFAX COUNTY,803 - CLIFTON (10),1216.0,1268.0
VA,FAIRFAX COUNTY,804 - COLCHESTER (10),641.0,472.0
VA,FAIRFAX COUNTY,805 - FAIRFAX STATION (10),582.0,415.0
VA,FAIRFAX COUNTY,815 - WOODYARD (10),888.0,747.0
VA,FAIRFAX COUNTY,838 - SANGSTER (10),836.0,540.0
VA,FAIRFAX COUNTY,839 - SILVERBROOK (10),1285.0,846.0
VA,FAIRFAX COUNTY,841 - POPES HEAD (10),514.0,453.0
VA,FAIRFAX COUNTY,845 - FOUNTAINHEAD (10),1297.0,1031.0
VA,FAIRFAX COUNTY,847 - GREENBRIAR WEST (10),929.0,456.0
VA,FAIRFAX COUNTY,849 - NEWGATE (10),1734.0,1197.0
VA,FAIRFAX COUNTY,850 - SOUTH RUN (10),1015.0,704.0
VA,FAIRFAX COUNTY,902 - BROOKFIELD (10),1741.0,642.0
VA,FAIRFAX COUNTY,903 - CUB RUN (10),1470.0,791.0
VA,FAIRFAX COUNTY,904 - STONECROFT (10),558.0,366.0
VA,FAIRFAX COUNTY,905 - FRANKLIN (10),385.0,189.0
VA,FAIRFAX COUNTY,908 - HIDDEN MEADOW (10),945.0,504.0
VA,FAIRFAX COUNTY,909 - OAK HILL (10),967.0,424.0
VA,FAIRFAX COUNTY,911 - NAVY (10),1413.0,639.0
VA,FAIRFAX COUNTY,913 - ROCKY RUN (10),1530.0,902.0
VA,FAIRFAX COUNTY,914 - VALE (10),921.0,495.0
VA,FAIRFAX COUNTY,915 - VIRGINIA RUN (10),873.0,783.0
VA,FAIRFAX COUNTY,916 - WAPLES MILL (10),1589.0,919.0
VA,FAIRFAX COUNTY,917 - STONE NORTH (10),835.0,358.0
VA,FAIRFAX COUNTY,920 - CHANTILLY (10),1207.0,491.0
VA,FAIRFAX COUNTY,921 - DEER PARK (10),1254.0,798.0
VA,FAIRFAX COUNTY,923 - BULL RUN (10),791.0,635.0
VA,FAIRFAX COUNTY,925 - OLD MILL (10),740.0,366.0
VA,FAIRFAX COUNTY,927 - ARMFIELD (10),815.0,371.0
VA,FAIRFAX COUNTY,928 - POPLAR TREE (10),1123.0,569.0
