DISTRICT,OFFICE,PRECINCT,COUNTY,STATE,DEM,REP
D8,U.S. Representative District 8,5,1,MN,401,394
D8,U.S. Representative District 8,5,9,MN,97,113
D8,U.S. Representative District 8,5,11,MN,7,26
D8,U.S. Representative District 8,5,13,MN,162,257
D8,U.S. Representative District 8,5,16,MN,115,57
D8,U.S. Representative District 8,5,18,MN,645,873
D8,U.S. Representative District 8,5,29,MN,58,95
D8,U.S. Representative District 8,5,30,MN,305,570
D8,U.S. Representative District 8,5,31,MN,2,12
D8,U.S. Representative District 8,5,33,MN,363,561
D8,U.S. Representative District 8,5,36,MN,31,54
D8,U.S. Representative District 8,5,38,MN,25,40
D8,U.S. Representative District 8,5,48,MN,9,10
D8,U.S. Representative District 8,5,49,MN,59,199
D8,U.S. Representative District 8,5,58,MN,57,88
D8,U.S. Representative District 8,5,69,MN,63,49
D8,U.S. Representative District 8,5,80,MN,5,13
D8,U.S. Representative District 8,6,18,MN,416,497
D8,U.S. Representative District 8,7,18,MN,389,502
D8,U.S. Representative District 8,8,18,MN,331,463
D8,U.S. Representative District 8,10,1,MN,173,302
D8,U.S. Representative District 8,10,9,MN,32,31
D8,U.S. Representative District 8,10,11,MN,33,33
D8,U.S. Representative District 8,10,16,MN,256,120
D8,U.S. Representative District 8,10,18,MN,236,347
D8,U.S. Representative District 8,10,29,MN,119,163
D8,U.S. Representative District 8,10,30,MN,488,989
D8,U.S. Representative District 8,10,31,MN,183,269
D8,U.S. Representative District 8,10,38,MN,69,89
D8,U.S. Representative District 8,10,48,MN,173,455
D8,U.S. Representative District 8,10,49,MN,70,231
D8,U.S. Representative District 8,10,58,MN,18,27
D8,U.S. Representative District 8,10,69,MN,138,88
D8,U.S. Representative District 8,10,80,MN,37,156
D8,U.S. Representative District 8,15,1,MN,71,81
D8,U.S. Representative District 8,15,9,MN,85,74
D8,U.S. Representative District 8,15,11,MN,124,281
D8,U.S. Representative District 8,15,13,MN,181,156
D8,U.S. Representative District 8,15,16,MN,241,93
D8,U.S. Representative District 8,15,18,MN,257,220
D8,U.S. Representative District 8,15,29,MN,115,195
D8,U.S. Representative District 8,15,30,MN,231,357
D8,U.S. Representative District 8,15,31,MN,33,67
D8,U.S. Representative District 8,15,33,MN,0,0
D8,U.S. Representative District 8,15,48,MN,208,493
D8,U.S. Representative District 8,15,49,MN,137,401
D8,U.S. Representative District 8,15,58,MN,62,49
D8,U.S. Representative District 8,15,69,MN,75,32
D8,U.S. Representative District 8,15,80,MN,98,272
D8,U.S. Representative District 8,16,18,MN,392,492
D8,U.S. Representative District 8,20,9,MN,278,294
D8,U.S. Representative District 8,20,13,MN,1042,1482
D8,U.S. Representative District 8,20,16,MN,81,39
D8,U.S. Representative District 8,20,18,MN,280,327
D8,U.S. Representative District 8,20,29,MN,30,27
D8,U.S. Representative District 8,20,30,MN,880,1045
D8,U.S. Representative District 8,20,31,MN,55,68
D8,U.S. Representative District 8,20,33,MN,201,335
D8,U.S. Representative District 8,20,38,MN,74,62
D8,U.S. Representative District 8,20,48,MN,34,45
D8,U.S. Representative District 8,20,49,MN,30,51
D8,U.S. Representative District 8,20,58,MN,82,126
D8,U.S. Representative District 8,20,69,MN,66,60
D8,U.S. Representative District 8,20,80,MN,22,68
D8,U.S. Representative District 8,22,29,MN,16,40
D8,U.S. Representative District 8,22,30,MN,568,848
D8,U.S. Representative District 8,23,36,MN,14,14
D8,U.S. Representative District 8,25,1,MN,34,21
D8,U.S. Representative District 8,25,9,MN,22,35
D8,U.S. Representative District 8,25,11,MN,22,7
D8,U.S. Representative District 8,25,13,MN,499,661
D8,U.S. Representative District 8,25,16,MN,128,90
D8,U.S. Representative District 8,25,18,MN,309,207
D8,U.S. Representative District 8,25,30,MN,404,739
D8,U.S. Representative District 8,25,31,MN,168,183
D8,U.S. Representative District 8,25,33,MN,164,298
D8,U.S. Representative District 8,25,38,MN,138,81
D8,U.S. Representative District 8,25,48,MN,28,57
D8,U.S. Representative District 8,25,49,MN,21,81
D8,U.S. Representative District 8,25,58,MN,57,51
D8,U.S. Representative District 8,25,69,MN,46,36
D8,U.S. Representative District 8,25,80,MN,18,30
D8,U.S. Representative District 8,30,1,MN,36,32
D8,U.S. Representative District 8,30,9,MN,261,228
D8,U.S. Representative District 8,30,11,MN,15,23
D8,U.S. Representative District 8,30,13,MN,549,751
D8,U.S. Representative District 8,30,16,MN,212,124
D8,U.S. Representative District 8,30,18,MN,357,437
D8,U.S. Representative District 8,30,29,MN,72,125
D8,U.S. Representative District 8,30,30,MN,77,229
D8,U.S. Representative District 8,30,31,MN,546,914
D8,U.S. Representative District 8,30,33,MN,24,66
D8,U.S. Representative District 8,30,48,MN,149,199
D8,U.S. Representative District 8,30,49,MN,44,222
D8,U.S. Representative District 8,30,58,MN,53,60
D8,U.S. Representative District 8,30,69,MN,38,21
D8,U.S. Representative District 8,30,80,MN,12,79
D8,U.S. Representative District 8,31,69,MN,27,20
D8,U.S. Representative District 8,32,4,MN,86,85
D8,U.S. Representative District 8,32,80,MN,30,57
D8,U.S. Representative District 8,35,1,MN,10,8
D8,U.S. Representative District 8,35,9,MN,249,154
D8,U.S. Representative District 8,35,11,MN,96,225
D8,U.S. Representative District 8,35,13,MN,369,697
D8,U.S. Representative District 8,35,16,MN,206,102
D8,U.S. Representative District 8,35,18,MN,242,211
D8,U.S. Representative District 8,35,29,MN,203,245
D8,U.S. Representative District 8,35,30,MN,416,748
D8,U.S. Representative District 8,35,31,MN,257,387
D8,U.S. Representative District 8,35,33,MN,138,268
D8,U.S. Representative District 8,35,38,MN,236,194
D8,U.S. Representative District 8,35,48,MN,62,113
D8,U.S. Representative District 8,35,49,MN,34,193
D8,U.S. Representative District 8,35,58,MN,14,13
D8,U.S. Representative District 8,35,69,MN,317,392
D8,U.S. Representative District 8,35,80,MN,16,68
D8,U.S. Representative District 8,37,29,MN,20,24
D8,U.S. Representative District 8,37,30,MN,394,587
D8,U.S. Representative District 8,38,1,MN,11,10
D8,U.S. Representative District 8,40,1,MN,275,352
D8,U.S. Representative District 8,40,9,MN,627,527
D8,U.S. Representative District 8,40,11,MN,156,353
D8,U.S. Representative District 8,40,13,MN,369,485
D8,U.S. Representative District 8,40,16,MN,178,117
D8,U.S. Representative District 8,40,18,MN,313,318
D8,U.S. Representative District 8,40,29,MN,44,85
D8,U.S. Representative District 8,40,30,MN,340,715
D8,U.S. Representative District 8,40,31,MN,49,41
D8,U.S. Representative District 8,40,33,MN,18,29
D8,U.S. Representative District 8,40,38,MN,159,139
D8,U.S. Representative District 8,40,48,MN,163,345
D8,U.S. Representative District 8,40,58,MN,66,96
D8,U.S. Representative District 8,40,69,MN,215,218
D8,U.S. Representative District 8,40,80,MN,20,61
D8,U.S. Representative District 8,42,18,MN,4,2
D8,U.S. Representative District 8,45,1,MN,76,126
D8,U.S. Representative District 8,45,9,MN,483,319
D8,U.S. Representative District 8,45,11,MN,28,34
D8,U.S. Representative District 8,45,13,MN,199,298
D8,U.S. Representative District 8,45,16,MN,61,47
D8,U.S. Representative District 8,45,18,MN,489,590
D8,U.S. Representative District 8,45,29,MN,79,163
D8,U.S. Representative District 8,45,30,MN,128,218
D8,U.S. Representative District 8,45,31,MN,63,49
D8,U.S. Representative District 8,45,33,MN,36,79
D8,U.S. Representative District 8,45,48,MN,63,146
D8,U.S. Representative District 8,45,49,MN,39,153
D8,U.S. Representative District 8,45,58,MN,13,19
D8,U.S. Representative District 8,45,69,MN,11,13
D8,U.S. Representative District 8,45,80,MN,160,346
D8,U.S. Representative District 8,50,1,MN,124,145
D8,U.S. Representative District 8,50,4,MN,23,32
D8,U.S. Representative District 8,50,9,MN,523,357
D8,U.S. Representative District 8,50,11,MN,4,0
D8,U.S. Representative District 8,50,13,MN,490,1014
D8,U.S. Representative District 8,50,16,MN,89,45
D8,U.S. Representative District 8,50,18,MN,190,224
D8,U.S. Representative District 8,50,29,MN,69,113
D8,U.S. Representative District 8,50,30,MN,306,556
D8,U.S. Representative District 8,50,31,MN,44,70
D8,U.S. Representative District 8,50,33,MN,53,129
D8,U.S. Representative District 8,50,36,MN,326,319
