DISTRICT,OFFICE,PRECINCT,COUNTY,STATE,DEM,REP
SEN,U.S. Senator,5,1,MN,452,334
SEN,U.S. Senator,5,2,MN,728,917
SEN,U.S. Senator,5,3,MN,13,31
SEN,U.S. Senator,5,4,MN,70,29
SEN,U.S. Senator,5,5,MN,107,210
SEN,U.S. Senator,5,6,MN,61,31
SEN,U.S. Senator,5,7,MN,95,100
SEN,U.S. Senator,5,8,MN,47,106
SEN,U.S. Senator,5,9,MN,116,97
SEN,U.S. Senator,5,10,MN,174,223
SEN,U.S. Senator,5,11,MN,12,19
SEN,U.S. Senator,5,12,MN,104,41
SEN,U.S. Senator,5,13,MN,202,223
SEN,U.S. Senator,5,14,MN,51,44
SEN,U.S. Senator,5,15,MN,184,224
SEN,U.S. Senator,5,16,MN,125,45
SEN,U.S. Senator,5,17,MN,24,54
SEN,U.S. Senator,5,18,MN,759,759
SEN,U.S. Senator,5,20,MN,77,99
SEN,U.S. Senator,5,21,MN,97,115
SEN,U.S. Senator,5,22,MN,48,75
SEN,U.S. Senator,5,23,MN,89,46
SEN,U.S. Senator,5,24,MN,1119,711
SEN,U.S. Senator,5,25,MN,22,25
SEN,U.S. Senator,5,26,MN,126,77
SEN,U.S. Senator,5,27,MN,798,419
SEN,U.S. Senator,5,28,MN,75,62
SEN,U.S. Senator,5,29,MN,71,80
SEN,U.S. Senator,5,30,MN,378,505
SEN,U.S. Senator,5,31,MN,2,12
SEN,U.S. Senator,5,32,MN,23,47
SEN,U.S. Senator,5,33,MN,486,471
SEN,U.S. Senator,5,34,MN,112,76
SEN,U.S. Senator,5,35,MN,17,33
SEN,U.S. Senator,5,36,MN,44,42
SEN,U.S. Senator,5,37,MN,14,23
SEN,U.S. Senator,5,38,MN,28,35
SEN,U.S. Senator,5,39,MN,34,85
SEN,U.S. Senator,5,40,MN,181,130
SEN,U.S. Senator,5,41,MN,57,37
SEN,U.S. Senator,5,42,MN,44,60
SEN,U.S. Senator,5,43,MN,247,319
SEN,U.S. Senator,5,44,MN,12,24
SEN,U.S. Senator,5,45,MN,48,50
SEN,U.S. Senator,5,46,MN,47,67
SEN,U.S. Senator,5,47,MN,96,81
SEN,U.S. Senator,5,48,MN,14,8
SEN,U.S. Senator,5,49,MN,92,172
SEN,U.S. Senator,5,50,MN,208,140
SEN,U.S. Senator,5,51,MN,18,34
SEN,U.S. Senator,5,52,MN,307,257
SEN,U.S. Senator,5,53,MN,194,225
SEN,U.S. Senator,5,54,MN,189,130
SEN,U.S. Senator,5,55,MN,1320,1156
SEN,U.S. Senator,5,56,MN,40,64
SEN,U.S. Senator,5,57,MN,10,19
SEN,U.S. Senator,5,58,MN,63,80
SEN,U.S. Senator,5,59,MN,32,62
SEN,U.S. Senator,5,60,MN,33,38
SEN,U.S. Senator,5,61,MN,23,52
SEN,U.S. Senator,5,63,MN,13,35
SEN,U.S. Senator,5,64,MN,52,75
SEN,U.S. Senator,5,65,MN,35,30
SEN,U.S. Senator,5,66,MN,673,417
SEN,U.S. Senator,5,67,MN,21,53
SEN,U.S. Senator,5,68,MN,68,96
SEN,U.S. Senator,5,69,MN,75,40
SEN,U.S. Senator,5,70,MN,1331,1334
SEN,U.S. Senator,5,71,MN,530,818
SEN,U.S. Senator,5,72,MN,73,75
SEN,U.S. Senator,5,73,MN,423,593
SEN,U.S. Senator,5,74,MN,106,139
SEN,U.S. Senator,5,75,MN,22,29
SEN,U.S. Senator,5,76,MN,301,232
SEN,U.S. Senator,5,77,MN,62,116
SEN,U.S. Senator,5,78,MN,11,19
SEN,U.S. Senator,5,79,MN,6,10
SEN,U.S. Senator,5,80,MN,9,11
SEN,U.S. Senator,5,81,MN,80,122
SEN,U.S. Senator,5,82,MN,311,158
SEN,U.S. Senator,5,83,MN,48,39
SEN,U.S. Senator,5,84,MN,15,50
SEN,U.S. Senator,5,85,MN,77,101
SEN,U.S. Senator,5,86,MN,1378,1450
SEN,U.S. Senator,5,87,MN,41,35
SEN,U.S. Senator,6,18,MN,475,449
SEN,U.S. Senator,7,18,MN,433,459
SEN,U.S. Senator,7,20,MN,0,0
SEN,U.S. Senator,7,21,MN,641,593
SEN,U.S. Senator,8,18,MN,420,380
SEN,U.S. Senator,10,1,MN,222,255
SEN,U.S. Senator,10,2,MN,757,760
SEN,U.S. Senator,10,3,MN,67,110
SEN,U.S. Senator,10,4,MN,3,7
SEN,U.S. Senator,10,5,MN,344,483
SEN,U.S. Senator,10,6,MN,37,25
SEN,U.S. Senator,10,7,MN,71,100
SEN,U.S. Senator,10,8,MN,44,75
SEN,U.S. Senator,10,9,MN,38,28
SEN,U.S. Senator,10,10,MN,171,295
SEN,U.S. Senator,10,11,MN,40,28
SEN,U.S. Senator,10,12,MN,298,291
SEN,U.S. Senator,10,14,MN,274,168
SEN,U.S. Senator,10,15,MN,27,37
SEN,U.S. Senator,10,16,MN,292,87
SEN,U.S. Senator,10,17,MN,28,40
SEN,U.S. Senator,10,18,MN,268,313
SEN,U.S. Senator,10,20,MN,162,186
SEN,U.S. Senator,10,21,MN,532,579
SEN,U.S. Senator,10,22,MN,236,200
SEN,U.S. Senator,10,23,MN,79,92
SEN,U.S. Senator,10,25,MN,125,145
SEN,U.S. Senator,10,26,MN,99,71
SEN,U.S. Senator,10,27,MN,916,453
SEN,U.S. Senator,10,28,MN,141,110
SEN,U.S. Senator,10,29,MN,141,143
SEN,U.S. Senator,10,30,MN,623,860
SEN,U.S. Senator,10,31,MN,239,222
SEN,U.S. Senator,10,32,MN,18,21
SEN,U.S. Senator,10,34,MN,244,172
SEN,U.S. Senator,10,35,MN,9,1
SEN,U.S. Senator,10,37,MN,29,34
SEN,U.S. Senator,10,38,MN,78,77
SEN,U.S. Senator,10,39,MN,113,98
SEN,U.S. Senator,10,40,MN,216,196
SEN,U.S. Senator,10,41,MN,26,15
SEN,U.S. Senator,10,42,MN,132,128
SEN,U.S. Senator,10,43,MN,168,278
SEN,U.S. Senator,10,44,MN,29,10
SEN,U.S. Senator,10,45,MN,18,28
SEN,U.S. Senator,10,46,MN,39,68
SEN,U.S. Senator,10,47,MN,11,7
SEN,U.S. Senator,10,48,MN,247,387
SEN,U.S. Senator,10,49,MN,94,204
SEN,U.S. Senator,10,50,MN,172,93
SEN,U.S. Senator,10,51,MN,49,46
SEN,U.S. Senator,10,52,MN,57,58
SEN,U.S. Senator,10,53,MN,25,40
SEN,U.S. Senator,10,54,MN,187,149
SEN,U.S. Senator,10,55,MN,760,539
SEN,U.S. Senator,10,56,MN,155,132
SEN,U.S. Senator,10,57,MN,8,17
SEN,U.S. Senator,10,58,MN,23,21
SEN,U.S. Senator,10,59,MN,16,44
SEN,U.S. Senator,10,60,MN,24,24
SEN,U.S. Senator,10,61,MN,33,36
SEN,U.S. Senator,10,62,MN,1420,684
SEN,U.S. Senator,10,63,MN,10,14
SEN,U.S. Senator,10,64,MN,15,75
SEN,U.S. Senator,10,65,MN,38,40
SEN,U.S. Senator,10,66,MN,245,321
SEN,U.S. Senator,10,67,MN,36,75
SEN,U.S. Senator,10,68,MN,27,40
SEN,U.S. Senator,10,69,MN,165,69
SEN,U.S. Senator,10,70,MN,200,255
SEN,U.S. Senator,10,71,MN,683,1021
SEN,U.S. Senator,10,72,MN,428,426
SEN,U.S. Senator,10,73,MN,118,288
SEN,U.S. Senator,10,74,MN,115,154
SEN,U.S. Senator,10,75,MN,22,47
SEN,U.S. Senator,10,76,MN,51,56
