STATE,COUNTY,PRECINCT,DEM,REP
NC,ALLEGHANY,04,158,634
NC,ALLEGHANY,01,170,551
NC,ALLEGHANY,06A,240,624
NC,ALLEGHANY,03A,600,1498
NC,ALEXANDER,S1S2,327,1110
NC,ALEXANDER,W,223,815
NC,ALEXANDER,LRSL,207,910
NC,ALEXANDER,B2,460,1460
NC,ALEXANDER,M,226,641
NC,ALEXANDER,G1G2,236,658
NC,ALEXANDER,T2T3,456,991
NC,ALEXANDER,T1T4T5,535,1534
NC,ALEXANDER,E,338,1002
NC,ALEXANDER,B1,338,1333
NC,CATAWBA,39,460,1062
NC,CATAWBA,38,620,1114
NC,CATAWBA,29,309,877
NC,AVERY,ONE STOP,618,1307
NC,AVERY,15,27,164
NC,AVERY,12,16,108
NC,AVERY,17,24,191
NC,AVERY,03,31,168
NC,AVERY,06,40,238
NC,AVERY,09,18,139
NC,AVERY,01,73,300
NC,AVERY,04,4,23
NC,AVERY,07,11,99
NC,AVERY,11,49,115
NC,AVERY,02,247,527
NC,AVERY,05,8,100
NC,AVERY,08,22,112
NC,AVERY,ABSENTEE MAIL,42,84
NC,AVERY,14,46,222
NC,AVERY,16,129,333
NC,AVERY,19,5,128
NC,AVERY,10,51,291
NC,AVERY,18,22,100
NC,AVERY,13,51,143
NC,AVERY,PROVISIONAL,0,0
NC,ASHE,14,139,330
NC,ASHE,16,159,410
NC,ASHE,20,226,530
NC,ASHE,ABSENTEE MAIL,114,176
NC,ASHE,04,58,103
NC,ASHE,07,44,94
NC,ASHE,02,114,343
NC,ASHE,PROVISIONAL,0,0
NC,ASHE,11,177,417
NC,ASHE,08,26,41
NC,ASHE,09,259,556
NC,ASHE,06,49,139
NC,ASHE,03,29,166
NC,ASHE,10,23,59
NC,ASHE,ONE STOP,2068,3484
NC,ASHE,13,95,296
NC,ASHE,18,17,53
NC,ASHE,15,64,265
NC,ASHE,12,88,226
NC,ASHE,17,59,238
NC,FORSYTH,401,640,58
NC,FORSYTH,403,549,39
NC,FORSYTH,606,531,240
NC,FORSYTH,603,911,193
NC,FORSYTH,042,937,737
NC,FORSYTH,034,410,734
NC,FORSYTH,033,742,485
NC,FORSYTH,101,680,538
NC,FORSYTH,803,517,659
NC,FORSYTH,ABSENTEE,1520,1252
NC,FORSYTH,206,696,71
NC,FORSYTH,203,618,11
NC,FORSYTH,201,1578,226
NC,FORSYTH,091,330,856
NC,FORSYTH,071,903,1196
NC,FORSYTH,707,472,293
NC,FORSYTH,031,469,648
NC,FORSYTH,809,885,844
NC,FORSYTH,806,533,600
NC,FORSYTH,907,698,376
NC,FORSYTH,902,824,131
NC,FORSYTH,304,1226,40
NC,FORSYTH,506,474,259
NC,FORSYTH,501,949,76
NC,FORSYTH,607,818,464
NC,FORSYTH,051,673,937
NC,FORSYTH,012,350,1023
NC,FORSYTH,015,481,807
NC,FORSYTH,904,825,205
NC,FORSYTH,302,370,19
NC,FORSYTH,702,789,296
NC,FORSYTH,701,450,399
NC,FORSYTH,054,673,1023
NC,FORSYTH,067,374,478
NC,FORSYTH,062,413,744
NC,FORSYTH,083,645,315
NC,FORSYTH,082,1418,946
NC,FORSYTH,123,826,713
NC,FORSYTH,402,486,13
NC,FORSYTH,404,878,168
NC,FORSYTH,405,679,22
NC,FORSYTH,072,1279,1747
NC,FORSYTH,073,591,1280
NC,FORSYTH,122,1911,1044
NC,FORSYTH,092,293,737
NC,FORSYTH,802,548,516
NC,FORSYTH,805,853,753
NC,FORSYTH,204,577,34
NC,FORSYTH,808,1129,503
NC,FORSYTH,011,1143,1406
NC,FORSYTH,014,372,780
NC,FORSYTH,075,118,306
NC,FORSYTH,112,500,991
NC,FORSYTH,703,546,230
NC,FORSYTH,704,803,273
NC,FORSYTH,303,240,8
NC,FORSYTH,301,297,7
NC,FORSYTH,132,1102,1241
NC,FORSYTH,605,1122,507
NC,FORSYTH,602,1442,764
NC,FORSYTH,306,507,90
NC,FORSYTH,909,456,321
NC,FORSYTH,074,910,817
NC,FORSYTH,111,247,741
NC,FORSYTH,133,1403,1984
NC,FORSYTH,081,1043,578
NC,FORSYTH,064,250,372
NC,FORSYTH,066,358,779
NC,FORSYTH,061,459,645
NC,FORSYTH,207,827,159
NC,FORSYTH,708,1337,894
NC,FORSYTH,305,665,18
NC,FORSYTH,503,558,106
NC,FORSYTH,502,534,36
NC,FORSYTH,052,319,443
NC,FORSYTH,055,856,1261
NC,FORSYTH,906,1145,718
NC,FORSYTH,901,802,409
NC,FORSYTH,709,1008,613
NC,FORSYTH,205,324,14
NC,FORSYTH,068,519,975
NC,FORSYTH,065,786,1449
NC,FORSYTH,021,421,1495
NC,FORSYTH,801,516,330
NC,FORSYTH,ONE STOP,2210,1292
NC,FORSYTH,905,752,258
NC,FORSYTH,804,451,426
NC,FORSYTH,807,603,580
NC,FORSYTH,504,409,61
