STATE,COUNTY,PRECINCT,DEM,REP
NE,ADAMS,1-A,287.0,139.0
NE,ADAMS,1-B,192.0,121.0
NE,ADAMS,1-C,177.0,119.0
NE,ADAMS,2-A,130.0,47.0
NE,ADAMS,2-B,291.0,123.0
NE,ADAMS,2-C,222.0,107.0
NE,ADAMS,2-D,416.0,190.0
NE,ADAMS,2-E,235.0,118.0
NE,ADAMS,3-A,189.0,158.0
NE,ADAMS,3-B,173.0,164.0
NE,ADAMS,3-C,222.0,155.0
NE,ADAMS,3-D,56.0,38.0
NE,ADAMS,3-E,501.0,207.0
NE,ADAMS,4-A,148.0,140.0
NE,ADAMS,4-B,172.0,150.0
NE,ADAMS,4-C,90.0,85.0
NE,ADAMS,4-D,323.0,196.0
NE,ADAMS,4-E,96.0,26.0
NE,ADAMS,AYR,167.0,47.0
NE,ADAMS,BLAINE,38.0,4.0
NE,ADAMS,COUNTYWIDE,0.0,0.0
NE,ADAMS,DENVER,307.0,86.0
NE,ADAMS,HOLSTEIN,94.0,11.0
NE,ADAMS,JUNIATA,247.0,73.0
NE,ADAMS,KENESAW,302.0,66.0
NE,ADAMS,PAULINE,82.0,26.0
NE,ADAMS,ROSELAND,130.0,28.0
NE,ADAMS,VERONA,80.0,17.0
NE,ADAMS,WESTBLUE/HIGHLAND,189.0,32.0
NE,ANTELOPE,BRUNSWICK PRECINCT,187.0,19.0
NE,ANTELOPE,CLEARWATER PRECINCT,246.0,33.0
NE,ANTELOPE,COUNTYWIDE,0.0,0.0
NE,ANTELOPE,ELGIN 1ST WARD,93.0,14.0
NE,ANTELOPE,ELGIN 2ND WARD,120.0,15.0
NE,ANTELOPE,ELGIN PRECINCT,132.0,15.0
NE,ANTELOPE,NELIGH 1ST WARD,215.0,52.0
NE,ANTELOPE,NELIGH 2ND WARD,157.0,35.0
NE,ANTELOPE,NELIGH PRECINCT,141.0,26.0
NE,ANTELOPE,OAKDALE PRECINCT,137.0,25.0
NE,ANTELOPE,ORCHARD PRECINCT,161.0,39.0
NE,ANTELOPE,ROYAL PRECINCT,77.0,11.0
NE,ANTELOPE,TILDEN 1ST WARD,73.0,18.0
NE,ANTELOPE,TILDEN PRECINCT,69.0,18.0
NE,ARTHUR,ARTHUR,0.0,0.0
NE,ARTHUR,COUNTYWIDE,202.0,24.0
NE,BANNER,COUNTYWIDE,0.0,0.0
NE,BANNER,LONG SPRINGS,213.0,32.0
NE,BLAINE,BLAINE,166.0,24.0
NE,BLAINE,COUNTYWIDE,0.0,0.0
NE,BOONE,BEAVER,237.0,45.0
NE,BOONE,BOONE,96.0,16.0
NE,BOONE,CEDAR,200.0,81.0
NE,BOONE,COUNTYWIDE,0.0,0.0
NE,BOONE,DUBLIN-BONANZA,78.0,27.0
NE,BOONE,NORTH BRANCH-SHELL CREEK,72.0,10.0
NE,BOONE,NORTH MANCHESTER,196.0,45.0
NE,BOONE,OAKLAND,283.0,70.0
NE,BOONE,SOUTHEAST MANCHESTER,239.0,79.0
NE,BOONE,SOUTHWEST MANCHESTER,229.0,49.0
NE,BOX BUTTE,COUNTYWIDE,0.0,0.0
NE,BOX BUTTE,PRECINCT 1,187.0,81.0
NE,BOX BUTTE,PRECINCT 11,151.0,15.0
NE,BOX BUTTE,PRECINCT 12,147.0,12.0
NE,BOX BUTTE,PRECINCT 15,346.0,61.0
NE,BOX BUTTE,PRECINCT 2,205.0,69.0
NE,BOX BUTTE,PRECINCT 3,174.0,81.0
NE,BOX BUTTE,PRECINCT 4,217.0,69.0
NE,BOX BUTTE,PRECINCT 5,306.0,81.0
NE,BOX BUTTE,PRECINCT 6,275.0,85.0
NE,BOYD,BUTTE BASIN MCCULLEY,216.0,31.0
NE,BOYD,COUNTYWIDE,0.0,0.0
NE,BOYD,LYNCH BRISTOW MULLEN BUSH,144.0,22.0
NE,BOYD,SPENCER MORTON,279.0,50.0
NE,BROWN,AINSWORTH PRECINCT,368.0,42.0
NE,BROWN,CITY OF AINSWORTH,556.0,107.0
NE,BROWN,COUNTYWIDE,0.0,0.0
NE,BROWN,THE PINES,225.0,39.0
NE,BUFFALO,COUNTYWIDE,0.0,0.0
NE,BUFFALO,PRECINCT 1,504.0,215.0
NE,BUFFALO,PRECINCT 10,515.0,299.0
NE,BUFFALO,PRECINCT 11,235.0,150.0
NE,BUFFALO,PRECINCT 12,253.0,240.0
NE,BUFFALO,PRECINCT 13,650.0,342.0
NE,BUFFALO,PRECINCT 14,494.0,267.0
NE,BUFFALO,PRECINCT 15,186.0,27.0
NE,BUFFALO,PRECINCT 16,311.0,81.0
NE,BUFFALO,PRECINCT 17,156.0,39.0
NE,BUFFALO,PRECINCT 18,383.0,157.0
NE,BUFFALO,PRECINCT 19,358.0,60.0
NE,BUFFALO,PRECINCT 2,353.0,202.0
NE,BUFFALO,PRECINCT 20,588.0,154.0
NE,BUFFALO,PRECINCT 21,297.0,58.0
NE,BUFFALO,PRECINCT 22,171.0,38.0
NE,BUFFALO,PRECINCT 23,173.0,73.0
NE,BUFFALO,PRECINCT 24,349.0,140.0
NE,BUFFALO,PRECINCT 25,340.0,98.0
NE,BUFFALO,PRECINCT 26,384.0,109.0
NE,BUFFALO,PRECINCT 27,157.0,83.0
NE,BUFFALO,PRECINCT 28,368.0,81.0
NE,BUFFALO,PRECINCT 29,310.0,65.0
NE,BUFFALO,PRECINCT 3,558.0,251.0
NE,BUFFALO,PRECINCT 4,760.0,323.0
NE,BUFFALO,PRECINCT 5,345.0,169.0
NE,BUFFALO,PRECINCT 6,650.0,316.0
NE,BUFFALO,PRECINCT 7,413.0,302.0
NE,BUFFALO,PRECINCT 8,260.0,132.0
NE,BUFFALO,PRECINCT 9,336.0,235.0
NE,BURT,ARIZONA-RIVERSIDE,91.0,31.0
NE,BURT,BELL-OAK-PERSH,180.0,35.0
NE,BURT,COUNTYWIDE,0.0,0.0
NE,BURT,CRAIG,119.0,40.0
NE,BURT,DECATUR-QUINN,144.0,92.0
NE,BURT,EVERETT-LOGAN,123.0,25.0
NE,BURT,LYONS CITY,187.0,88.0
NE,BURT,OAKLAND I,195.0,54.0
NE,BURT,OAKLAND II,189.0,46.0
NE,BURT,SILVERCREEK-SUMMIT,145.0,54.0
NE,BURT,TEKAMAH I,184.0,109.0
NE,BURT,TEKAMAH II,185.0,89.0
NE,BUTLER,COUNTYWIDE,0.0,0.0
NE,BUTLER,FIRST WARD,156.0,63.0
NE,BUTLER,FRANKLIN-BONE CREEK,158.0,39.0
NE,BUTLER,LINWOOD-SKULL CREEK-PLATTE,179.0,62.0
NE,BUTLER,OAK CREEK-CENTER,200.0,100.0
NE,BUTLER,PLUM CREEK-RICHARDSON,189.0,73.0
NE,BUTLER,READ-ULYSSES,140.0,43.0
NE,BUTLER,SAVANNAH-ALEXIS,314.0,92.0
NE,BUTLER,SECOND WARD,230.0,82.0
NE,BUTLER,SUMMIT-READING,191.0,64.0
NE,BUTLER,THIRD WARD,271.0,90.0
NE,BUTLER,UNION-OLIVE,157.0,29.0
NE,CASS,1ST WARD - 1ST PRECINCT,148.0,97.0
NE,CASS,1ST WARD - 2ND PRECINCT,146.0,87.0
NE,CASS,2ND WARD - 1ST PRECINCT,167.0,98.0
NE,CASS,2ND WARD - 2ND PRECINCT,133.0,89.0
NE,CASS,3RD WARD - 1ST PRECINCT,161.0,78.0
NE,CASS,3RD WARD - 2ND PRECINCT,138.0,81.0
NE,CASS,4TH WARD - 1ST PRECINCT,116.0,73.0
NE,CASS,4TH WARD - 2ND PRECINCT,149.0,95.0
NE,CASS,AVOCA,105.0,49.0
NE,CASS,BUCCANEER BAY,413.0,214.0
NE,CASS,CENTER,163.0,75.0
NE,CASS,COUNTYWIDE,0.0,0.0
NE,CASS,EAST LOUISVILLE,226.0,140.0
NE,CASS,EIGHT MILE GROVE,340.0,154.0
NE,CASS,LIBERTY,161.0,83.0
NE,CASS,MCKELVERLY,119.0,60.0
NE,CASS,MOUNT PLEASANT,64.0,20.0
NE,CASS,MURDOCK,186.0,92.0
NE,CASS,NEHAWKA,92.0,45.0
NE,CASS,NORTH PLATTSMOUTH,303.0,120.0
NE,CASS,NORTH ROCK BLUFF,295.0,144.0
NE,CASS,SALT CREEK,225.0,138.0
NE,CASS,SOUTH BEND,299.0,125.0
NE,CASS,SOUTH PLATTSMOUTH,440.0,166.0
NE,CASS,SOUTH ROCK BLUFF,545.0,218.0
NE,CASS,STOVE CREEK,272.0,165.0
NE,CASS,TIPTON,558.0,294.0
NE,CASS,WEEPING WATER 1ST WARD,131.0,79.0
NE,CASS,WEEPING WATER 2ND WARD,129.0,87.0
NE,CASS,WEST LOUISVILLE,345.0,133.0
NE,CASS,WEST ROCK BLUFF,215.0,93.0
NE,CEDAR,COUNTYWIDE,0.0,0.0
NE,CEDAR,PRECICNT 10 (17-18),90.0,9.0
NE,CEDAR,PRECICNT 13 (21),364.0,52.0
NE,CEDAR,PRECICNT 3 (4),142.0,20.0
NE,CEDAR,PRECICNT 4 (5-6-7),160.0,33.0
NE,CEDAR,PRECICNT 7 (9A),57.0,19.0
NE,CEDAR,PRECINCT 1 (1),114.0,37.0
NE,CEDAR,PRECINCT 11 (19),306.0,58.0
NE,CEDAR,PRECINCT 12 (20),88.0,30.0
NE,CEDAR,PRECINCT 2 (2-3),267.0,44.0
NE,CEDAR,PRECINCT 5 (13-14),107.0,25.0
NE,CEDAR,PRECINCT 6 (8-9),511.0,98.0
NE,CEDAR,PRECINCT 8 (10-11-12),178.0,19.0
NE,CEDAR,PRECINCT 9 (15-16),225.0,27.0
NE,CHASE,CHAMPION/LAMAR,186.0,15.0
NE,CHASE,COUNTYWIDE,0.0,0.0
NE,CHASE,IMPERIAL EAST,232.0,37.0
NE,CHASE,IMPERIAL RURAL,238.0,27.0
NE,CHASE,IMPERIAL WEST,435.0,67.0
NE,CHASE,WAUNETA,238.0,36.0
NE,CHERRY,BARLEY,30.0,1.0
NE,CHERRY,CLEVELAND,49.0,9.0
NE,CHERRY,CODY,155.0,12.0
NE,CHERRY,COUNTYWIDE,0.0,0.0
NE,CHERRY,CROOKSTON,63.0,5.0
NE,CHERRY,GILLASPIE,24.0,3.0
NE,CHERRY,GOOSE CREEK,62.0,0.0
NE,CHERRY,KENNEDY,15.0,1.0
NE,CHERRY,KILGORE,61.0,3.0
NE,CHERRY,KING,17.0,0.0
NE,CHERRY,LACKEY,46.0,2.0
NE,CHERRY,LOUP,94.0,9.0
NE,CHERRY,MERRIMAN,83.0,12.0
NE,CHERRY,MOTHER LAKE,35.0,2.0
NE,CHERRY,NENZEL,26.0,2.0
