STATE,COUNTY,PRECINCT,REP,DEM,LLOYD J PRINCETON
NM,BERNALILLO,2,237.0,265.0,29.0
NM,BERNALILLO,3,286.0,384.0,21.0
NM,BERNALILLO,4,197.0,282.0,26.0
NM,BERNALILLO,5,159.0,308.0,17.0
NM,BERNALILLO,6,373.0,502.0,37.0
NM,BERNALILLO,7,335.0,571.0,38.0
NM,BERNALILLO,8,94.0,164.0,22.0
NM,BERNALILLO,9,173.0,254.0,18.0
NM,BERNALILLO,10,196.0,297.0,19.0
NM,BERNALILLO,11,189.0,499.0,29.0
NM,BERNALILLO,12,163.0,390.0,27.0
NM,BERNALILLO,13,184.0,347.0,32.0
NM,BERNALILLO,14,140.0,327.0,22.0
NM,BERNALILLO,15,227.0,333.0,29.0
NM,BERNALILLO,16,127.0,246.0,22.0
NM,BERNALILLO,17,214.0,424.0,40.0
NM,BERNALILLO,18,194.0,390.0,22.0
NM,BERNALILLO,19,527.0,562.0,39.0
NM,BERNALILLO,20,338.0,482.0,37.0
NM,BERNALILLO,21,426.0,659.0,42.0
NM,BERNALILLO,22,243.0,290.0,34.0
NM,BERNALILLO,23,235.0,400.0,34.0
NM,BERNALILLO,24,407.0,632.0,68.0
NM,BERNALILLO,25,393.0,519.0,46.0
NM,BERNALILLO,26,234.0,487.0,31.0
NM,BERNALILLO,27,89.0,282.0,16.0
NM,BERNALILLO,28,79.0,201.0,20.0
NM,BERNALILLO,29,146.0,295.0,21.0
NM,BERNALILLO,30,518.0,798.0,41.0
NM,BERNALILLO,31,56.0,328.0,11.0
NM,BERNALILLO,32,118.0,314.0,18.0
NM,BERNALILLO,33,98.0,415.0,25.0
NM,BERNALILLO,34,51.0,160.0,11.0
NM,BERNALILLO,35,86.0,184.0,12.0
NM,BERNALILLO,36,59.0,257.0,17.0
NM,BERNALILLO,37,166.0,366.0,25.0
NM,BERNALILLO,38,143.0,385.0,29.0
NM,BERNALILLO,39,160.0,363.0,24.0
NM,BERNALILLO,40,99.0,252.0,18.0
NM,BERNALILLO,41,197.0,440.0,24.0
NM,BERNALILLO,42,92.0,251.0,24.0
NM,BERNALILLO,43,119.0,300.0,24.0
NM,BERNALILLO,44,201.0,475.0,18.0
NM,BERNALILLO,45,97.0,217.0,10.0
NM,BERNALILLO,46,147.0,375.0,12.0
NM,BERNALILLO,47,60.0,123.0,4.0
NM,BERNALILLO,48,113.0,389.0,17.0
NM,BERNALILLO,49,117.0,471.0,17.0
NM,BERNALILLO,50,237.0,620.0,26.0
NM,BERNALILLO,51,66.0,280.0,12.0
NM,BERNALILLO,52,261.0,683.0,50.0
NM,BERNALILLO,53,79.0,228.0,15.0
NM,BERNALILLO,54,281.0,631.0,51.0
NM,BERNALILLO,55,118.0,284.0,22.0
NM,BERNALILLO,56,176.0,340.0,21.0
NM,BERNALILLO,57,425.0,604.0,32.0
NM,BERNALILLO,58,35.0,83.0,5.0
NM,BERNALILLO,59,187.0,492.0,35.0
NM,BERNALILLO,60,175.0,455.0,29.0
NM,BERNALILLO,61,75.0,273.0,18.0
NM,BERNALILLO,62,75.0,207.0,7.0
NM,BERNALILLO,63,45.0,162.0,6.0
NM,BERNALILLO,64,30.0,126.0,7.0
NM,BERNALILLO,65,93.0,268.0,14.0
NM,BERNALILLO,66,128.0,253.0,15.0
NM,BERNALILLO,67,82.0,340.0,11.0
NM,BERNALILLO,68,406.0,487.0,58.0
NM,BERNALILLO,69,580.0,688.0,58.0
NM,BERNALILLO,70,356.0,627.0,40.0
NM,BERNALILLO,71,117.0,344.0,10.0
NM,BERNALILLO,72,46.0,183.0,8.0
NM,BERNALILLO,73,217.0,367.0,23.0
NM,BERNALILLO,74,121.0,241.0,18.0
NM,BERNALILLO,75,61.0,171.0,6.0
NM,BERNALILLO,76,114.0,246.0,23.0
NM,BERNALILLO,77,121.0,227.0,24.0
NM,BERNALILLO,78,314.0,517.0,49.0
NM,BERNALILLO,79,547.0,575.0,51.0
NM,BERNALILLO,81,733.0,972.0,83.0
NM,BERNALILLO,82,395.0,410.0,44.0
NM,BERNALILLO,83,505.0,730.0,49.0
NM,BERNALILLO,86,178.0,266.0,18.0
NM,BERNALILLO,87,252.0,348.0,28.0
NM,BERNALILLO,88,108.0,223.0,12.0
NM,BERNALILLO,89,157.0,216.0,22.0
NM,BERNALILLO,90,163.0,346.0,34.0
NM,BERNALILLO,91,251.0,381.0,28.0
NM,BERNALILLO,92,206.0,315.0,21.0
NM,BERNALILLO,94,33.0,100.0,12.0
NM,BERNALILLO,95,35.0,170.0,5.0
NM,BERNALILLO,96,184.0,274.0,22.0
NM,BERNALILLO,97,282.0,393.0,24.0
NM,BERNALILLO,98,117.0,350.0,17.0
NM,BERNALILLO,99,230.0,329.0,25.0
NM,BERNALILLO,101,46.0,377.0,19.0
NM,BERNALILLO,102,30.0,235.0,14.0
NM,BERNALILLO,103,90.0,408.0,27.0
NM,BERNALILLO,104,16.0,106.0,2.0
NM,BERNALILLO,105,20.0,108.0,3.0
NM,BERNALILLO,106,77.0,334.0,14.0
NM,BERNALILLO,107,42.0,332.0,30.0
NM,BERNALILLO,108,133.0,163.0,8.0
NM,BERNALILLO,109,10.0,29.0,0.0
NM,BERNALILLO,110,225.0,286.0,39.0
NM,BERNALILLO,111,306.0,527.0,55.0
NM,BERNALILLO,112,410.0,503.0,60.0
NM,BERNALILLO,113,253.0,302.0,30.0
NM,BERNALILLO,114,691.0,714.0,69.0
NM,BERNALILLO,116,264.0,240.0,19.0
NM,BERNALILLO,119,314.0,611.0,50.0
NM,BERNALILLO,120,213.0,484.0,36.0
NM,BERNALILLO,121,146.0,517.0,18.0
NM,BERNALILLO,122,45.0,227.0,6.0
NM,BERNALILLO,123,61.0,387.0,14.0
NM,BERNALILLO,124,24.0,270.0,16.0
NM,BERNALILLO,125,57.0,317.0,12.0
NM,BERNALILLO,131,46.0,187.0,9.0
NM,BERNALILLO,132,43.0,286.0,27.0
NM,BERNALILLO,133,28.0,203.0,7.0
NM,BERNALILLO,134,459.0,875.0,69.0
NM,BERNALILLO,135,43.0,267.0,12.0
NM,BERNALILLO,136,173.0,444.0,26.0
NM,BERNALILLO,137,108.0,241.0,23.0
NM,BERNALILLO,138,142.0,388.0,25.0
NM,BERNALILLO,139,70.0,180.0,10.0
NM,BERNALILLO,140,96.0,261.0,19.0
NM,BERNALILLO,141,132.0,309.0,22.0
NM,BERNALILLO,142,192.0,452.0,26.0
NM,BERNALILLO,143,74.0,166.0,8.0
NM,BERNALILLO,144,166.0,275.0,21.0
NM,BERNALILLO,150,202.0,604.0,26.0
NM,BERNALILLO,151,104.0,408.0,15.0
NM,BERNALILLO,152,92.0,361.0,13.0
NM,BERNALILLO,153,89.0,342.0,13.0
NM,BERNALILLO,154,179.0,620.0,38.0
NM,BERNALILLO,161,43.0,187.0,5.0
NM,BERNALILLO,162,89.0,488.0,22.0
NM,BERNALILLO,163,40.0,235.0,7.0
NM,BERNALILLO,164,54.0,231.0,16.0
NM,BERNALILLO,165,36.0,287.0,5.0
NM,BERNALILLO,166,26.0,273.0,4.0
NM,BERNALILLO,170,342.0,560.0,61.0
NM,BERNALILLO,171,329.0,500.0,30.0
NM,BERNALILLO,180,87.0,198.0,16.0
NM,BERNALILLO,181,156.0,587.0,21.0
NM,BERNALILLO,182,96.0,256.0,13.0
NM,BERNALILLO,183,188.0,486.0,26.0
NM,BERNALILLO,184,98.0,313.0,13.0
NM,BERNALILLO,185,198.0,591.0,19.0
NM,BERNALILLO,186,154.0,456.0,15.0
NM,BERNALILLO,187,95.0,402.0,24.0
NM,BERNALILLO,191,79.0,221.0,16.0
NM,BERNALILLO,192,62.0,280.0,25.0
NM,BERNALILLO,193,107.0,285.0,19.0
NM,BERNALILLO,194,113.0,307.0,13.0
NM,BERNALILLO,195,52.0,221.0,15.0
NM,BERNALILLO,196,53.0,145.0,6.0
NM,BERNALILLO,197,72.0,279.0,21.0
NM,BERNALILLO,211,28.0,173.0,10.0
NM,BERNALILLO,212,41.0,274.0,14.0
NM,BERNALILLO,214,33.0,281.0,10.0
NM,BERNALILLO,215,25.0,191.0,7.0
NM,BERNALILLO,216,65.0,243.0,9.0
NM,BERNALILLO,217,15.0,54.0,5.0
NM,BERNALILLO,221,66.0,453.0,25.0
NM,BERNALILLO,223,18.0,195.0,5.0
NM,BERNALILLO,224,36.0,186.0,12.0
NM,BERNALILLO,225,13.0,83.0,3.0
NM,BERNALILLO,226,25.0,162.0,6.0
NM,BERNALILLO,241,32.0,231.0,11.0
NM,BERNALILLO,242,27.0,291.0,17.0
NM,BERNALILLO,243,32.0,348.0,18.0
NM,BERNALILLO,244,66.0,451.0,16.0
NM,BERNALILLO,245,37.0,355.0,20.0
NM,BERNALILLO,246,38.0,167.0,10.0
NM,BERNALILLO,251,46.0,283.0,17.0
NM,BERNALILLO,252,55.0,334.0,16.0
NM,BERNALILLO,253,96.0,496.0,23.0
NM,BERNALILLO,254,93.0,430.0,21.0
NM,BERNALILLO,255,92.0,408.0,22.0
NM,BERNALILLO,256,55.0,366.0,13.0
NM,BERNALILLO,257,0.0,0.0,0.0
NM,BERNALILLO,258,87.0,84.0,13.0
NM,BERNALILLO,271,82.0,372.0,14.0
NM,BERNALILLO,272,57.0,343.0,21.0
NM,BERNALILLO,273,117.0,390.0,18.0
