STATE,COUNTY,PRECINCT,REP,DEM
NM,BERNALILLO,93,165.0,526.0
NM,CATRON,1,206.0,109.0
NM,CATRON,2,297.0,90.0
NM,CATRON,3,161.0,101.0
NM,CATRON,4,144.0,53.0
NM,CATRON,5,381.0,167.0
NM,CATRON,6,62.0,31.0
NM,CHAVES,1,254.0,79.0
NM,CHAVES,2,210.0,91.0
NM,CHAVES,3,225.0,121.0
NM,CHAVES,4,224.0,114.0
NM,CHAVES,5,675.0,237.0
NM,CHAVES,6,243.0,97.0
NM,CHAVES,7,352.0,124.0
NM,CHAVES,9,465.0,152.0
NM,CHAVES,10,457.0,84.0
NM,CHAVES,11,524.0,170.0
NM,CHAVES,12,266.0,48.0
NM,CHAVES,13,218.0,156.0
NM,CHAVES,14,184.0,159.0
NM,CHAVES,15,125.0,89.0
NM,CHAVES,16,143.0,79.0
NM,CHAVES,21,535.0,237.0
NM,CHAVES,22,262.0,171.0
NM,CHAVES,23,135.0,97.0
NM,CHAVES,24,78.0,77.0
NM,CHAVES,25,99.0,88.0
NM,CHAVES,31,176.0,135.0
NM,CHAVES,32,72.0,81.0
NM,CHAVES,33,99.0,94.0
NM,CHAVES,34,64.0,90.0
NM,CHAVES,35,132.0,120.0
NM,CHAVES,36,307.0,116.0
NM,CHAVES,41,419.0,176.0
NM,CHAVES,42,58.0,91.0
NM,CHAVES,43,67.0,120.0
NM,CHAVES,44,14.0,3.0
NM,CHAVES,45,15.0,0.0
NM,CHAVES,46,72.0,13.0
NM,CHAVES,47,3.0,0.0
NM,CHAVES,51,36.0,58.0
NM,CHAVES,52,177.0,120.0
NM,CHAVES,61,35.0,115.0
NM,CHAVES,62,54.0,127.0
NM,CHAVES,63,104.0,302.0
NM,CHAVES,71,224.0,67.0
NM,CHAVES,72,191.0,180.0
NM,CHAVES,73,129.0,47.0
NM,CHAVES,81,78.0,74.0
NM,CHAVES,82,144.0,107.0
NM,CHAVES,83,118.0,50.0
NM,CHAVES,84,191.0,117.0
NM,CHAVES,85,140.0,78.0
NM,CHAVES,90,96.0,107.0
NM,CHAVES,91,227.0,180.0
NM,CHAVES,92,105.0,67.0
NM,CHAVES,93,249.0,175.0
NM,CHAVES,94,112.0,160.0
NM,CHAVES,101,411.0,211.0
NM,CHAVES,102,312.0,136.0
NM,CHAVES,103,118.0,42.0
NM,CHAVES,104,65.0,4.0
NM,CIBOLA,1,82.0,22.0
NM,CIBOLA,2,49.0,120.0
NM,CIBOLA,3,28.0,38.0
NM,CIBOLA,4,171.0,66.0
NM,CIBOLA,5,205.0,684.0
NM,CIBOLA,6,45.0,30.0
NM,CIBOLA,7,156.0,166.0
NM,CIBOLA,8,109.0,166.0
NM,CIBOLA,9,165.0,184.0
NM,CIBOLA,10,76.0,119.0
NM,CIBOLA,11,133.0,215.0
NM,CIBOLA,12,80.0,97.0
NM,CIBOLA,13,82.0,108.0
NM,CIBOLA,14,199.0,118.0
NM,CIBOLA,15,308.0,294.0
NM,CIBOLA,16,102.0,110.0
NM,CIBOLA,17,53.0,457.0
