STATE,COUNTY,PRECINCT,REP,DEM,CHRISTOPHER MANNING
NM,BERNALILLO,1,266.0,398.0,37.0
NM,BERNALILLO,80,389.0,595.0,64.0
NM,BERNALILLO,84,329.0,456.0,50.0
NM,BERNALILLO,85,605.0,792.0,85.0
NM,BERNALILLO,115,677.0,956.0,101.0
NM,BERNALILLO,117,588.0,712.0,93.0
NM,BERNALILLO,118,399.0,529.0,73.0
NM,BERNALILLO,127,534.0,739.0,98.0
NM,BERNALILLO,128,219.0,288.0,31.0
NM,BERNALILLO,129,173.0,228.0,24.0
NM,COLFAX,1,483.0,440.0,84.0
NM,COLFAX,2,86.0,164.0,18.0
NM,COLFAX,3,90.0,102.0,13.0
NM,COLFAX,4,101.0,100.0,9.0
NM,COLFAX,5,136.0,194.0,23.0
NM,COLFAX,7,78.0,80.0,12.0
NM,COLFAX,10,52.0,27.0,2.0
NM,COLFAX,11,44.0,51.0,5.0
NM,COLFAX,12,47.0,69.0,4.0
NM,COLFAX,13,29.0,48.0,2.0
NM,COLFAX,14,54.0,71.0,7.0
NM,COLFAX,15,114.0,115.0,7.0
NM,COLFAX,16,141.0,232.0,18.0
NM,COLFAX,17,51.0,127.0,6.0
NM,COLFAX,18,23.0,52.0,1.0
NM,COLFAX,19,10.0,52.0,4.0
NM,COLFAX,20,51.0,151.0,3.0
NM,COLFAX,21,116.0,196.0,20.0
NM,COLFAX,22,226.0,199.0,18.0
NM,CURRY,1,64.0,10.0,0.0
NM,CURRY,2,99.0,10.0,3.0
NM,CURRY,3,87.0,14.0,2.0
NM,CURRY,4,250.0,46.0,15.0
NM,CURRY,5,102.0,50.0,4.0
NM,CURRY,6,18.0,100.0,9.0
NM,CURRY,7,39.0,159.0,2.0
NM,CURRY,8,121.0,188.0,13.0
NM,CURRY,9,108.0,163.0,16.0
NM,CURRY,10,183.0,52.0,11.0
NM,CURRY,11,300.0,215.0,24.0
NM,CURRY,12,195.0,168.0,12.0
NM,CURRY,13,173.0,94.0,16.0
NM,CURRY,14,210.0,88.0,14.0
NM,CURRY,15,165.0,118.0,16.0
NM,CURRY,16,26.0,0.0,1.0
NM,CURRY,17,323.0,104.0,17.0
NM,CURRY,18,765.0,257.0,38.0
NM,CURRY,19,479.0,149.0,27.0
NM,CURRY,20,108.0,121.0,7.0
NM,CURRY,21,146.0,110.0,17.0
NM,CURRY,22,50.0,60.0,9.0
NM,CURRY,23,252.0,56.0,14.0
NM,CURRY,24,394.0,194.0,24.0
NM,CURRY,25,26.0,79.0,5.0
NM,CURRY,26,48.0,67.0,4.0
NM,CURRY,27,27.0,45.0,4.0
NM,CURRY,28,48.0,67.0,2.0
NM,CURRY,29,58.0,77.0,9.0
NM,CURRY,30,160.0,26.0,9.0
NM,CURRY,31,72.0,36.0,3.0
NM,CURRY,32,163.0,54.0,13.0
NM,CURRY,33,254.0,75.0,12.0
NM,CURRY,34,67.0,8.0,2.0
NM,CURRY,35,327.0,70.0,22.0
NM,CURRY,36,98.0,27.0,5.0
NM,CURRY,37,380.0,132.0,13.0
NM,HARDING,1,118.0,64.0,10.0
NM,HARDING,2,126.0,137.0,18.0
NM,LOS ALAMOS,1,195.0,329.0,50.0
NM,LOS ALAMOS,2,138.0,212.0,35.0
NM,LOS ALAMOS,3,195.0,236.0,61.0
NM,LOS ALAMOS,4,217.0,341.0,81.0
NM,LOS ALAMOS,5,139.0,217.0,32.0
NM,LOS ALAMOS,6,355.0,494.0,96.0
NM,LOS ALAMOS,7,140.0,322.0,35.0
NM,LOS ALAMOS,8,132.0,367.0,40.0
NM,LOS ALAMOS,9,87.0,244.0,28.0
NM,LOS ALAMOS,10,63.0,221.0,21.0
NM,LOS ALAMOS,11,195.0,454.0,59.0
NM,LOS ALAMOS,12,95.0,356.0,50.0
NM,LOS ALAMOS,13,154.0,383.0,38.0
NM,LOS ALAMOS,14,180.0,313.0,67.0
NM,LOS ALAMOS,15,420.0,718.0,113.0
NM,LOS ALAMOS,16,264.0,650.0,85.0
NM,LOS ALAMOS,17,102.0,285.0,26.0
NM,MCKINLEY,1,44.0,236.0,24.0
NM,MCKINLEY,2,42.0,123.0,13.0
NM,MCKINLEY,3,44.0,67.0,6.0
NM,MCKINLEY,4,17.0,263.0,22.0
NM,MCKINLEY,5,63.0,428.0,26.0
NM,MCKINLEY,6,39.0,475.0,38.0
NM,MCKINLEY,7,41.0,389.0,29.0
NM,MCKINLEY,8,19.0,191.0,16.0
NM,MCKINLEY,9,37.0,281.0,15.0
NM,MCKINLEY,10,27.0,276.0,19.0
NM,MCKINLEY,11,19.0,134.0,6.0
NM,MCKINLEY,12,7.0,30.0,5.0
NM,MCKINLEY,13,21.0,165.0,10.0
NM,MCKINLEY,14,92.0,371.0,28.0
NM,MCKINLEY,15,44.0,280.0,23.0
NM,MCKINLEY,16,34.0,197.0,13.0
NM,MCKINLEY,17,146.0,304.0,18.0
NM,MCKINLEY,18,11.0,68.0,3.0
NM,MCKINLEY,19,33.0,391.0,37.0
NM,MCKINLEY,20,63.0,337.0,22.0
NM,MCKINLEY,21,48.0,230.0,13.0
NM,MCKINLEY,22,47.0,268.0,8.0
NM,MCKINLEY,23,65.0,299.0,23.0
NM,MCKINLEY,24,73.0,338.0,30.0
NM,MCKINLEY,25,142.0,524.0,54.0
